Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-12-04,14:05:00,48.06,48.06,48.05,48.05,248,0
2013-12-04,16:45:00,48.1,48.1,48.1,48.1,30,0
2013-12-04,16:50:00,47.6,47.6,47.6,47.6,158,0
2013-12-05,09:05:00,47.59,47.59,47.59,47.59,1,0
2013-12-05,09:30:00,45.34,45.34,45.34,45.34,166,0
2013-12-05,09:40:00,45,45,45,45,167,0
2013-12-05,09:45:00,46.99,47,46.99,47,190,0
2013-12-05,09:50:00,47,47,47,47,10,0
2013-12-05,10:00:00,45.99,45.99,45.99,45.99,54,0
2013-12-05,16:50:00,45.99,45.99,45.01,45.01,130,0
2013-12-06,09:05:00,45.02,45.02,45.02,45.02,1,0
2013-12-06,10:35:00,45.03,45.03,44.8,44.8,150,0
2013-12-06,11:00:00,44.9,44.9,44.9,44.9,25,0
2013-12-09,13:10:00,44.89,44.89,44.89,44.89,5,0
2013-12-09,15:05:00,44.9,44.9,44.9,44.9,20,0
2013-12-10,09:05:00,44.89,44.89,44.89,44.89,5,0
2013-12-10,09:35:00,44.89,44.89,44.89,44.89,1,0
2013-12-10,11:40:00,44.89,44.9,44,44,50,0
2013-12-10,15:50:00,44.89,44.89,44.89,44.89,37,0
2013-12-10,16:50:00,42.8,42.8,42.8,42.8,6,0
2013-12-11,09:05:00,42.9,42.9,42.9,42.9,1,0
2013-12-11,12:00:00,43.8,43.8,43.8,43.8,80,0
2013-12-11,12:05:00,43.8,43.8,43.8,43.8,92,0
2013-12-11,16:05:00,43.6,43.6,43.56,43.56,60,0
2013-12-11,16:15:00,43.56,43.56,43.5,43.5,97,0
2013-12-11,16:50:00,44.62,44.62,44.62,44.62,1,0
2013-12-12,09:05:00,44.62,44.62,44.62,44.62,1,0
2013-12-12,16:50:00,43.6,43.6,43.6,43.6,25,0
2013-12-13,09:05:00,43.6,43.6,43.6,43.6,1,0
2013-12-13,11:10:00,43.6,43.6,43.6,43.6,11,0
2013-12-13,16:50:00,43.6,43.6,43.6,43.6,1,0
2013-12-16,09:05:00,43.6,43.6,43.6,43.6,137,0
2013-12-16,14:25:00,43.6,43.6,43.6,43.6,60,0
2013-12-16,14:50:00,43.6,43.6,43.6,43.6,74,0
2013-12-16,16:50:00,44.62,44.62,44.62,44.62,127,0
2013-12-17,09:05:00,44.9,44.9,44.9,44.9,1,0
2013-12-17,14:00:00,44.9,44.9,44.9,44.9,19,0
2013-12-17,15:00:00,44.9,44.9,44,44,194,0
2013-12-17,16:50:00,44,44,44,44,16,0
2013-12-18,09:25:00,44,44,44,44,44,0
2013-12-18,09:55:00,44,44,44,44,7,0
2013-12-18,12:10:00,44,44,44,44,90,0
2013-12-18,12:25:00,44,44,44,44,100,0
2013-12-18,16:50:00,43.99,43.99,43.99,43.99,10,0
2013-12-19,10:50:00,43.99,43.99,43.99,43.99,36,0
2013-12-19,12:30:00,43.8,43.8,43.8,43.8,32,0
2013-12-19,16:50:00,43.8,43.8,43.8,43.8,3,0
2013-12-20,09:05:00,43.8,43.8,43.8,43.8,20,0
2013-12-23,09:45:00,43.81,44,43.81,44,94,0
2013-12-23,16:35:00,46.16,46.16,46.16,46.16,1,0
2013-12-27,09:05:00,46.29,46.29,46.29,46.29,41,0
2013-12-27,10:00:00,46.29,46.29,46.29,46.29,23,0
2014-01-02,16:00:00,46.99,46.99,46.99,46.99,2,0
2014-01-02,16:45:00,46.3,46.3,45.25,45.25,297,0
2014-01-02,16:50:00,43.9,43.9,43.9,43.9,27,0
2014-01-03,09:05:00,45.5,45.5,43.35,43.35,181,0
2014-01-03,10:15:00,44.2,46.3,44.2,46.3,171,0
2014-01-03,13:10:00,44.3,44.3,44.3,44.3,120,0
2014-01-03,15:55:00,43,43,43,43,20,0
2014-01-03,16:50:00,43,44.79,43,44.79,181,0
2014-01-07,09:05:00,46.3,46.3,46.3,46.3,65,0
2014-01-07,09:40:00,45,45,45,45,5,0
2014-01-10,09:05:00,43.99,43.99,43.99,43.99,18,0
2014-01-10,12:05:00,43.5,43.5,43,43,27,0
