Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-23,15:30:00,2.9616,2.9616,2.9616,2.9616,104,0
2015-02-24,15:50:00,2.952,2.952,2.952,2.952,1043,0
2015-02-24,16:50:00,2.9712,2.9712,2.9712,2.9712,2087,0
2015-02-25,11:35:00,2.9712,2.9712,2.9712,2.9712,631,0
2015-02-25,15:20:00,2.9712,2.9808,2.9712,2.9808,45172,0
2015-02-25,16:50:00,2.9041,3.0383,2.9041,3.0383,10435,0
2015-02-26,09:05:00,3.0383,3.0383,3.0383,3.0383,83,0
2015-02-26,16:10:00,2.9808,2.9808,2.9808,2.9808,256,0
2015-02-26,16:50:00,3.0191,3.0191,3.0191,3.0191,2087,0
2015-02-27,16:50:00,3.0287,3.0287,3.0287,3.0287,5217,0
2015-03-02,10:25:00,3.0287,3.0287,3.0287,3.0287,522,0
2015-03-02,10:55:00,3.0287,3.0287,3.0287,3.0287,124,0
2015-03-02,16:10:00,3.0287,3.0287,3.0287,3.0287,174,0
2015-03-03,09:05:00,3.3066,3.3066,3.2683,3.2683,28466,0
2015-03-03,09:30:00,3.2779,3.2779,3.2779,3.2779,3039,0
2015-03-03,09:40:00,3.2875,3.2875,3.2875,3.2875,354,0
2015-03-03,09:55:00,3.2587,3.2587,3.2587,3.2587,41734,0
2015-03-03,10:00:00,3.2587,3.2587,3.2587,3.2587,4173,0
2015-03-03,10:50:00,3.2299,3.2299,3.2299,3.2299,1043,0
2015-03-03,11:40:00,3.2299,3.2299,3.2299,3.2299,209,0
2015-03-03,12:00:00,3.2683,3.2683,3.2683,3.2683,52,0
2015-03-03,14:20:00,3.2299,3.2299,3.2299,3.2299,318,0
2015-03-03,14:30:00,3.2299,3.2299,3.2299,3.2299,151,0
2015-03-03,14:50:00,3.2299,3.2299,3.2299,3.2299,1011,0
2015-03-03,16:35:00,3.2395,3.2395,3.2395,3.2395,800,0
2015-03-03,16:40:00,3.2395,3.2395,3.2395,3.2395,250,0
2015-03-03,16:50:00,3.2491,3.2491,3.2491,3.2491,6260,0
2015-03-04,09:05:00,3.2491,3.2491,3.2491,3.2491,266,0
2015-03-05,13:25:00,3.2395,3.2395,3.2395,3.2395,923,0
2015-03-05,16:10:00,3.182,3.182,3.182,3.182,174,0
