Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-15,09:05:00,74.496,74.496,74.496,74.496,14,0
2015-06-15,09:30:00,74.506,74.506,74.496,74.496,135,0
2015-06-15,10:05:00,74.496,74.496,74.496,74.496,26,0
2015-06-15,11:05:00,74.496,74.496,74.496,74.496,9,0
2015-06-15,14:35:00,74.477,74.477,74.468,74.468,44,0
2015-06-15,16:30:00,74.823,74.823,74.823,74.823,50,0
2015-06-15,16:35:00,74.833,74.833,74.833,74.833,2,0
2015-06-15,16:45:00,74.833,74.833,74.833,74.833,10,0
2015-06-16,11:15:00,74.487,74.487,74.352,74.352,28,0
2015-06-16,12:05:00,74.352,74.352,74.352,74.352,14,0
2015-06-16,12:50:00,74.833,74.833,74.833,74.833,52,0
2015-06-16,14:40:00,74.352,74.352,74.352,74.352,29,0
2015-06-16,16:00:00,74.448,74.448,74.352,74.352,37,0
2015-06-16,16:10:00,74.064,74.064,74.064,74.064,52,0
2015-06-16,16:30:00,74.055,74.055,74.055,74.055,49,0
2015-06-17,10:50:00,74.064,74.064,74.064,74.064,9,0
2015-06-17,14:50:00,74.064,74.064,73.978,73.978,215,0
2015-06-17,14:55:00,73.584,73.584,73.007,73.007,88,0
2015-06-17,15:30:00,73.007,73.007,72.056,73.007,118,0
2015-06-17,15:35:00,73.488,73.488,73.488,73.488,3,0
2015-06-17,16:30:00,73.488,73.488,73.488,73.488,7,0
2015-06-17,16:50:00,73.007,73.007,73.007,73.007,51,0
2015-06-18,11:55:00,73.017,73.017,73.007,73.007,19,0
2015-06-18,12:10:00,73.007,73.007,73.007,73.007,152,0
2015-06-18,12:40:00,72.105,72.105,72.047,72.047,136,0
2015-06-18,14:05:00,72.047,72.047,72.047,72.047,36,0
2015-06-18,15:35:00,73.007,73.007,73.007,73.007,1,0
2015-06-18,16:50:00,72.431,72.431,72.431,72.431,21,0
2015-06-19,12:30:00,72.441,72.441,72.431,72.431,104,0
2015-06-19,13:10:00,73.478,73.478,73.478,73.478,14,0
2015-06-19,13:30:00,73.469,73.469,73.469,73.469,65,0
2015-06-19,14:15:00,73.469,73.469,73.469,73.469,52,0
2015-06-19,14:25:00,73.469,73.469,73.469,73.469,52,0
2015-06-19,15:20:00,73.469,73.469,73.469,73.469,43,0
2015-06-22,10:35:00,73.478,73.478,73.478,73.478,2,0
2015-06-22,11:00:00,72.153,72.153,72.153,72.153,21,0
2015-06-22,15:15:00,72.527,72.527,72.422,72.422,36,0
2015-06-22,16:50:00,73.488,73.488,73.488,73.488,32,0
2015-06-23,09:05:00,73.401,73.401,73.401,73.401,16,0
2015-06-23,09:45:00,74.535,74.544,74.535,74.544,67,0
2015-06-23,13:25:00,74.544,74.544,74.544,74.544,59,0
2015-06-23,16:10:00,73.968,73.968,73.968,73.968,62,0
2015-06-23,16:25:00,73.776,73.776,73.776,73.776,4,0
2015-06-23,16:35:00,73.776,73.776,73.776,73.776,42,0
2015-06-23,16:50:00,73.776,73.776,73.584,73.584,46,0
2015-06-24,09:45:00,73.776,73.776,73.392,73.392,160,0
2015-06-24,10:35:00,74.535,74.535,74.535,74.535,52,0
2015-06-24,11:10:00,74.544,74.544,74.544,74.544,10,0
2015-06-24,15:35:00,74.448,74.448,74.448,74.448,30,0
2015-06-24,16:00:00,74.448,74.448,74.448,74.448,2,0
2015-06-24,16:05:00,73.872,73.872,73.872,73.872,29,0
2015-06-24,16:15:00,73.872,73.872,73.872,73.872,2,0
2015-06-24,16:50:00,73.872,74.448,73.872,74.448,24,0
2015-06-25,09:05:00,74.525,74.525,74.525,74.525,10,0
2015-06-25,12:00:00,74.439,74.448,74.439,74.448,167,0
2015-06-25,12:10:00,74.448,74.641,74.448,74.641,478,0
2015-06-25,14:40:00,73.084,73.084,73.084,73.084,47,0
2015-06-25,14:50:00,73.084,73.084,73.075,73.075,104,0
2015-06-25,16:45:00,74.919,74.929,74.919,74.929,104,0
2015-06-25,16:50:00,74.881,74.881,74.881,74.881,104,0
2015-06-26,12:20:00,75.303,75.313,75.303,75.313,104,0
2015-06-26,12:50:00,75.121,75.121,75.121,75.121,4,0
2015-06-26,16:50:00,74.919,74.919,74.919,74.919,37,0
2015-06-29,09:30:00,73.007,74.823,72.153,74.823,43,0
2015-06-29,09:35:00,72.153,72.153,70.433,71.615,360,0
2015-06-29,09:40:00,72.047,72.047,72.047,72.047,21,0
2015-06-29,09:45:00,72.047,72.047,72.047,72.047,31,0
2015-06-29,10:05:00,72.047,72.047,72.047,72.047,47,0
2015-06-29,11:10:00,74.189,74.189,74.189,74.189,52,0
2015-06-29,14:05:00,73.949,73.949,73.949,73.949,52,0
2015-06-29,14:35:00,73.968,73.968,73.968,73.968,21,0
2015-06-29,16:50:00,74.91,74.91,74.91,74.91,468,0
2015-06-30,09:05:00,74.737,74.737,74.737,74.737,2,0
2015-06-30,11:40:00,73.968,73.968,73.968,73.968,52,0
2015-06-30,12:20:00,73.968,73.968,73.968,73.968,103,0
2015-06-30,15:00:00,73.497,73.497,73.488,73.488,68,0
2015-06-30,15:50:00,73.488,73.488,73.488,73.488,15,0
2015-06-30,16:00:00,73.488,73.488,73.488,73.488,22,0
2015-06-30,16:50:00,74.737,74.737,74.737,74.737,1041,0
2015-07-01,09:40:00,74.929,74.929,74.929,74.929,1,0
2015-07-01,13:50:00,74.458,74.458,74.448,74.448,308,0
2015-07-01,14:40:00,74.064,74.064,73.968,73.968,104,0
2015-07-01,15:15:00,73.017,73.017,72.047,72.047,109,0
2015-07-01,15:35:00,74.919,74.919,74.919,74.919,2,0
2015-07-02,11:00:00,74.823,74.833,74.823,74.833,260,0
2015-07-02,11:05:00,74.833,74.833,74.833,74.833,73,0
2015-07-02,11:25:00,74.833,74.833,74.833,74.833,1,0
2015-07-02,13:40:00,74.833,74.833,74.833,74.833,41,0
2015-07-02,14:00:00,74.833,74.833,74.833,74.833,198,0
2015-07-02,15:55:00,74.823,74.833,74.823,74.833,280,0
2015-07-02,16:50:00,74.881,74.929,74.881,74.929,37,0
2015-07-03,10:35:00,73.968,73.968,73.968,73.968,21,0
2015-07-03,16:35:00,74.929,74.929,74.929,74.929,21,0
2015-07-03,16:50:00,74.929,74.929,74.929,74.929,36,0
2015-07-06,09:55:00,73.142,73.142,73.142,73.142,1,0
2015-07-06,10:25:00,72.239,72.239,70.539,72.22,158,0
2015-07-06,13:20:00,73.488,73.488,73.248,73.248,85,0
2015-07-06,13:25:00,73.248,73.248,73.248,73.248,55,0
2015-07-06,16:25:00,74.852,74.852,74.852,74.852,3,0
2015-07-06,16:50:00,73.007,73.007,73.007,73.007,187,0
2015-07-07,09:05:00,74.737,74.737,74.737,74.737,1,0
2015-07-07,10:30:00,72.959,74.689,72.959,74.689,36,0
2015-07-07,11:15:00,74.804,74.804,74.804,74.804,2,0
2015-07-08,11:35:00,73.007,73.007,73.007,73.007,5,0
2015-07-08,11:45:00,73.007,73.007,73.007,73.007,2,0
2015-07-08,13:55:00,73.007,73.007,73.007,73.007,62,0
2015-07-08,14:30:00,72.181,72.181,72.047,72.047,104,0
2015-07-08,14:35:00,72.671,72.671,72.671,72.671,5,0
2015-07-08,14:40:00,72.047,72.047,72.047,72.047,20,0
2015-07-08,16:20:00,72.047,72.047,72.047,72.047,9,0
2015-07-08,16:30:00,74.621,74.621,74.621,74.621,2,0
2015-07-08,16:50:00,72.047,72.047,72.047,72.047,21,0
2015-07-09,11:00:00,72.527,72.527,72.527,72.527,5,0
2015-07-10,09:45:00,72.066,72.066,71.086,71.086,104,0
