Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-09,11:15:00,14.24,14.44,14.24,14.44,268,0
2015-01-09,11:40:00,14.14,14.14,14.14,14.14,50,0
2015-01-09,12:00:00,14.14,14.2,14.14,14.2,97,0
2015-01-09,13:40:00,14.2,14.2,14.15,14.15,500,0
2015-01-09,15:55:00,14.2,14.2,14.2,14.2,100,0
2015-01-12,10:50:00,14.53,14.53,14.53,14.53,20,0
2015-01-12,11:05:00,14.3,14.3,14.3,14.3,200,0
2015-01-12,15:55:00,14.4,14.4,14.4,14.4,812,0
2015-01-13,13:40:00,14.31,14.31,14.31,14.31,57,0
2015-01-14,16:35:00,14.31,14.31,14.3,14.3,203,0
2015-01-16,11:10:00,14.39,14.5,14.39,14.5,150,0
2015-01-16,11:30:00,14.5,14.5,14.5,14.5,100,0
2015-01-16,11:50:00,14.5,14.5,14.5,14.5,20,0
2015-01-19,09:10:00,14.34,14.34,14.33,14.33,100,0
2015-01-21,11:25:00,14.3,14.3,14.3,14.3,60,0
2015-01-21,12:15:00,14.3,14.3,14.3,14.3,90,0
2015-01-21,13:35:00,14.49,14.49,14.49,14.49,2,0
2015-01-21,14:35:00,14.55,14.55,14.55,14.55,2,0
2015-01-27,13:30:00,14.5,14.5,14.5,14.5,50,0
2015-01-30,13:10:00,14.02,14.02,14.02,14.02,45,0
2015-01-30,15:50:00,14.02,14.02,14.02,14.02,94,0
2015-02-03,16:05:00,14.02,14.02,14.02,14.02,1,0
2015-02-05,11:25:00,14.02,14.02,14.02,14.02,19,0
2015-02-06,09:55:00,15.19,15.19,15.19,15.19,1,0
2015-02-11,10:05:00,13.72,13.72,13.72,13.72,73,0
2015-02-11,10:20:00,14.2,14.2,14.1,14.1,72,0
2015-02-11,12:00:00,14.4,14.4,14.4,14.4,150,0
2015-02-12,09:30:00,14.45,14.45,14.45,14.45,300,0
2015-02-12,10:35:00,14.4,14.4,14.4,14.4,90,0
2015-02-12,16:50:00,14.45,14.45,14.45,14.45,75,0
2015-02-13,09:50:00,14.45,14.45,14.45,14.45,20,0
2015-02-13,14:00:00,14.45,14.45,14.45,14.45,63,0
2015-02-17,14:05:00,14.45,14.45,14.45,14.45,100,0
2015-02-17,14:15:00,14.45,14.45,14.45,14.45,270,0
2015-02-17,16:00:00,14.45,14.45,14.45,14.45,100,0
2015-02-18,16:40:00,14.79,14.88,14.79,14.88,540,0
2015-02-19,09:05:00,14.8,14.8,14.8,14.8,100,0
2015-02-19,09:10:00,14.92,14.92,14.92,14.92,1,0
2015-02-19,09:50:00,14.9,14.92,14.9,14.92,299,0
