Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-04-11,09:05:00,3.91,3.91,3.8,3.8,6976,0
2014-04-11,09:15:00,3.81,3.81,3.81,3.81,287,0
2014-04-11,09:20:00,3.81,3.81,3.81,3.81,268,0
2014-04-11,09:30:00,3.81,3.81,3.81,3.81,200,0
2014-04-11,09:35:00,3.81,3.81,3.81,3.81,182,0
2014-04-11,10:05:00,3.81,3.81,3.8,3.8,978,0
2014-04-11,10:10:00,3.8,3.8,3.8,3.8,1047,0
2014-04-11,10:35:00,3.8,3.8,3.8,3.8,247,0
2014-04-11,11:00:00,3.8,3.8,3.8,3.8,2393,0
2014-04-11,11:05:00,3.8,3.8,3.8,3.8,600,0
2014-04-11,11:25:00,3.8,3.8,3.8,3.8,8,0
2014-04-11,12:00:00,3.8,3.8,3.7,3.7,10922,0
2014-04-11,12:40:00,3.71,3.71,3.7,3.7,1078,0
2014-04-11,12:45:00,3.7,3.7,3.7,3.7,250,0
2014-04-11,12:50:00,3.7,3.7,3.67,3.67,369,0
2014-04-11,13:40:00,3.79,3.79,3.79,3.79,555,0
2014-04-11,14:00:00,3.72,3.72,3.72,3.72,350,0
2014-04-11,15:20:00,3.73,3.73,3.6,3.6,10142,0
2014-04-11,15:25:00,3.6,3.6,3.6,3.6,3000,0
2014-04-11,15:50:00,3.67,3.67,3.67,3.67,55,0
2014-04-11,16:00:00,3.55,3.55,3.55,3.55,430,0
2014-04-11,16:10:00,3.67,3.69,3.67,3.69,900,0
2014-04-11,16:15:00,3.69,3.69,3.69,3.69,51,0
2014-04-11,16:40:00,3.69,3.69,3.69,3.69,104,0
2014-04-11,16:45:00,3.71,3.71,3.55,3.55,7976,0
2014-04-11,16:50:00,3.55,3.69,3.55,3.69,382,0
2014-04-14,09:35:00,3.56,3.56,3.47,3.47,4700,0
2014-04-14,09:50:00,3.54,3.54,3.54,3.54,100,0
2014-04-14,09:55:00,3.54,3.54,3.54,3.54,455,0
2014-04-14,10:05:00,3.54,3.54,3.54,3.54,145,0
2014-04-14,10:10:00,3.54,3.54,3.54,3.54,300,0
2014-04-14,10:15:00,3.54,3.54,3.54,3.54,64,0
2014-04-14,10:20:00,3.54,3.54,3.54,3.54,500,0
2014-04-14,10:40:00,3.54,3.55,3.54,3.55,150,0
2014-04-14,10:45:00,3.36,3.36,3.36,3.36,75,0
2014-04-14,11:15:00,3.37,3.37,3.22,3.22,3344,0
2014-04-14,11:20:00,3.33,3.33,3.33,3.33,1144,0
2014-04-14,11:30:00,3.33,3.33,3.33,3.33,400,0
2014-04-14,11:35:00,3.34,3.34,3.22,3.22,3435,0
2014-04-14,11:40:00,3.21,3.21,3.21,3.21,700,0
2014-04-14,11:45:00,3.21,3.21,3.21,3.21,1000,0
2014-04-14,11:50:00,3.21,3.21,3.21,3.21,2795,0
2014-04-14,12:10:00,3.2,3.2,2.95,2.95,3225,0
2014-04-14,12:20:00,3.05,3.05,3.05,3.05,900,0
2014-04-14,12:25:00,3.06,3.06,2.91,2.91,2102,0
2014-04-14,12:30:00,2.99,2.99,2.99,2.99,300,0
2014-04-14,12:35:00,2.99,2.99,2.99,2.99,400,0
2014-04-14,12:40:00,2.99,2.99,2.99,2.99,450,0
2014-04-14,12:45:00,2.99,2.99,2.99,2.99,1280,0
2014-04-14,12:50:00,2.99,2.99,2.98,2.98,1100,0
2014-04-14,13:00:00,2.99,2.99,2.99,2.99,500,0
2014-04-14,13:05:00,2.99,2.99,2.91,2.91,2941,0
2014-04-14,13:15:00,3.08,3.08,2.9,2.9,1105,0
2014-04-14,13:20:00,2.9,2.9,2.89,2.89,3403,0
2014-04-14,13:25:00,2.98,2.99,2.98,2.99,1000,0
2014-04-14,13:50:00,2.97,3.03,2.9,3.03,7012,0
2014-04-14,14:00:00,2.96,2.96,2.9,2.9,5963,0
2014-04-14,14:05:00,3.01,3.01,2.89,2.99,19240,0
2014-04-14,14:15:00,2.95,2.97,2.94,2.94,544,0
2014-04-14,14:20:00,2.98,3,2.98,3,2000,0
2014-04-14,14:25:00,3,3,3,3,300,0
2014-04-14,14:35:00,3,3,3,3,532,0
2014-04-14,14:45:00,3,3,3,3,1800,0
