Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-05-07,09:05:00,4.55,4.55,4.55,4.55,2013,0
2015-05-07,10:00:00,4.34,4.34,4.34,4.34,7,0
2015-05-07,11:15:00,4.4,4.4,4.4,4.4,6,0
2015-05-07,13:40:00,4.4,4.4,4.4,4.4,3,0
2015-05-07,14:05:00,4.4,4.4,4.4,4.4,38,0
2015-05-07,14:15:00,4.4,4.4,4.4,4.4,55,0
2015-05-07,15:15:00,4.4,4.4,4.4,4.4,4,0
2015-05-07,16:15:00,4.4,4.4,4.4,4.4,2287,0
2015-05-07,16:35:00,4.55,4.61,4.55,4.61,2148,0
2015-05-07,16:50:00,4.4,4.4,4.4,4.4,4,0
2015-05-08,09:15:00,4.92,4.92,4.92,4.92,3070,0
2015-05-08,09:35:00,4.92,4.92,4.92,4.92,1000,0
2015-05-08,09:55:00,4.75,4.75,4.75,4.75,2200,0
2015-05-08,11:45:00,4.6,4.6,4.6,4.6,4,0
2015-05-08,14:15:00,4.75,4.75,4.75,4.75,400,0
2015-05-08,15:05:00,4.6,4.6,4.6,4.6,4,0
2015-05-08,15:20:00,4.6,4.6,4.6,4.6,15,0
2015-05-08,16:10:00,4.6,4.6,4.6,4.6,121,0
2015-05-08,16:40:00,4.75,4.9,4.75,4.9,2746,0
2015-05-11,09:25:00,4.8,4.8,4.8,4.8,95,0
2015-05-11,10:10:00,4.75,4.75,4.75,4.75,800,0
2015-05-11,10:20:00,4.65,4.65,4.65,4.65,1,0
2015-05-11,11:05:00,4.65,4.65,4.65,4.65,30,0
2015-05-11,12:45:00,4.65,4.65,4.65,4.65,5,0
2015-05-11,13:10:00,4.84,4.87,4.84,4.87,2034,0
2015-05-11,15:40:00,4.69,4.69,4.69,4.69,5,0
2015-05-11,16:30:00,4.87,4.92,4.87,4.92,4065,0
2015-05-12,09:05:00,4.92,4.92,4.92,4.92,2971,0
2015-05-12,11:40:00,4.85,4.85,4.85,4.85,2200,0
2015-05-12,16:05:00,4.7,4.7,4.7,4.7,3,0
2015-05-12,16:45:00,4.78,4.78,4.78,4.78,400,0
2015-05-12,16:50:00,5,5,5,5,5493,0
2015-05-13,10:00:00,4.93,4.93,4.93,4.93,10,0
2015-05-13,10:45:00,4.95,4.95,4.95,4.95,2,0
2015-05-13,11:00:00,4.95,5,4.95,5,1156,0
2015-05-13,11:05:00,5.04,5.04,5.04,5.04,876,0
2015-05-13,11:20:00,5.05,5.2,5.05,5.2,1385,0
2015-05-13,11:35:00,5.2,5.36,5.2,5.36,1475,0
2015-05-13,11:40:00,5.36,5.4,5.36,5.4,500,0
2015-05-13,12:15:00,5.05,5.05,5.05,5.05,5,0
2015-05-13,13:20:00,5.37,5.37,5.37,5.37,1827,0
2015-05-13,14:10:00,5.05,5.05,5.05,5.05,9,0
2015-05-13,15:05:00,5.05,5.05,5.05,5.05,3,0
2015-05-13,15:15:00,5.05,5.05,5.05,5.05,6,0
2015-05-13,16:10:00,5.05,5.05,5.05,5.05,4,0
2015-05-13,16:40:00,5.37,5.37,5.37,5.37,3551,0
2015-05-14,11:10:00,5.24,5.24,5.24,5.24,100,0
2015-05-14,11:40:00,5.12,5.12,5.12,5.12,2,0
2015-05-14,12:10:00,5.15,5.15,5.15,5.15,300,0
2015-05-14,12:15:00,5.24,5.4,5.24,5.4,1787,0
2015-05-14,12:55:00,5.16,5.16,5.16,5.16,2,0
2015-05-14,14:50:00,5.53,5.53,5.5,5.5,521,0
2015-05-14,15:15:00,5.16,5.16,5.16,5.16,1,0
2015-05-14,15:50:00,5.16,5.16,5.16,5.16,87,0
2015-05-14,16:05:00,5.53,5.53,5.53,5.53,447,0
2015-05-14,16:10:00,5.47,5.47,5.47,5.47,5,0
2015-05-14,16:45:00,5.47,5.56,5.47,5.56,3563,0
2015-05-14,16:50:00,5.15,5.15,5.15,5.15,5,0
2015-05-15,09:05:00,5.21,5.21,5.21,5.21,251,0
2015-05-15,09:50:00,5.21,5.21,5.15,5.15,406,0
2015-05-15,09:55:00,5.34,5.4,5.34,5.4,1850,0
2015-05-15,10:00:00,5.45,5.45,5.45,5.45,13,0
2015-05-15,10:25:00,5.26,5.26,5.26,5.26,3,0
2015-05-15,11:40:00,5.26,5.26,5.26,5.26,100,0
2015-05-15,13:20:00,5.27,5.27,5.25,5.25,2300,0
2015-05-15,14:40:00,5.3,5.3,5.3,5.3,373,0
2015-05-15,15:25:00,5.3,5.3,5.3,5.3,1484,0
2015-05-15,16:10:00,5.33,5.33,5.33,5.33,1876,0
2015-05-15,16:50:00,5.33,5.33,5.33,5.33,4502,0
2015-05-18,10:45:00,5.33,5.33,5.33,5.33,1488,0
2015-05-18,10:50:00,5.1,5.1,5.1,5.1,3,0
2015-05-18,12:45:00,5.1,5.1,5.1,5.1,4,0
2015-05-18,12:55:00,5.1,5.1,5.1,5.1,2,0
2015-05-18,13:45:00,5.1,5.1,5.1,5.1,4,0
2015-05-18,14:20:00,5.1,5.1,5.1,5.1,6,0
2015-05-18,15:40:00,5.1,5.1,5.1,5.1,328,0
2015-05-18,16:50:00,5.28,5.28,5.28,5.28,3,0
2015-05-19,09:20:00,5.28,5.5,5.28,5.3,4163,0
2015-05-19,09:45:00,5.39,5.39,5.39,5.39,200,0
2015-05-19,10:25:00,5.28,5.28,5.28,5.28,230,0
2015-05-19,11:05:00,5.28,5.28,5.28,5.28,4,0
2015-05-19,12:00:00,5.39,5.39,5.39,5.39,100,0
2015-05-19,12:10:00,5.28,5.28,5.15,5.15,67,0
2015-05-19,12:30:00,5.15,5.15,5.15,5.15,44,0
2015-05-19,12:35:00,5.15,5.15,5.15,5.15,7,0
2015-05-19,13:55:00,5.38,5.38,5.38,5.38,10,0
2015-05-19,14:00:00,5.15,5.15,5.15,5.15,3,0
2015-05-19,15:30:00,5.15,5.15,5.15,5.15,11,0
2015-05-19,16:20:00,5.38,5.38,5.38,5.38,500,0
2015-05-19,16:50:00,5.38,5.38,5.15,5.15,1003,0
2015-05-20,09:05:00,5.15,5.15,5.15,5.15,1502,0
2015-05-20,09:40:00,5.1,5.1,5.1,5.1,2,0
2015-05-20,11:15:00,5.1,5.1,5.1,5.1,230,0
2015-05-20,12:25:00,5.1,5.1,5.1,5.1,4,0
2015-05-20,16:50:00,5.32,5.32,5.32,5.32,2232,0
2015-05-21,09:05:00,5.11,5.11,5.11,5.11,13,0
2015-05-21,09:35:00,5.11,5.11,5.11,5.11,4,0
2015-05-21,11:20:00,5.12,5.12,5.12,5.12,3,0
2015-05-21,11:40:00,5.12,5.12,5.12,5.12,63,0
2015-05-21,12:20:00,5.12,5.12,5.12,5.12,10,0
2015-05-21,15:50:00,5.12,5.12,5.12,5.12,3,0
2015-05-21,16:50:00,5.11,5.11,5.11,5.11,79,0
2015-05-22,11:40:00,5.1,5.1,5.1,5.1,19,0
2015-05-22,11:55:00,5.13,5.13,5.13,5.13,400,0
2015-05-22,12:20:00,5.25,5.25,5.25,5.25,1,0
2015-05-22,13:30:00,5.1,5.1,5.1,5.1,98,0
2015-05-22,13:45:00,5.1,5.1,5.1,5.1,6,0
2015-05-22,16:50:00,5.48,5.48,5.48,5.48,10000,0
2015-05-25,09:05:00,5.36,5.36,5.36,5.36,155,0
2015-05-25,09:10:00,5.31,5.31,5.31,5.31,315,0
2015-05-25,09:25:00,5.35,5.35,5.35,5.35,152,0
2015-05-25,09:40:00,5.36,5.36,5.36,5.36,42,0
2015-05-25,10:40:00,5.13,5.13,5.13,5.13,20,0
2015-05-25,11:55:00,5.12,5.12,5.12,5.12,3,0
2015-05-25,12:05:00,5.36,5.36,5.36,5.36,50,0
2015-05-25,12:20:00,5.12,5.12,5.12,5.12,9,0
2015-05-25,13:15:00,5.36,5.36,5.35,5.35,550,0
2015-05-25,13:25:00,5.36,5.36,5.36,5.36,1000,0
2015-05-25,16:35:00,5.2,5.2,5.2,5.2,22,0
2015-05-25,16:50:00,5.4,5.4,5.4,5.4,500,0
2015-05-26,09:55:00,5.2,5.2,5.2,5.2,30,0
2015-05-26,10:15:00,5.37,5.37,5.37,5.37,200,0
2015-05-26,11:30:00,5.2,5.2,5.2,5.2,25,0
2015-05-26,11:50:00,5.37,5.37,5.37,5.37,100,0
2015-05-26,14:30:00,5.37,5.37,5.37,5.37,100,0
2015-05-26,15:45:00,5.2,5.2,5.2,5.2,3,0
2015-05-26,16:10:00,5.37,5.37,5.37,5.37,100,0
2015-05-26,16:30:00,5.3,5.3,5.3,5.3,100,0
2015-05-26,16:50:00,5.37,5.37,5.37,5.37,750,0
2015-05-27,09:15:00,5.17,5.17,5.17,5.17,2,0
2015-05-27,09:20:00,5.4,5.4,5.4,5.4,20,0
2015-05-27,10:40:00,5.17,5.17,5.17,5.17,9,0
2015-05-27,11:15:00,5.4,5.4,5.4,5.4,20,0
2015-05-27,12:15:00,5.17,5.17,5.17,5.17,2,0
2015-05-27,12:45:00,5.4,5.4,5.4,5.4,10,0
2015-05-27,13:05:00,5.17,5.17,5.17,5.17,129,0
2015-05-27,13:35:00,5.17,5.17,5.17,5.17,1,0
2015-05-27,14:15:00,5.4,5.4,5.4,5.4,10,0
2015-05-27,15:45:00,5.3,5.3,5.3,5.3,100,0
2015-05-27,16:50:00,5.3,5.4,5.17,5.17,1357,0
2015-05-28,09:25:00,5.17,5.38,5.17,5.38,10,0
2015-05-28,09:30:00,5.16,5.16,5.16,5.16,1,0
2015-05-28,09:50:00,5.17,5.17,5.17,5.17,3,0
2015-05-28,10:10:00,5.23,5.23,5.23,5.23,3,0
2015-05-28,12:20:00,5.23,5.23,5.16,5.16,6,0
2015-05-28,13:20:00,5.16,5.16,5.16,5.16,7,0
2015-05-28,13:25:00,5.16,5.16,5.16,5.16,4,0
2015-05-28,16:50:00,5.3,5.3,5.3,5.3,25,0
2015-05-29,11:00:00,5.17,5.17,5.17,5.17,6,0
2015-05-29,11:40:00,5.17,5.17,5.17,5.17,16,0
2015-05-29,12:35:00,5.17,5.17,5.17,5.17,91,0
2015-05-29,16:10:00,5.17,5.17,5.17,5.17,23,0
2015-06-01,11:45:00,5.16,5.16,5.16,5.16,7,0
2015-06-01,12:15:00,5.16,5.16,5.16,5.16,10,0
