Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-05-15,09:30:00,5.0928,5.0928,5.0928,5.0928,408,0
2015-05-15,09:35:00,5.2691,5.2691,5.2691,5.2691,31,0
2015-05-18,09:15:00,5.2593,5.2691,5.2593,5.2691,471,0
2015-05-18,09:30:00,5.2887,5.3376,5.2887,5.3376,204,0
2015-05-18,09:35:00,5.3376,5.3768,5.3376,5.3768,184,0
2015-05-18,09:55:00,5.3768,5.3768,5.3768,5.3768,225,0
2015-05-18,10:10:00,5.3866,5.4747,5.3866,5.4747,613,0
2015-05-18,10:25:00,5.3572,5.4747,5.3572,5.4747,389,0
2015-05-18,10:35:00,5.3082,5.3082,5.3082,5.3082,699,0
2015-05-18,10:45:00,5.3082,5.3082,5.3082,5.3082,1736,0
2015-05-18,11:25:00,5.4747,5.4747,5.4747,5.4747,1,0
2015-05-18,11:45:00,5.3866,5.3866,5.3866,5.3866,306,0
2015-05-18,15:00:00,5.3866,5.4747,5.3866,5.4747,613,0
2015-05-18,16:35:00,5.4747,5.4747,5.4747,5.4747,909,0
2015-05-18,16:50:00,5.4649,5.4649,5.4649,5.4649,518,0
2015-05-19,09:05:00,5.1418,5.1418,5.1418,5.1418,888,0
2015-05-19,09:30:00,5.4062,5.4062,5.4062,5.4062,102,0
2015-05-19,09:35:00,5.416,5.4649,5.416,5.4649,204,0
2015-05-19,10:05:00,5.2005,5.2005,4.9263,5.1809,4881,0
2015-05-19,10:10:00,5.1711,5.1711,5.1711,5.1711,102,0
2015-05-19,10:25:00,4.9655,5.0732,4.9165,5.0536,3686,0
2015-05-19,10:35:00,5.0144,5.0144,5.0144,5.0144,398,0
2015-05-19,10:40:00,5.1613,5.1613,5.1613,5.1613,10,0
2015-05-19,10:50:00,5.1809,5.1907,5.1809,5.1907,511,0
2015-05-19,11:50:00,5.1613,5.1613,5.1613,5.1613,4,0
2015-05-19,12:05:00,5.1613,5.1613,5.1613,5.1613,225,0
2015-05-19,13:35:00,5.1515,5.1515,5.1515,5.1515,406,0
2015-05-19,16:50:00,5.1124,5.1124,5.1124,5.1124,345,0
2015-05-20,09:55:00,5.083,5.1026,5.083,5.1026,476,0
2015-05-20,10:00:00,5.0928,5.1026,4.8186,4.8186,1111,0
2015-05-20,10:05:00,4.9067,4.9067,4.8186,4.8186,13274,0
2015-05-20,10:10:00,4.8479,5.034,4.8186,4.9459,2069,0
2015-05-20,10:15:00,4.9459,4.9459,4.9459,4.9459,429,0
2015-05-20,10:20:00,5.0242,5.0242,5.0242,5.0242,1,0
2015-05-20,10:30:00,4.9459,4.9459,4.9459,4.9459,82,0
2015-05-20,11:10:00,4.8969,4.8969,4.8969,4.8969,306,0
2015-05-20,11:15:00,4.8479,4.8479,4.75,4.8284,18022,0
2015-05-20,11:40:00,4.8186,4.8186,4.8186,4.8186,206,0
2015-05-20,11:45:00,4.8186,4.8479,4.8186,4.8479,1021,0
2015-05-20,11:55:00,4.7598,4.7598,4.7206,4.7206,4595,0
2015-05-20,12:00:00,4.7206,4.7892,4.701,4.7892,6177,0
