Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-11-19,11:05:00,0.03,0.03,0.03,0.03,30000,0
2013-11-19,11:15:00,0.03,0.03,0.03,0.03,1720,0
2013-11-19,15:05:00,0.04,0.04,0.04,0.04,227000,0
2013-11-19,15:10:00,0.04,0.04,0.04,0.04,5000,0
2013-11-19,15:30:00,0.04,0.04,0.04,0.04,10000,0
2013-11-20,11:05:00,0.04,0.04,0.04,0.04,83000,0
2013-11-20,15:05:00,0.04,0.04,0.04,0.04,28600,0
2013-11-21,11:05:00,0.03,0.03,0.03,0.03,4000,0
2013-11-21,15:05:00,0.04,0.04,0.04,0.04,299947,0
2013-11-21,15:15:00,0.04,0.04,0.04,0.04,51709,0
2013-11-22,11:05:00,0.04,0.04,0.04,0.04,30230,0
2013-11-22,15:05:00,0.04,0.04,0.04,0.04,199500,0
2013-11-25,11:05:00,0.04,0.04,0.04,0.04,254500,0
2013-11-25,11:20:00,0.04,0.04,0.04,0.04,40609,0
2013-11-25,15:05:00,0.04,0.04,0.04,0.04,7500,0
2013-11-25,15:15:00,0.04,0.04,0.04,0.04,37875,0
2013-11-26,11:05:00,0.04,0.04,0.04,0.04,30513,0
2013-11-26,15:05:00,0.04,0.04,0.04,0.04,30000,0
2013-11-26,15:20:00,0.04,0.04,0.04,0.04,21149,0
2013-11-27,11:05:00,0.04,0.04,0.04,0.04,27405,0
2013-11-27,15:05:00,0.04,0.04,0.04,0.04,121130,0
2013-11-27,15:30:00,0.04,0.04,0.04,0.04,1465,0
2013-11-28,11:05:00,0.04,0.04,0.04,0.04,21160,0
2013-11-28,15:05:00,0.04,0.04,0.04,0.04,130500,0
2013-11-28,15:10:00,0.04,0.04,0.04,0.04,20000,0
2013-11-29,15:05:00,0.03,0.03,0.03,0.03,4297,0
2013-12-02,11:05:00,0.03,0.03,0.03,0.03,15000,0
2013-12-02,15:05:00,0.04,0.04,0.04,0.04,190000,0
2013-12-02,15:15:00,0.04,0.04,0.04,0.04,26691,0
2013-12-03,11:05:00,0.03,0.03,0.03,0.03,6010,0
2013-12-03,15:05:00,0.04,0.04,0.04,0.04,173137,0
2013-12-05,11:05:00,0.03,0.03,0.03,0.03,24420,0
2013-12-05,11:20:00,0.03,0.03,0.03,0.03,5000,0
2013-12-05,15:05:00,0.04,0.04,0.04,0.04,3000,0
