Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-15,11:20:00,3.35,3.35,3.35,3.35,1,0
2014-12-16,09:15:00,3.25,3.25,3.25,3.25,1,0
2014-12-16,12:30:00,3.2,3.2,3.2,3.2,60,0
2014-12-16,16:50:00,3.09,3.09,3.09,3.09,750,0
2014-12-17,09:05:00,3.17,3.17,3.17,3.17,1,0
2014-12-18,09:05:00,3.17,3.17,3.17,3.17,1,0
2014-12-18,10:35:00,3.1,3.35,3.1,3.35,263,0
2014-12-18,12:00:00,3.1,3.1,3.1,3.1,250,0
2014-12-18,12:05:00,3.35,3.35,3.35,3.35,1,0
2014-12-18,12:30:00,3.1,3.35,3.1,3.35,56,0
2014-12-18,12:40:00,3.15,3.15,3.15,3.15,1395,0
2014-12-18,16:40:00,3.15,3.35,3.15,3.35,106,0
2014-12-19,10:20:00,3.35,3.35,3.35,3.35,1,0
2014-12-23,11:05:00,3.09,3.09,3.09,3.09,2010,0
2014-12-23,11:20:00,3.13,3.13,3.13,3.13,2000,0
2014-12-23,11:45:00,3.09,3.09,3.09,3.09,79,0
2014-12-23,14:00:00,3.09,3.09,3.09,3.09,1603,0
2014-12-23,15:10:00,3.08,3.08,3.08,3.08,497,0
2014-12-23,15:15:00,3.08,3.13,3.08,3.13,563,0
2014-12-29,09:05:00,3,3,3,3,349,0
2014-12-29,15:55:00,2.99,2.99,2.99,2.99,350,0
2014-12-29,16:00:00,3.13,3.13,3.13,3.13,1,0
2014-12-30,09:15:00,3.1,3.1,3.1,3.1,1,0
2015-01-02,09:20:00,3.03,3.03,3.03,3.03,1,0
2015-01-02,10:30:00,2.93,3.03,2.93,3.03,312,0
2015-01-02,11:00:00,2.93,2.93,2.93,2.93,600,0
2015-01-02,11:30:00,2.93,2.93,2.93,2.93,498,0
2015-01-02,14:10:00,3.02,3.02,3.02,3.02,2485,0
2015-01-02,14:30:00,3.15,3.15,3.15,3.15,215,0
2015-01-02,14:55:00,3.04,3.05,3.04,3.05,250,0
2015-01-02,16:00:00,3.05,3.05,3.05,3.05,72,0
2015-01-05,09:05:00,3.05,3.05,3.05,3.05,1,0
2015-01-05,10:20:00,3.05,3.05,3.05,3.05,400,0
2015-01-05,11:30:00,3.05,3.05,3.05,3.05,350,0
2015-01-05,15:00:00,3.05,3.05,3.05,3.05,1,0
2015-01-05,16:50:00,2.94,2.94,2.94,2.94,311,0
2015-01-07,15:40:00,2.94,2.94,2.94,2.94,1,0
2015-01-08,11:40:00,3.08,3.35,3.08,3.35,2438,0
2015-01-08,11:50:00,3.23,3.23,3.23,3.23,500,0
2015-01-08,11:55:00,2.94,2.94,2.94,2.94,1,0
2015-01-08,15:25:00,3.1,3.15,3,3.15,4615,0
2015-01-08,15:40:00,3.14,3.14,3.14,3.14,2390,0
2015-01-09,09:05:00,3.1,3.3,3.1,3.3,7,0
2015-01-12,09:30:00,3.35,3.35,3.35,3.35,1,0
2015-01-13,09:05:00,3.33,3.33,3.33,3.33,1,0
2015-01-14,12:10:00,3.11,3.11,3.1,3.1,1914,0
2015-01-15,09:10:00,3.33,3.33,3.33,3.33,1,0
2015-01-16,09:10:00,3.33,3.33,3.33,3.33,1,0
2015-01-19,09:45:00,3.18,3.33,3.18,3.33,30,0
2015-01-20,09:05:00,3.33,3.33,3.33,3.33,1,0
2015-01-21,09:05:00,3.33,3.33,3.33,3.33,1,0
2015-01-21,15:55:00,3.18,3.34,3.18,3.34,403,0
2015-01-22,09:05:00,3.34,3.34,3.34,3.34,1,0
2015-01-23,09:05:00,3.34,3.34,3.34,3.34,1,0
2015-01-26,09:05:00,3.34,3.34,3.34,3.34,1,0
2015-01-26,12:00:00,3.02,3.02,3.02,3.02,60,0
2015-01-26,13:30:00,3.18,3.34,3.18,3.34,6001,0
2015-01-26,16:50:00,3.28,3.28,3.28,3.28,2000,0
2015-01-27,09:05:00,3.34,3.35,3.34,3.35,360,0
2015-01-27,09:15:00,3.35,3.35,3.35,3.35,32,0
2015-01-27,09:45:00,3.35,3.35,3.35,3.35,30,0
2015-01-27,11:35:00,3.35,3.55,3.35,3.55,1703,0
2015-01-28,09:05:00,3.54,3.54,3.54,3.54,103,0
2015-01-28,15:00:00,3.59,3.59,3.59,3.59,1,0
2015-01-29,09:05:00,3.69,3.69,3.69,3.69,1,0
2015-01-29,11:30:00,3.43,3.43,3.37,3.37,322,0
2015-01-29,12:25:00,3.69,3.92,3.69,3.92,1206,0
2015-01-30,10:40:00,3.9,3.9,3.9,3.9,7,0
2015-02-02,09:05:00,3.9,3.9,3.9,3.9,1,0
2015-02-02,14:10:00,3.72,3.72,3.7,3.7,2950,0
2015-02-03,09:05:00,3.55,3.68,3.55,3.68,760,0
2015-02-03,09:25:00,3.68,3.68,3.68,3.68,3999,0
2015-02-03,10:05:00,3.68,3.68,3.68,3.68,451,0
2015-02-03,14:20:00,3.68,3.68,3.68,3.68,1,0
2015-02-03,16:50:00,3.7,3.7,3.7,3.7,2309,0
2015-02-04,09:10:00,3.9,3.9,3.9,3.9,11,0
2015-02-04,10:00:00,3.7,3.7,3.7,3.7,85,0
2015-02-04,10:15:00,3.7,3.7,3.7,3.7,5,0
2015-02-04,13:15:00,3.78,3.78,3.78,3.78,300,0
2015-02-04,13:35:00,3.7,3.79,3.61,3.79,3857,0
2015-02-05,09:05:00,3.64,3.64,3.64,3.64,26,0
2015-02-05,10:30:00,3.64,3.65,3.64,3.65,1045,0
2015-02-05,10:35:00,3.65,3.65,3.65,3.65,600,0
2015-02-05,11:15:00,3.65,3.65,3.65,3.65,600,0
2015-02-05,11:55:00,3.65,3.65,3.65,3.65,600,0
2015-02-05,12:40:00,3.65,3.65,3.65,3.65,600,0
2015-02-05,13:20:00,3.65,3.65,3.65,3.65,600,0
2015-02-05,14:00:00,3.65,3.65,3.65,3.65,600,0
2015-02-05,14:10:00,3.65,3.65,3.65,3.65,455,0
2015-02-05,14:45:00,3.64,3.64,3.64,3.64,600,0
2015-02-05,14:55:00,3.65,3.65,3.65,3.65,30,0
2015-02-05,15:25:00,3.64,3.64,3.64,3.64,600,0
2015-02-05,15:30:00,3.65,3.65,3.65,3.65,513,0
2015-02-05,16:05:00,3.64,3.64,3.64,3.64,600,0
2015-02-05,16:15:00,3.65,3.65,3.65,3.65,380,0
2015-02-05,16:50:00,3.65,3.65,3.65,3.65,3600,0
2015-02-06,09:05:00,3.65,3.65,3.65,3.65,1,0
2015-02-06,13:30:00,3.65,3.65,3.65,3.65,700,0
2015-02-06,15:40:00,3.54,3.54,3.54,3.54,700,0
2015-02-09,09:05:00,3.65,3.65,3.65,3.65,1,0
2015-02-09,16:00:00,3.5,3.65,3.5,3.65,242,0
2015-02-10,09:05:00,3.65,3.65,3.65,3.65,1,0
2015-02-10,15:45:00,3.43,3.43,3.43,3.43,526,0
2015-02-10,16:35:00,3.6,3.65,3.6,3.65,3000,0
2015-02-10,16:40:00,3.65,3.65,3.65,3.65,2543,0
2015-02-11,09:05:00,3.91,3.91,3.91,3.91,1,0
2015-02-11,09:35:00,3.84,3.84,3.84,3.84,24,0
2015-02-12,09:10:00,3.85,3.85,3.85,3.85,1,0
2015-02-12,11:50:00,3.66,3.85,3.66,3.85,437,0
2015-02-13,09:05:00,3.85,3.85,3.85,3.85,1,0
2015-02-13,12:20:00,3.85,3.85,3.85,3.85,43,0
2015-02-16,09:05:00,3.85,3.85,3.85,3.85,1,0
2015-02-16,16:20:00,3.84,3.84,3.84,3.84,300,0
2015-02-17,09:05:00,3.85,3.85,3.85,3.85,1,0
2015-02-17,10:05:00,3.72,3.72,3.7,3.7,4753,0
2015-02-17,10:15:00,3.61,3.61,3.61,3.61,79,0
2015-02-17,10:20:00,3.85,3.85,3.85,3.85,1,0
2015-02-18,11:30:00,3.85,3.85,3.85,3.85,1,0
2015-02-19,09:05:00,3.85,3.85,3.85,3.85,1,0
2015-02-19,13:20:00,3.83,3.83,3.83,3.83,779,0
2015-02-19,13:50:00,3.85,3.85,3.85,3.85,449,0
2015-02-20,09:05:00,3.85,3.85,3.85,3.85,1,0
2015-02-20,14:40:00,3.7,3.7,3.7,3.7,400,0
2015-02-23,09:05:00,3.85,3.85,3.85,3.85,1,0
2015-02-23,09:25:00,3.85,3.85,3.85,3.85,78,0
2015-02-23,10:55:00,3.85,3.85,3.85,3.85,52,0
2015-02-23,12:10:00,3.91,3.91,3.91,3.91,90,0
2015-02-23,13:25:00,3.92,3.92,3.92,3.92,88,0
2015-02-23,13:55:00,3.93,4.14,3.91,4.14,970,0
2015-02-23,14:50:00,3.76,3.76,3.76,3.76,379,0
2015-02-24,09:35:00,3.82,4.14,3.82,4.14,71,0
2015-02-24,10:40:00,3.8,3.8,3.8,3.8,780,0
2015-02-24,11:15:00,4.13,4.13,4.13,4.13,1,0
2015-02-24,13:20:00,3.99,3.99,3.99,3.99,38,0
2015-02-24,15:00:00,3.9,3.9,3.8,3.8,2060,0
2015-02-24,15:15:00,4.12,4.12,4.12,4.12,1,0
2015-02-24,16:50:00,3.88,4.12,3.88,4.12,1001,0
2015-02-25,09:05:00,3.88,4.12,3.88,4.12,161,0
2015-02-25,12:35:00,3.92,4.12,3.92,4.12,421,0
2015-02-25,16:45:00,3.92,3.92,3.81,3.81,220,0
2015-02-25,16:50:00,4.12,4.12,4.12,4.12,1,0
2015-02-26,09:05:00,4.12,4.12,4.12,4.12,1,0
2015-02-26,10:55:00,4,4,4,4,25,0
2015-02-26,11:00:00,4.12,4.12,4.12,4.12,1,0
2015-02-26,16:50:00,3.85,3.85,3.85,3.85,180,0
2015-02-27,09:15:00,4.1,4.1,4.1,4.1,1,0
2015-03-02,09:25:00,4.09,4.09,4.09,4.09,1,0
2015-03-02,11:30:00,4,4,4,4,300,0
2015-03-02,12:10:00,4,4,4,4,300,0
2015-03-02,16:00:00,3.81,4,3.81,4,251,0
2015-03-03,09:15:00,4,4,4,4,1,0
2015-03-03,11:25:00,3.81,3.81,3.81,3.81,1701,0
2015-03-03,12:15:00,3.77,3.77,3.77,3.77,1900,0
2015-03-03,13:05:00,3.75,3.75,3.7,3.7,155,0
2015-03-04,13:15:00,3.95,3.95,3.95,3.95,1,0
2015-03-04,13:30:00,3.82,3.82,3.82,3.82,1980,0
2015-03-04,13:35:00,3.95,4,3.9,3.9,2026,0
2015-03-04,13:45:00,4,4,4,4,5,0
2015-03-04,15:10:00,4,4.25,4,4.25,5836,0
2015-03-04,15:35:00,4.33,4.33,4.33,4.33,215,0
2015-03-05,09:05:00,4.33,4.33,4.33,4.33,1,0
2015-03-05,11:00:00,4.15,4.15,4.15,4.15,1799,0
2015-03-05,11:10:00,4.12,4.12,4.12,4.12,405,0
2015-03-05,11:15:00,4.25,4.25,4.25,4.25,1,0
2015-03-06,09:05:00,4.33,4.33,4.33,4.33,1,0
2015-03-06,11:10:00,4.23,4.23,4.23,4.23,580,0
2015-03-06,13:45:00,4.32,4.32,4.32,4.32,1,0
2015-03-09,09:05:00,4.3,4.3,4.3,4.3,230,0
2015-03-10,09:05:00,4.27,4.27,4.27,4.27,1,0
2015-03-10,16:50:00,4.12,4.12,4.12,4.12,200,0
2015-03-11,09:05:00,4.27,4.27,4.27,4.27,1,0
2015-03-11,10:20:00,4.12,4.12,4.12,4.12,1500,0
2015-03-11,10:35:00,4.12,4.12,4.12,4.12,520,0
2015-03-12,09:05:00,4.27,4.27,4.27,4.27,1,0
2015-03-12,15:35:00,4.05,4.05,4.05,4.05,250,0
2015-03-12,15:55:00,4.05,4.27,4.05,4.27,1501,0
2015-03-12,16:10:00,3.9,4.27,3.9,4.27,52,0
2015-03-13,09:05:00,4.16,4.16,4.16,4.16,1,0
2015-03-16,09:05:00,4.22,4.22,4.2,4.2,301,0
2015-03-17,09:05:00,4.2,4.2,4.2,4.2,1,0
2015-03-17,09:40:00,3.94,4.05,3.94,4.05,1901,0
2015-03-17,09:55:00,4.04,4.2,4.04,4.2,2775,0
2015-03-17,10:00:00,4.05,4.05,4.05,4.05,1100,0
2015-03-17,14:20:00,4.05,4.05,4.05,4.05,56,0
2015-03-17,14:25:00,4.05,4.05,4.05,4.05,830,0
2015-03-18,09:05:00,4.27,4.27,4.27,4.27,1,0
2015-03-19,09:05:00,4.27,4.27,4.27,4.27,1,0
2015-03-19,14:50:00,4.16,4.16,4.16,4.16,350,0
2015-03-19,14:55:00,4.27,4.27,4.27,4.27,1,0
2015-03-20,09:05:00,4.3,4.7,4.3,4.7,7956,0
2015-03-20,09:15:00,4.56,4.7,4.56,4.7,6000,0
2015-03-20,09:20:00,4.69,4.7,4.69,4.7,3542,0
2015-03-20,09:25:00,4.7,4.7,4.7,4.7,458,0
2015-03-20,09:30:00,4.52,4.52,4.52,4.52,1662,0
2015-03-20,09:40:00,4.65,4.65,4.65,4.65,1,0
2015-03-20,09:55:00,4.6,4.65,4.6,4.65,1621,0
2015-03-20,10:00:00,4.52,4.52,4.52,4.52,1660,0
2015-03-20,10:05:00,4.6,4.6,4.6,4.6,1632,0
2015-03-20,11:00:00,4.6,4.6,4.6,4.6,300,0
2015-03-20,13:55:00,4.6,4.65,4.6,4.65,600,0
2015-03-20,14:00:00,4.65,4.73,4.65,4.73,903,0
2015-03-20,15:10:00,4.78,4.81,4.78,4.81,1160,0
2015-03-20,15:15:00,4.84,4.98,4.84,4.98,201,0
2015-03-20,15:30:00,4.9,4.98,4.9,4.98,1931,0
2015-03-20,15:35:00,4.98,4.98,4.98,4.98,1599,0
2015-03-20,15:40:00,4.99,5.05,4.9,4.9,10637,0
2015-03-20,15:50:00,4.89,4.89,4.89,4.89,10,0
2015-03-20,16:10:00,4.89,4.92,4.89,4.92,450,0
2015-03-20,16:50:00,4.95,4.95,4.95,4.95,50,0
2015-03-23,09:05:00,4.93,4.95,4.93,4.95,111,0
2015-03-23,09:35:00,4.7,4.7,4.7,4.7,1598,0
2015-03-23,09:50:00,4.8,4.8,4.8,4.8,1563,0
2015-03-23,11:40:00,4.92,4.92,4.92,4.92,150,0
2015-03-23,12:05:00,4.8,4.8,4.8,4.8,1523,0
2015-03-23,13:00:00,4.92,4.92,4.92,4.92,150,0
2015-03-23,13:30:00,4.92,4.94,4.92,4.94,1110,0
2015-03-23,13:35:00,4.94,4.94,4.94,4.94,419,0
2015-03-24,09:05:00,4.9,4.9,4.9,4.9,300,0
2015-03-24,12:55:00,4.88,4.88,4.88,4.88,6000,0
2015-03-24,13:10:00,4.88,4.88,4.88,4.88,40,0
2015-03-24,16:40:00,4.86,4.86,4.86,4.86,3000,0
2015-03-24,16:50:00,4.86,4.86,4.86,4.86,10,0
2015-03-25,09:05:00,4.87,4.87,4.87,4.87,1,0
2015-03-25,16:50:00,4.87,4.87,4.87,4.87,1,0
2015-03-26,09:05:00,4.87,4.87,4.87,4.87,1,0
2015-03-26,12:10:00,4.68,4.75,4.68,4.75,1614,0
2015-03-26,12:50:00,4.53,4.8,4.53,4.8,731,0
2015-03-26,16:05:00,4.75,4.75,4.75,4.75,1,0
2015-03-27,09:15:00,4.87,4.87,4.87,4.87,1,0
2015-03-27,14:10:00,4.55,4.87,4.55,4.86,20732,0
2015-03-27,14:25:00,4.6,4.6,4.55,4.55,5042,0
2015-03-27,14:40:00,4.6,4.6,4.6,4.6,11,0
2015-03-30,09:05:00,4.75,4.75,4.75,4.75,1,0
2015-03-30,10:15:00,4.48,4.48,4.31,4.31,4065,0
2015-03-30,11:15:00,4.48,4.48,4.48,4.48,1675,0
2015-03-30,15:35:00,4.48,4.48,4.48,4.48,1985,0
2015-03-30,16:50:00,4.6,4.6,4.6,4.6,1655,0
2015-03-31,09:05:00,4.65,4.65,4.65,4.65,100,0
2015-04-01,09:05:00,4.65,4.65,4.65,4.65,1,0
2015-04-01,10:30:00,4.65,4.65,4.65,4.65,108,0
2015-04-02,09:05:00,4.65,4.65,4.65,4.65,1,0
2015-04-02,13:50:00,4.5,4.65,4.5,4.65,1701,0
2015-04-07,09:05:00,4.53,4.53,4.53,4.53,643,0
2015-04-08,11:50:00,4.58,4.6,4.58,4.6,3084,0
2015-04-08,16:50:00,4.65,4.65,4.65,4.65,198,0
