Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-03-20,09:05:00,15.828,15.828,15.828,15.828,536,0
2015-03-20,09:45:00,15.511,15.828,15.511,15.828,132,0
2015-03-20,10:20:00,15.818,15.818,15.818,15.818,215,0
2015-03-20,15:05:00,15.818,15.818,15.818,15.818,107,0
2015-03-20,15:45:00,15.651,15.651,15.651,15.651,161,0
2015-03-20,16:05:00,15.809,15.809,15.809,15.809,26,0
2015-03-23,09:05:00,15.828,15.828,15.828,15.828,161,0
2015-03-23,09:35:00,15.809,15.809,15.809,15.809,107,0
2015-03-23,10:05:00,15.66,15.66,15.362,15.362,301,0
2015-03-23,10:10:00,15.269,15.269,15.157,15.157,74,0
2015-03-23,10:20:00,15.809,15.809,15.809,15.809,1,0
2015-03-24,09:05:00,14.897,14.897,14.887,14.887,589,0
2015-03-24,09:10:00,14.44,14.44,14.431,14.431,251,0
2015-03-24,09:15:00,14.422,14.431,14.338,14.431,628,0
2015-03-24,09:20:00,14.682,14.682,14.682,14.682,107,0
2015-03-24,09:25:00,14.338,14.338,14.338,14.338,1074,0
2015-03-24,09:30:00,14.478,14.478,14.478,14.478,1219,0
2015-03-24,09:35:00,14.338,14.338,14.338,14.338,76,0
2015-03-24,09:50:00,14.366,14.366,14.366,14.366,102,0
2015-03-24,10:00:00,14.682,14.682,14.338,14.338,430,0
2015-03-24,10:10:00,14.338,14.338,14.338,14.338,107,0
2015-03-24,10:20:00,14.301,14.608,14.161,14.608,1020,0
2015-03-24,10:25:00,14.338,14.338,14.338,14.338,56,0
2015-03-24,10:45:00,14.524,14.524,14.524,14.524,3626,0
2015-03-24,10:50:00,14.673,14.673,14.673,14.673,193,0
2015-03-24,11:20:00,14.515,14.515,14.515,14.515,176,0
2015-03-24,11:40:00,14.431,14.431,14.338,14.338,314,0
2015-03-24,13:25:00,14.347,14.347,14.347,14.347,584,0
2015-03-24,14:15:00,14.478,14.478,14.478,14.478,52,0
2015-03-24,14:20:00,14.478,14.478,14.478,14.478,54,0
2015-03-24,14:25:00,14.524,14.524,14.524,14.524,107,0
2015-03-24,15:10:00,14.338,14.338,14.338,14.338,322,0
2015-03-24,15:15:00,14.347,14.347,14.338,14.338,269,0
2015-03-24,15:55:00,14.347,14.347,14.338,14.338,263,0
2015-03-24,16:00:00,14.338,14.338,14.338,14.338,63,0
2015-03-24,16:15:00,14.338,14.338,14.338,14.338,70,0
2015-03-24,16:40:00,14.654,14.654,14.338,14.338,81,0
2015-03-24,16:45:00,14.338,14.338,14.338,14.338,34,0
2015-03-24,16:50:00,14.208,14.208,14.208,14.208,255,0
2015-03-25,09:05:00,14.105,14.105,13.779,13.779,415,0
2015-03-25,09:25:00,13.779,13.779,13.779,13.779,148,0
2015-03-25,09:30:00,13.77,13.77,13.77,13.77,110,0
2015-03-25,09:35:00,13.593,13.593,13.5,13.5,537,0
2015-03-25,09:40:00,13.696,13.696,13.696,13.696,107,0
2015-03-25,09:45:00,13.686,13.686,13.686,13.686,43,0
2015-03-25,09:55:00,13.426,13.426,13.314,13.314,2857,0
2015-03-25,10:10:00,13.221,13.221,13.221,13.221,215,0
2015-03-25,10:20:00,13.221,13.221,13.221,13.221,430,0
2015-03-25,10:35:00,13.221,13.221,13.221,13.221,807,0
2015-03-25,10:50:00,13.128,13.128,13.128,13.128,215,0
2015-03-25,10:55:00,13.221,13.221,13.221,13.221,215,0
2015-03-25,11:10:00,13.221,13.221,13.221,13.221,107,0
2015-03-25,11:20:00,13.221,13.221,13.221,13.221,107,0
2015-03-25,11:30:00,13.146,13.146,13.128,13.128,161,0
2015-03-25,11:50:00,13.128,13.128,13.128,13.128,81,0
2015-03-25,11:55:00,13.128,13.128,13.128,13.128,43,0
2015-03-25,12:00:00,13.221,13.221,13.221,13.221,266,0
2015-03-25,12:05:00,13.221,13.221,13.221,13.221,215,0
2015-03-25,12:25:00,13.221,13.221,13.221,13.221,54,0
2015-03-25,12:35:00,13.221,13.221,13.221,13.221,107,0
2015-03-25,13:00:00,13.221,13.221,13.221,13.221,161,0
2015-03-25,13:05:00,13.221,13.686,13.221,13.686,163,0
2015-03-25,13:35:00,13.621,13.966,13.621,13.966,7543,0
2015-03-25,13:40:00,13.966,14.049,13.966,14.049,1933,0
2015-03-25,13:45:00,13.966,13.966,13.966,13.966,2724,0
2015-03-25,14:00:00,13.966,13.966,13.966,13.966,107,0
2015-03-25,15:30:00,13.696,13.696,13.686,13.686,187,0
2015-03-25,15:55:00,13.947,13.947,13.947,13.947,90,0
2015-03-25,16:10:00,13.593,13.947,13.593,13.947,49,0
2015-03-26,09:05:00,13.938,13.938,13.938,13.938,215,0
2015-03-26,10:05:00,13.453,13.453,13.156,13.156,430,0
2015-03-26,10:20:00,13.863,13.863,13.863,13.863,1,0
2015-03-26,10:50:00,13.407,13.407,13.407,13.407,516,0
2015-03-26,11:35:00,13.826,13.826,13.826,13.826,322,0
2015-03-26,14:15:00,13.37,13.37,13.36,13.36,537,0
2015-03-26,14:35:00,13.77,13.77,13.77,13.77,1,0
2015-03-26,15:40:00,13.63,13.63,13.63,13.63,3,0
2015-03-26,16:50:00,13.528,13.528,13.528,13.528,5,0
2015-03-27,09:40:00,13.723,13.723,13.723,13.723,2,0
2015-03-27,16:45:00,13.686,13.686,13.686,13.686,107,0
2015-03-27,16:50:00,13.686,13.686,13.686,13.686,378,0
2015-03-30,09:05:00,13.723,13.723,13.723,13.723,215,0
2015-03-30,10:45:00,13.379,13.379,13.137,13.137,1074,0
