Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-01,09:05:00,9.4,9.4,9.4,9.4,300,0
2015-04-01,09:15:00,9.39,9.45,9.39,9.45,2362,0
2015-04-01,10:50:00,9.45,9.45,9.45,9.45,1119,0
2015-04-01,11:50:00,9.49,9.5,9.49,9.5,175,0
2015-04-01,12:00:00,9.5,9.5,9.5,9.5,125,0
2015-04-01,12:10:00,9.55,9.63,9.55,9.63,5100,0
2015-04-01,14:30:00,9.74,9.74,9.74,9.74,5,0
2015-04-01,14:45:00,9.71,9.71,9.7,9.7,200,0
2015-04-01,16:00:00,9.74,9.74,9.74,9.74,125,0
2015-04-01,16:10:00,9.74,9.95,9.74,9.9,420,0
2015-04-01,16:50:00,9.95,9.95,9.95,9.95,163,0
2015-04-02,11:50:00,9.9,9.9,9.9,9.9,200,0
2015-04-02,13:25:00,9.8,9.8,9.8,9.8,300,0
2015-04-02,15:35:00,9.8,9.9,9.8,9.9,252,0
2015-04-02,16:00:00,9.8,9.8,9.8,9.8,55,0
2015-04-02,16:40:00,9.8,9.9,9.8,9.9,131,0
2015-04-02,16:45:00,9.9,9.9,9.9,9.9,52,0
2015-04-07,09:05:00,9.7,9.7,9.59,9.59,1037,0
2015-04-07,09:55:00,9.6,9.6,9.6,9.6,5,0
2015-04-07,11:05:00,9.6,9.6,9.6,9.6,95,0
2015-04-07,12:10:00,9.6,9.6,9.6,9.6,100,0
2015-04-07,12:15:00,9.7,9.7,9.7,9.7,5,0
2015-04-07,14:40:00,9.53,9.53,9.53,9.53,316,0
2015-04-07,16:50:00,9.53,9.7,9.53,9.7,155,0
2015-04-08,09:50:00,9.45,9.45,9.4,9.4,400,0
2015-04-08,10:05:00,9.4,9.4,9.4,9.4,400,0
2015-04-08,11:05:00,9.39,9.39,9.39,9.39,43,0
2015-04-08,11:10:00,9.39,9.4,9.39,9.4,14693,0
2015-04-08,11:25:00,9.5,9.5,9.5,9.5,40,0
2015-04-08,11:30:00,9.5,9.5,9.5,9.5,426,0
2015-04-08,12:45:00,9.7,9.7,9.7,9.7,470,0
2015-04-08,12:50:00,9.73,9.73,9.73,9.73,727,0
2015-04-08,13:00:00,9.78,9.78,9.78,9.78,10,0
