Date,Time,Open,High,Low,Close,Volume,OpenInt
2012-11-28,09:05:00,1.84,1.84,1.84,1.84,271,0
2012-11-29,14:40:00,1.8,1.8,1.8,1.8,150,0
2012-11-29,14:45:00,1.8,1.8,1.8,1.8,50,0
2012-11-29,15:35:00,1.84,1.84,1.84,1.84,20,0
2012-11-30,16:50:00,1.8,1.8,1.8,1.8,300,0
2012-11-30,16:55:00,1.8,1.8,1.8,1.8,180,0
2012-11-30,17:20:00,1.88,1.88,1.88,1.88,10,0
2012-12-05,10:00:00,1.83,1.83,1.83,1.83,173,0
2012-12-05,10:20:00,1.85,1.85,1.85,1.85,110,0
2012-12-05,15:15:00,1.88,1.88,1.88,1.88,170,0
2012-12-05,15:25:00,1.88,1.88,1.88,1.88,200,0
2012-12-06,13:10:00,1.85,1.85,1.85,1.85,500,0
2012-12-06,13:15:00,1.75,1.75,1.75,1.75,200,0
2012-12-06,14:50:00,1.77,1.77,1.77,1.77,57,0
2012-12-06,15:15:00,1.89,1.89,1.89,1.89,30,0
2012-12-06,16:10:00,1.83,1.83,1.83,1.83,1224,0
2012-12-06,17:05:00,1.83,1.83,1.83,1.83,126,0
2012-12-06,17:20:00,1.91,1.91,1.91,1.91,20,0
2012-12-10,09:05:00,1.74,1.74,1.74,1.74,700,0
2012-12-10,11:00:00,1.84,1.84,1.84,1.84,30,0
2012-12-11,13:05:00,1.78,1.78,1.78,1.78,2000,0
2012-12-11,13:15:00,1.76,1.76,1.76,1.76,2174,0
2012-12-11,13:20:00,1.77,1.77,1.77,1.77,30,0
2012-12-11,14:05:00,1.73,1.73,1.73,1.73,700,0
2012-12-12,09:50:00,1.67,1.67,1.67,1.67,1100,0
2012-12-12,10:05:00,1.61,1.61,1.61,1.61,500,0
2012-12-12,10:10:00,1.61,1.61,1.61,1.61,300,0
2012-12-12,10:15:00,1.61,1.61,1.61,1.61,1150,0
2012-12-12,10:30:00,1.61,1.61,1.61,1.61,950,0
2012-12-12,10:35:00,1.61,1.61,1.61,1.61,500,0
2012-12-12,10:55:00,1.61,1.61,1.61,1.61,500,0
2012-12-12,11:00:00,1.61,1.61,1.61,1.61,500,0
2012-12-12,11:15:00,1.61,1.61,1.61,1.61,500,0
2012-12-12,11:20:00,1.61,1.61,1.61,1.61,1000,0
2012-12-12,11:25:00,1.61,1.61,1.61,1.61,2063,0
2012-12-12,11:30:00,1.86,1.86,1.86,1.86,100,0
2012-12-12,11:50:00,1.61,1.61,1.61,1.61,1292,0
2012-12-12,11:55:00,1.57,1.58,1.57,1.58,1470,0
2012-12-12,12:00:00,1.59,1.59,1.57,1.57,2200,0
2012-12-12,12:10:00,1.6,1.6,1.6,1.6,408,0
2012-12-12,12:30:00,1.6,1.6,1.6,1.6,800,0
2012-12-12,12:35:00,1.61,1.61,1.61,1.61,3109,0
2012-12-12,13:30:00,1.69,1.69,1.69,1.69,200,0
2012-12-12,15:25:00,1.65,1.75,1.65,1.75,4891,0
2012-12-12,16:25:00,1.75,1.75,1.75,1.75,100,0
2012-12-12,16:30:00,1.75,1.75,1.75,1.75,100,0
