Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-10-07,09:05:00,5.78,5.78,5.75,5.76,1796,0
2015-10-07,09:10:00,5.77,5.79,5.77,5.79,2700,0
2015-10-07,09:15:00,5.78,5.79,5.75,5.78,5726,0
2015-10-07,09:20:00,5.79,5.82,5.79,5.8,26117,0
2015-10-07,09:25:00,5.82,5.86,5.8,5.82,36047,0
2015-10-07,09:30:00,5.81,5.83,5.8,5.8,9096,0
2015-10-07,09:35:00,5.83,5.85,5.83,5.84,1905,0
2015-10-07,09:40:00,5.85,5.88,5.85,5.87,1927,0
2015-10-07,09:55:00,5.84,5.84,5.84,5.84,1183,0
2015-10-07,10:00:00,5.84,5.87,5.81,5.81,5895,0
2015-10-07,10:05:00,5.84,5.84,5.84,5.84,840,0
2015-10-07,10:15:00,5.83,5.83,5.83,5.83,517,0
2015-10-07,10:25:00,5.81,5.84,5.81,5.82,6066,0
2015-10-07,10:35:00,5.83,5.84,5.83,5.84,3776,0
2015-10-07,10:45:00,5.82,5.82,5.81,5.81,3102,0
2015-10-07,10:50:00,5.82,5.82,5.81,5.81,2510,0
2015-10-07,11:05:00,5.82,5.82,5.82,5.82,945,0
2015-10-07,11:15:00,5.82,5.84,5.82,5.84,2370,0
2015-10-07,11:20:00,5.83,5.83,5.83,5.83,328,0
2015-10-07,11:30:00,5.82,5.83,5.82,5.83,1333,0
2015-10-07,11:35:00,5.82,5.85,5.82,5.85,5516,0
2015-10-07,11:40:00,5.83,5.83,5.82,5.82,1146,0
2015-10-07,11:45:00,5.82,5.82,5.81,5.81,3073,0
2015-10-07,12:00:00,5.82,5.82,5.82,5.82,113,0
2015-10-07,12:05:00,5.81,5.82,5.81,5.82,4114,0
2015-10-07,12:15:00,5.81,5.81,5.8,5.8,1593,0
2015-10-07,12:25:00,5.8,5.81,5.74,5.74,4676,0
2015-10-07,12:30:00,5.74,5.74,5.74,5.74,1000,0
2015-10-07,12:35:00,5.73,5.73,5.73,5.73,812,0
2015-10-07,13:15:00,5.74,5.74,5.74,5.74,85,0
2015-10-07,13:20:00,5.72,5.72,5.7,5.72,3583,0
2015-10-07,14:25:00,5.71,5.71,5.7,5.7,2777,0
2015-10-07,14:30:00,5.71,5.71,5.7,5.7,1945,0
2015-10-07,14:50:00,5.71,5.71,5.68,5.68,7139,0
2015-10-07,14:55:00,5.67,5.67,5.67,5.67,1451,0
2015-10-07,15:00:00,5.67,5.67,5.64,5.64,2575,0
2015-10-07,15:05:00,5.64,5.68,5.64,5.68,4895,0
2015-10-07,15:10:00,5.66,5.69,5.66,5.69,3957,0
2015-10-07,15:15:00,5.67,5.67,5.67,5.67,2236,0
2015-10-07,15:25:00,5.68,5.69,5.68,5.69,2538,0
2015-10-07,15:55:00,5.7,5.7,5.7,5.7,200,0
2015-10-07,16:10:00,5.7,5.7,5.69,5.69,334,0
2015-10-07,16:15:00,5.68,5.68,5.68,5.68,380,0
2015-10-07,16:20:00,5.68,5.77,5.67,5.75,13726,0
2015-10-07,16:25:00,5.7,5.7,5.7,5.7,553,0
2015-10-07,16:30:00,5.7,5.7,5.65,5.65,3751,0
2015-10-07,16:35:00,5.7,5.71,5.7,5.7,2860,0
2015-10-07,16:40:00,5.7,5.7,5.7,5.7,500,0
2015-10-07,16:45:00,5.7,5.71,5.68,5.68,6515,0
2015-10-07,16:50:00,5.67,5.7,5.63,5.63,21734,0
2015-10-08,09:10:00,5.63,5.74,5.63,5.74,295,0
2015-10-08,09:40:00,5.66,5.72,5.66,5.72,208,0
2015-10-08,10:15:00,5.71,5.73,5.71,5.73,1437,0
2015-10-08,11:30:00,5.69,5.7,5.69,5.7,3992,0
2015-10-08,11:45:00,5.67,5.67,5.67,5.67,1779,0
2015-10-08,11:50:00,5.7,5.7,5.7,5.7,384,0
2015-10-08,12:00:00,5.7,5.7,5.7,5.7,1442,0
2015-10-08,12:30:00,5.7,5.7,5.67,5.7,8515,0
2015-10-08,13:25:00,5.67,5.67,5.67,5.67,100,0
2015-10-08,13:50:00,5.7,5.7,5.7,5.7,1486,0
2015-10-08,14:50:00,5.7,5.7,5.67,5.67,4410,0
2015-10-08,15:30:00,5.67,5.67,5.67,5.67,970,0
2015-10-08,15:35:00,5.63,5.63,5.62,5.62,5988,0
2015-10-08,15:40:00,5.6,5.6,5.55,5.57,6961,0
2015-10-08,16:00:00,5.6,5.6,5.6,5.6,913,0
2015-10-08,16:05:00,5.6,5.62,5.6,5.6,5600,0
2015-10-08,16:10:00,5.6,5.6,5.6,5.6,1500,0
2015-10-08,16:15:00,5.59,5.6,5.59,5.6,815,0
2015-10-08,16:20:00,5.6,5.66,5.59,5.66,2729,0
2015-10-08,16:25:00,5.58,5.58,5.07,5.35,810972,0
2015-10-08,16:30:00,5.35,5.35,5.25,5.34,11995,0
2015-10-08,16:35:00,5.34,5.45,5.32,5.43,88367,0
2015-10-08,16:40:00,5.4,5.44,5.4,5.42,22426,0
2015-10-08,16:45:00,5.42,5.44,5.41,5.43,19372,0
2015-10-08,16:50:00,5.42,5.49,5.42,5.45,158979,0
2015-10-09,09:05:00,5.51,5.51,5.51,5.51,911,0
2015-10-09,09:10:00,5.51,5.54,5.51,5.52,2975,0
2015-10-09,09:15:00,5.52,5.54,5.52,5.54,5000,0
2015-10-09,09:25:00,5.54,5.54,5.54,5.54,1616,0
2015-10-09,09:30:00,5.55,5.55,5.55,5.55,1470,0
2015-10-09,09:35:00,5.55,5.55,5.55,5.55,1643,0
2015-10-09,09:45:00,5.54,5.58,5.54,5.58,1837,0
2015-10-09,09:50:00,5.57,5.57,5.57,5.57,1596,0
2015-10-09,10:00:00,5.58,5.58,5.58,5.58,2170,0
2015-10-09,10:05:00,5.58,5.58,5.58,5.58,1303,0
2015-10-09,10:10:00,5.58,5.58,5.58,5.58,532,0
2015-10-09,10:15:00,5.6,5.66,5.6,5.66,5758,0
