Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-09-19,09:05:00,0.12,0.12,0.12,0.12,130303,0
2014-09-19,09:35:00,0.12,0.12,0.12,0.12,5000,0
2014-09-19,09:45:00,0.12,0.12,0.12,0.12,3000,0
2014-09-19,09:55:00,0.12,0.12,0.12,0.12,100000,0
2014-09-19,10:00:00,0.12,0.12,0.12,0.12,1000,0
2014-09-19,10:05:00,0.12,0.12,0.12,0.12,55000,0
2014-09-19,10:10:00,0.12,0.12,0.11,0.11,5760,0
2014-09-19,10:40:00,0.11,0.12,0.11,0.12,6822,0
2014-09-19,11:10:00,0.12,0.12,0.12,0.12,50000,0
2014-09-19,11:15:00,0.12,0.12,0.12,0.12,50000,0
2014-09-19,11:20:00,0.12,0.12,0.12,0.12,78791,0
2014-09-19,11:25:00,0.12,0.12,0.12,0.12,3000,0
2014-09-19,11:30:00,0.12,0.12,0.12,0.12,10000,0
2014-09-19,11:35:00,0.12,0.12,0.12,0.12,20000,0
2014-09-19,11:45:00,0.12,0.12,0.12,0.12,20000,0
2014-09-19,11:50:00,0.12,0.12,0.12,0.12,10000,0
2014-09-19,11:55:00,0.12,0.12,0.12,0.12,26600,0
2014-09-19,12:00:00,0.11,0.11,0.11,0.11,5000,0
2014-09-19,12:10:00,0.11,0.12,0.11,0.12,32080,0
2014-09-19,12:40:00,0.12,0.12,0.12,0.12,2000,0
2014-09-19,13:00:00,0.12,0.12,0.12,0.12,4000,0
2014-09-19,13:15:00,0.12,0.12,0.12,0.12,50000,0
2014-09-19,13:35:00,0.12,0.12,0.12,0.12,2000,0
2014-09-19,15:20:00,0.12,0.12,0.12,0.12,800,0
2014-09-19,15:35:00,0.12,0.12,0.12,0.12,238,0
2014-09-19,15:50:00,0.12,0.12,0.12,0.12,100000,0
2014-09-19,16:00:00,0.11,0.11,0.11,0.11,14000,0
2014-09-19,16:05:00,0.12,0.12,0.12,0.12,70000,0
2014-09-19,16:10:00,0.12,0.12,0.12,0.12,3855,0
2014-09-19,16:15:00,0.12,0.12,0.12,0.12,12452,0
2014-09-19,16:25:00,0.12,0.12,0.12,0.12,60000,0
2014-09-19,16:35:00,0.12,0.12,0.12,0.12,10000,0
2014-09-19,16:50:00,0.12,0.12,0.12,0.12,136061,0
2014-09-22,09:05:00,0.11,0.12,0.11,0.12,400352,0
2014-09-22,09:10:00,0.11,0.12,0.11,0.12,45200,0
2014-09-22,09:25:00,0.12,0.12,0.11,0.11,32605,0
2014-09-22,09:40:00,0.12,0.12,0.12,0.12,10,0
2014-09-22,09:50:00,0.12,0.12,0.11,0.11,21533,0
2014-09-22,09:55:00,0.12,0.12,0.12,0.12,6160,0
2014-09-22,10:20:00,0.12,0.12,0.12,0.12,4000,0
2014-09-22,10:25:00,0.12,0.12,0.12,0.12,47015,0
2014-09-22,10:30:00,0.12,0.12,0.12,0.12,198000,0
2014-09-22,10:35:00,0.12,0.12,0.11,0.11,520804,0
2014-09-22,10:40:00,0.11,0.12,0.11,0.11,323600,0
2014-09-22,10:45:00,0.12,0.12,0.11,0.11,33200,0
2014-09-22,10:50:00,0.12,0.12,0.11,0.11,501111,0
2014-09-22,11:00:00,0.12,0.12,0.12,0.12,10611,0
2014-09-22,11:10:00,0.12,0.12,0.12,0.12,1417,0
2014-09-22,11:20:00,0.12,0.12,0.12,0.12,21111,0
2014-09-22,11:40:00,0.12,0.12,0.12,0.12,10000,0
2014-09-22,11:45:00,0.11,0.11,0.11,0.11,31488,0
2014-09-22,11:50:00,0.11,0.11,0.11,0.11,65724,0
2014-09-22,11:55:00,0.12,0.12,0.12,0.12,1111,0
2014-09-22,12:35:00,0.11,0.11,0.11,0.11,6042,0
2014-09-22,12:40:00,0.12,0.12,0.12,0.12,34545,0
2014-09-22,13:00:00,0.12,0.12,0.12,0.12,33000,0
2014-09-22,13:05:00,0.12,0.12,0.12,0.12,746000,0
2014-09-22,13:10:00,0.12,0.12,0.12,0.12,15000,0
2014-09-22,13:15:00,0.12,0.12,0.12,0.12,193644,0
2014-09-22,13:25:00,0.12,0.12,0.12,0.12,266956,0
2014-09-22,13:40:00,0.12,0.12,0.12,0.12,2000,0
2014-09-22,13:50:00,0.11,0.11,0.11,0.11,1000,0
2014-09-22,14:05:00,0.12,0.12,0.12,0.12,10000,0
2014-09-22,14:10:00,0.11,0.11,0.11,0.11,40,0
2014-09-22,14:35:00,0.12,0.12,0.12,0.12,2000,0
2014-09-22,15:15:00,0.11,0.11,0.11,0.11,50,0
2014-09-22,15:45:00,0.12,0.12,0.12,0.12,10000,0
2014-09-22,15:50:00,0.11,0.12,0.11,0.12,31600,0
2014-09-22,15:55:00,0.12,0.12,0.12,0.12,6000,0
2014-09-22,16:15:00,0.11,0.11,0.11,0.11,50,0
2014-09-22,16:35:00,0.12,0.12,0.12,0.12,26000,0
2014-09-22,16:40:00,0.12,0.12,0.12,0.12,25500,0
2014-09-22,16:45:00,0.11,0.11,0.11,0.11,1487,0
