Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-08-25,09:05:00,5.1,5.1,5.1,5.1,2760,0
2015-08-25,09:15:00,5.05,5.05,5.05,5.05,275,0
2015-08-25,09:25:00,5.35,5.35,5.35,5.35,44,0
2015-08-25,11:00:00,5.35,5.35,5.35,5.35,156,0
2015-08-25,11:05:00,5.35,5.35,5.35,5.35,62,0
2015-08-25,11:20:00,5.45,5.45,5.45,5.45,165,0
2015-08-25,12:25:00,5.42,5.42,5.42,5.42,430,0
2015-08-25,13:15:00,5.41,5.41,5.41,5.41,255,0
2015-08-25,13:30:00,5.16,5.16,5.15,5.15,550,0
2015-08-25,13:35:00,5.17,5.17,5.17,5.17,400,0
2015-08-25,13:45:00,5.17,5.4,5.17,5.4,739,0
2015-08-25,13:55:00,5.2,5.2,5.2,5.2,775,0
2015-08-25,14:05:00,5.2,5.2,5.2,5.2,300,0
2015-08-25,14:25:00,5.15,5.15,5.15,5.15,200,0
2015-08-25,14:30:00,5.37,5.37,5.37,5.37,100,0
2015-08-25,14:40:00,5.36,5.36,5.36,5.36,145,0
2015-08-25,15:00:00,5.35,5.35,5.35,5.35,129,0
2015-08-25,15:10:00,5.18,5.18,5.18,5.18,548,0
2015-08-25,15:15:00,5.21,5.21,5.21,5.21,250,0
2015-08-25,15:55:00,5.21,5.21,5.21,5.21,298,0
2015-08-25,16:10:00,5.25,5.35,5.25,5.35,282,0
2015-08-25,16:20:00,5.25,5.25,5.25,5.25,445,0
2015-08-25,16:35:00,5.21,5.21,5.21,5.21,260,0
2015-08-25,16:45:00,5.15,5.15,5.15,5.15,639,0
2015-08-25,16:50:00,5.15,5.15,5.14,5.15,1121,0
2015-08-26,09:45:00,5.32,5.32,5.2,5.2,395,0
2015-08-26,10:30:00,5.29,5.29,5.29,5.29,200,0
2015-08-26,10:35:00,5.29,5.29,5.29,5.29,150,0
2015-08-26,10:45:00,5.29,5.29,5.29,5.29,380,0
2015-08-26,11:45:00,5.29,5.29,5.2,5.2,1955,0
2015-08-26,11:55:00,5.38,5.38,5.38,5.38,10,0
2015-08-26,13:55:00,5.34,5.34,5.34,5.34,70,0
2015-08-26,14:30:00,5.17,5.17,5.17,5.17,1000,0
2015-08-26,15:35:00,5.17,5.17,5.17,5.17,1049,0
2015-08-26,15:55:00,5.22,5.22,5.22,5.22,250,0
2015-08-26,16:15:00,5.26,5.26,5.17,5.17,390,0
2015-08-26,16:20:00,5.17,5.17,5.17,5.17,911,0
2015-08-26,16:50:00,5.33,5.33,5.33,5.33,27,0
2015-08-27,09:05:00,5.34,5.34,5.22,5.22,200,0
2015-08-27,09:20:00,5.3,5.3,5.3,5.3,100000,0
2015-08-27,09:25:00,5.33,5.34,5.33,5.34,5000,0
2015-08-27,09:35:00,5.34,5.34,5.34,5.34,100,0
2015-08-27,09:40:00,5.34,5.34,5.34,5.34,500,0
2015-08-27,09:50:00,5.34,5.34,5.34,5.34,200,0
2015-08-27,10:10:00,5.34,5.44,5.34,5.44,7979,0
2015-08-27,10:15:00,5.34,5.34,5.33,5.33,7121,0
2015-08-27,11:30:00,5.36,5.36,5.33,5.33,2657,0
2015-08-27,11:35:00,5.43,5.44,5.43,5.44,501,0
2015-08-27,12:00:00,5.43,5.44,5.43,5.44,800,0
2015-08-27,12:10:00,5.44,5.45,5.44,5.45,100,0
2015-08-27,12:15:00,5.45,5.49,5.45,5.49,615,0
2015-08-27,12:25:00,5.49,5.55,5.49,5.55,820,0
2015-08-27,12:35:00,5.56,5.56,5.56,5.56,150,0
2015-08-27,12:40:00,5.55,5.55,5.55,5.55,300,0
2015-08-27,12:45:00,5.55,5.6,5.55,5.55,662,0
2015-08-27,12:50:00,5.6,5.7,5.6,5.7,2813,0
2015-08-27,13:05:00,5.69,5.74,5.69,5.74,2887,0
2015-08-27,13:20:00,5.72,5.73,5.72,5.73,500,0
2015-08-27,13:55:00,5.62,5.62,5.62,5.62,500,0
2015-08-27,14:30:00,5.62,5.62,5.62,5.62,500,0
2015-08-27,14:55:00,5.56,5.56,5.5,5.5,3000,0
2015-08-27,15:00:00,5.5,5.5,5.5,5.5,581,0
2015-08-27,15:10:00,5.5,5.5,5.44,5.44,13905,0
2015-08-27,15:15:00,5.59,5.6,5.59,5.6,2089,0
2015-08-27,15:20:00,5.65,5.65,5.6,5.6,611,0
2015-08-27,15:25:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,15:30:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,15:35:00,5.63,5.64,5.63,5.64,200,0
2015-08-27,15:40:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,15:45:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,15:50:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,15:55:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,16:00:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,16:05:00,5.63,5.64,5.63,5.64,200,0
2015-08-27,16:10:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,16:15:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,16:20:00,5.63,5.63,5.63,5.63,400,0
2015-08-27,16:25:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,16:30:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,16:35:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,16:40:00,5.63,5.63,5.63,5.63,400,0
2015-08-27,16:45:00,5.63,5.63,5.63,5.63,200,0
2015-08-27,16:50:00,5.63,5.66,5.63,5.66,2950,0
2015-08-28,09:05:00,5.71,5.71,5.71,5.71,180,0
