Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-09,09:05:00,1.11,1.11,1.08,1.08,5227,0
2015-07-09,09:10:00,1.08,1.08,1.08,1.08,500,0
2015-07-09,09:15:00,1.08,1.08,1.08,1.08,1800,0
2015-07-09,09:20:00,1.08,1.1,1.08,1.1,1360,0
2015-07-09,09:25:00,1.1,1.1,1.1,1.1,1113,0
2015-07-09,09:55:00,1.1,1.1,1.1,1.1,5705,0
2015-07-09,10:10:00,1.08,1.08,1.08,1.08,702,0
2015-07-09,10:55:00,1.1,1.12,1.1,1.12,700,0
2015-07-09,11:05:00,1.12,1.12,1.12,1.12,5992,0
2015-07-09,11:10:00,1.14,1.16,1.14,1.14,2700,0
2015-07-09,11:15:00,1.12,1.14,1.12,1.14,301,0
2015-07-09,11:55:00,1.12,1.12,1.12,1.12,600,0
2015-07-09,12:00:00,1.12,1.12,1.12,1.12,57,0
2015-07-09,12:35:00,1.12,1.14,1.12,1.14,1392,0
2015-07-09,12:40:00,1.14,1.14,1.14,1.14,1698,0
2015-07-09,12:45:00,1.14,1.14,1.14,1.14,302,0
2015-07-09,12:50:00,1.14,1.14,1.12,1.14,401,0
2015-07-09,13:15:00,1.12,1.12,1.1,1.11,8061,0
2015-07-09,13:20:00,1.1,1.1,1.1,1.1,1,0
2015-07-09,13:30:00,1.1,1.11,1.1,1.1,1151,0
2015-07-09,13:40:00,1.08,1.09,1.07,1.09,1601,0
2015-07-09,13:50:00,1.09,1.09,1.09,1.09,500,0
2015-07-09,14:35:00,1.09,1.09,1.09,1.09,6,0
2015-07-09,14:40:00,1.08,1.08,1.06,1.06,6465,0
2015-07-09,14:50:00,1.07,1.07,1.07,1.07,2000,0
2015-07-09,14:55:00,1.06,1.06,1.05,1.05,1000,0
2015-07-09,15:00:00,1.06,1.06,1.06,1.06,1000,0
2015-07-09,15:20:00,1.07,1.07,1.07,1.07,600,0
2015-07-09,15:30:00,1.07,1.07,1.07,1.07,100,0
2015-07-09,15:35:00,1.08,1.08,1.08,1.08,95,0
2015-07-09,15:50:00,1.07,1.08,1.07,1.08,6436,0
2015-07-09,16:40:00,1.07,1.07,1.06,1.06,1049,0
2015-07-09,16:45:00,1.06,1.08,1.06,1.08,4086,0
2015-07-09,16:50:00,1.08,1.08,1.05,1.05,15877,0
2015-07-10,09:05:00,1.09,1.09,1.05,1.05,6128,0
2015-07-10,09:30:00,1.09,1.11,1.09,1.11,4420,0
2015-07-10,09:45:00,1.11,1.11,1.09,1.09,6700,0
2015-07-10,09:55:00,1.09,1.09,1.05,1.05,10000,0
2015-07-10,10:05:00,1.08,1.08,1.08,1.08,1,0
2015-07-10,10:10:00,1.05,1.05,1.05,1.05,1899,0
2015-07-10,10:15:00,1.07,1.07,1.07,1.07,131,0
2015-07-10,10:20:00,1.07,1.07,1.07,1.07,200,0
2015-07-10,10:35:00,1.07,1.07,1.05,1.05,1000,0
2015-07-10,11:05:00,1.08,1.08,1.08,1.08,198,0
2015-07-10,11:25:00,1.08,1.1,1.08,1.1,6019,0
2015-07-10,11:50:00,1.1,1.1,1.1,1.1,100,0
2015-07-10,12:00:00,1.08,1.08,1.08,1.08,1999,0
2015-07-10,12:05:00,1.1,1.1,1.1,1.1,7,0
2015-07-10,12:10:00,1.1,1.1,1.1,1.1,6580,0
2015-07-10,12:15:00,1.1,1.1,1.1,1.1,6043,0
2015-07-10,12:20:00,1.1,1.1,1.1,1.1,963,0
2015-07-10,12:35:00,1.1,1.1,1.1,1.1,909,0
2015-07-10,12:40:00,1.1,1.1,1.1,1.1,500,0
2015-07-10,13:00:00,1.07,1.07,1.07,1.07,170,0
2015-07-10,13:05:00,1.1,1.1,1.1,1.1,100,0
2015-07-10,13:40:00,1.09,1.1,1.09,1.1,1001,0
2015-07-10,13:50:00,1.09,1.09,1.09,1.09,924,0
2015-07-10,14:00:00,1.09,1.09,1.09,1.09,951,0
2015-07-10,14:10:00,1.09,1.09,1.09,1.09,125,0
2015-07-10,14:15:00,1.1,1.1,1.1,1.1,375,0
2015-07-10,14:35:00,1.1,1.1,1.1,1.1,375,0
2015-07-10,15:00:00,1.09,1.09,1.09,1.09,3500,0
2015-07-10,15:10:00,1.1,1.1,1.1,1.1,194,0
2015-07-10,15:25:00,1.1,1.1,1.1,1.1,1000,0
2015-07-10,15:30:00,1.1,1.1,1.08,1.08,711,0
2015-07-10,15:50:00,1.1,1.1,1.09,1.09,125,0
2015-07-10,15:55:00,1.09,1.09,1.09,1.09,903,0
2015-07-10,16:15:00,1.08,1.08,1.08,1.08,4000,0
2015-07-10,16:25:00,1.09,1.09,1.09,1.09,8778,0
2015-07-10,16:35:00,1.08,1.08,1.07,1.07,1580,0
2015-07-10,16:50:00,1.07,1.07,1.06,1.06,3806,0
2015-07-13,09:05:00,1.09,1.09,1.09,1.09,1120,0
2015-07-13,09:10:00,1.06,1.06,1.06,1.06,1944,0
