Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-07-02,09:20:00,25.705,25.705,25.705,25.705,66,0
2014-07-02,09:30:00,25.705,25.705,25.705,25.705,953,0
2014-07-02,10:15:00,25.646,25.646,25.646,25.646,77,0
2014-07-02,14:40:00,25.606,25.606,25.606,25.606,25,0
2014-07-02,16:40:00,25.606,25.606,25.606,25.606,41,0
2014-07-03,09:05:00,25.116,25.116,25.116,25.116,37,0
2014-07-03,12:40:00,25.803,25.803,25.803,25.803,35,0
2014-07-03,13:15:00,25.803,25.803,25.803,25.803,66,0
2014-07-03,13:45:00,25.803,25.803,25.803,25.803,409,0
2014-07-03,15:05:00,25.94,25.94,25.94,25.94,24,0
2014-07-08,09:35:00,24.723,24.723,24.723,24.723,204,0
2014-07-08,13:10:00,24.566,24.566,24.566,24.566,31,0
2014-07-08,13:30:00,24.331,24.331,24.282,24.282,144,0
2014-07-08,15:50:00,24.194,24.194,24.194,24.194,172,0
2014-07-08,16:00:00,23.997,23.997,23.997,23.997,115,0
2014-07-09,09:20:00,24.39,24.39,24.39,24.39,510,0
2014-07-09,10:40:00,24.243,24.243,24.243,24.243,64337,0
2014-07-09,11:15:00,24.39,24.39,24.39,24.39,31,0
2014-07-10,09:15:00,24.135,24.135,24.135,24.135,123,0
2014-07-10,09:20:00,24.096,24.096,24.096,24.096,204,0
2014-07-10,10:10:00,24.037,24.037,24.037,24.037,20,0
2014-07-10,12:50:00,23.252,23.252,22.899,22.899,556,0
2014-07-10,13:55:00,23.262,23.262,23.262,23.262,400,0
2014-07-10,15:05:00,23.36,23.36,23.36,23.36,9,0
2014-07-10,15:50:00,23.379,23.379,23.379,23.379,9,0
2014-07-10,16:10:00,23.389,23.389,23.389,23.389,30,0
2014-07-10,16:20:00,23.389,23.389,23.389,23.389,42,0
2014-07-10,16:40:00,23.546,23.546,23.546,23.546,101,0
2014-07-10,16:50:00,23.576,23.576,23.448,23.448,25686,0
2014-07-11,09:40:00,24.086,24.086,24.086,24.086,1019,0
2014-07-11,10:05:00,24.105,24.105,24.105,24.105,163084,0
2014-07-11,10:30:00,24.037,24.037,24.037,24.037,150853,0
2014-07-11,12:55:00,24.046,24.046,24.037,24.037,1101,0
2014-07-11,13:00:00,23.988,24.007,23.988,24.007,1081,0
2014-07-11,14:10:00,23.939,23.939,23.939,23.939,13,0
2014-07-11,14:55:00,23.939,23.939,23.919,23.919,1006,0
2014-07-11,16:50:00,23.919,23.919,23.919,23.919,1019,0
2014-07-14,10:10:00,23.899,23.919,23.899,23.919,135,0
2014-07-14,14:25:00,23.536,23.536,23.536,23.536,1121,0
2014-07-14,14:35:00,23.693,23.693,23.693,23.693,917,0
2014-07-14,16:40:00,24.331,24.439,24.331,24.439,2039,0
2014-07-14,16:45:00,24.38,24.38,24.38,24.38,2548,0
2014-07-14,16:50:00,24.38,24.38,24.38,24.38,510,0
2014-07-15,09:45:00,24.027,24.027,24.027,24.027,102,0
2014-07-15,10:10:00,23.988,23.988,23.988,23.988,81,0
2014-07-15,12:15:00,23.742,23.742,23.742,23.742,20,0
2014-07-15,13:40:00,23.742,23.742,23.742,23.742,999,0
2014-07-15,15:45:00,23.674,23.674,23.674,23.674,1019,0
2014-07-16,11:00:00,23.644,23.644,23.644,23.644,469,0
2014-07-16,13:05:00,23.644,23.644,23.644,23.644,448,0
2014-07-16,13:45:00,23.683,23.683,23.683,23.683,51,0
2014-07-16,14:10:00,23.84,23.84,23.84,23.84,815,0
2014-07-16,16:00:00,23.85,23.85,23.85,23.85,204,0
2014-07-18,09:55:00,23.399,23.399,23.399,23.399,4077,0
2014-07-18,13:15:00,23.477,23.477,23.477,23.477,666,0
2014-07-18,15:00:00,23.546,23.546,23.546,23.546,69,0
2014-07-18,15:15:00,23.811,23.811,23.811,23.811,76,0
2014-07-18,16:50:00,23.536,23.536,23.536,23.536,1434,0
2014-07-21,09:50:00,23.497,23.497,23.497,23.497,1417,0
2014-07-22,11:30:00,23.35,23.35,23.35,23.35,1223,0
2014-07-22,16:50:00,23.203,23.203,23.203,23.203,2161,0
2014-07-23,09:10:00,23.546,23.546,23.546,23.546,204,0
2014-07-23,10:25:00,23.497,23.497,23.497,23.497,1223,0
2014-07-23,15:25:00,24.007,24.007,24.007,24.007,102,0
2014-07-24,09:50:00,24.037,24.037,24.037,24.037,204,0
2014-07-24,10:40:00,24.311,24.311,24.282,24.282,1019,0
2014-07-24,14:35:00,24.606,24.606,24.606,24.606,599,0
2014-07-25,10:00:00,24.831,24.831,24.802,24.802,4077,0
2014-07-28,10:15:00,24.233,24.233,24.233,24.233,82,0
2014-07-28,12:00:00,24.704,24.704,24.704,24.704,3567,0
2014-07-28,13:50:00,24.488,24.488,24.488,24.488,13,0
2014-07-29,10:35:00,24.341,24.341,24.341,24.341,20,0
2014-07-29,10:50:00,24.517,24.517,24.517,24.517,316,0
2014-07-29,11:35:00,24.822,24.822,24.822,24.822,13,0
2014-07-29,12:35:00,25.057,25.057,25.057,25.057,2548,0
2014-07-29,15:40:00,25.057,25.057,25.057,25.057,31,0
2014-07-29,16:50:00,24.959,24.959,24.959,24.959,2535,0
2014-07-30,09:30:00,24.694,24.694,24.694,24.694,5,0
2014-07-30,10:20:00,25.047,25.047,25.047,25.047,510,0
2014-07-30,12:15:00,24.969,24.969,24.969,24.969,42,0
2014-07-30,16:40:00,24.969,24.969,24.969,24.969,177,0
2014-07-30,16:45:00,24.969,24.969,24.969,24.969,290,0
2014-07-31,12:25:00,24.527,24.527,24.527,24.527,36,0
2014-07-31,15:50:00,24.027,24.027,24.027,24.027,531,0
2014-07-31,15:55:00,24.046,24.046,24.046,24.046,102,0
2014-07-31,16:10:00,24.203,24.311,24.203,24.311,3468,0
2014-07-31,16:40:00,24.311,24.311,24.311,24.311,1629,0
2014-08-01,09:05:00,25.498,25.498,25.498,25.498,4,0
2014-08-01,10:20:00,23.939,23.939,23.939,23.939,51,0
2014-08-01,11:10:00,23.634,23.634,23.634,23.634,20,0
2014-08-01,13:55:00,24.213,24.213,24.213,24.213,66,0
2014-08-01,16:15:00,24.723,24.723,24.723,24.723,20,0
2014-08-01,16:40:00,24.723,24.723,24.723,24.723,2018,0
2014-08-04,09:55:00,24.723,24.723,24.723,24.723,102,0
2014-08-04,10:45:00,24.429,24.429,24.429,24.429,152,0
2014-08-04,16:45:00,24.527,24.527,24.527,24.527,204,0
2014-08-05,14:10:00,24.351,24.351,24.351,24.351,14066,0
2014-08-05,16:50:00,24.351,24.351,24.351,24.351,20,0
2014-08-06,11:55:00,23.556,23.556,23.399,23.399,256621,0
2014-08-06,13:25:00,23.35,23.35,23.35,23.35,158,0
2014-08-06,13:35:00,23.35,23.35,23.35,23.35,82,0
2014-08-06,16:50:00,23.35,23.35,23.203,23.203,253530,0
2014-08-07,12:20:00,23.526,23.526,23.526,23.526,152,0
2014-08-07,12:30:00,23.507,23.507,23.507,23.507,82,0
2014-08-07,16:50:00,23.379,23.379,23.379,23.379,254518,0
2014-08-08,13:00:00,23.536,23.536,23.536,23.536,1019,0
2014-08-08,13:40:00,23.399,23.399,23.399,23.399,346,0
2014-08-12,09:05:00,22.81,22.859,22.81,22.81,112,0
2014-08-12,09:30:00,22.859,22.859,22.859,22.859,37,0
2014-08-12,10:10:00,23.497,23.497,23.497,23.497,35,0
2014-08-12,10:20:00,23.497,23.497,23.301,23.301,814,0
2014-08-12,15:45:00,23.546,23.546,23.546,23.546,204,0
2014-08-12,16:50:00,23.546,23.546,23.546,23.546,986,0
2014-08-14,10:05:00,23.056,23.056,23.056,23.056,167,0
2014-08-14,12:40:00,23.399,23.399,23.399,23.399,1019,0
2014-08-14,15:50:00,23.007,23.007,23.007,23.007,255,0
2014-08-14,16:50:00,22.732,22.732,22.732,22.732,671,0
2014-08-18,09:20:00,23.448,23.448,23.448,23.448,2039,0
2014-08-20,15:25:00,23.007,23.007,23.007,23.007,102,0
2014-08-21,10:10:00,23.007,23.007,23.007,23.007,980,0
2014-08-21,10:25:00,23.546,23.546,23.546,23.546,2548,0
2014-08-21,11:15:00,23.448,23.448,23.448,23.448,255,0
2014-08-21,11:45:00,23.262,23.262,23.262,23.262,306,0
2014-08-21,15:30:00,23.742,23.742,23.742,23.742,2293,0
2014-08-22,09:30:00,23.988,23.988,23.988,23.988,306,0
2014-08-22,09:40:00,23.988,23.988,23.988,23.988,713,0
2014-08-22,11:30:00,23.85,23.85,23.85,23.85,102,0
2014-08-25,14:35:00,23.84,23.84,23.84,23.84,102,0
2014-08-25,14:45:00,23.978,24.135,23.978,24.135,204,0
2014-08-26,14:50:00,24.684,24.684,24.684,24.684,510,0
2014-08-27,09:10:00,24.684,24.684,24.674,24.674,2548,0
2014-08-27,11:40:00,24.959,24.959,24.959,24.959,1457,0
2014-08-27,13:30:00,24.969,24.979,24.969,24.979,204,0
2014-08-27,15:40:00,24.979,24.979,24.979,24.979,245,0
2014-08-28,09:20:00,25.263,25.263,25.263,25.263,1019,0
2014-08-28,13:05:00,24.537,24.537,24.537,24.537,102,0
2014-08-28,16:05:00,24.459,24.459,24.459,24.459,258,0
2014-08-28,16:50:00,24.527,24.527,24.527,24.527,71,0
2014-08-29,13:55:00,24.714,24.714,24.714,24.714,510,0
2014-09-02,09:05:00,22.614,22.614,22.614,22.614,8,0
2014-09-02,09:15:00,24.498,24.498,24.498,24.498,204,0
2014-09-02,11:05:00,24.478,24.674,24.478,24.674,486,0
2014-09-02,13:35:00,24.674,24.674,24.674,24.674,23,0
2014-09-02,15:40:00,24.625,24.625,24.625,24.625,510,0
2014-09-02,16:50:00,24.674,24.674,24.674,24.674,815,0
2014-09-03,10:05:00,25.116,25.116,25.116,25.116,102,0
2014-09-03,10:10:00,25.116,25.116,25.116,25.116,408,0
2014-09-04,13:05:00,25.391,25.391,25.391,25.391,40,0
2014-09-04,13:50:00,25.508,25.508,25.508,25.508,31,0
2014-09-04,14:35:00,25.763,25.763,25.763,25.763,20,0
2014-09-04,16:05:00,25.999,25.999,25.999,25.999,1325,0
2014-09-05,13:45:00,26.146,26.146,26.146,26.146,601,0
2014-09-08,09:05:00,26.489,26.489,26.489,26.489,10,0
2014-09-09,09:20:00,26.195,26.195,26.195,26.195,12231,0
2014-09-11,11:35:00,25.93,25.93,25.93,25.93,458,0
2014-09-11,12:15:00,26.195,26.195,26.195,26.195,2039,0
2014-09-12,13:35:00,25.969,25.969,25.92,25.92,1770,0
2014-09-12,13:50:00,26.185,26.195,26.185,26.195,1429,0
2014-09-12,14:00:00,26.195,26.195,26.195,26.195,3667,0
2014-09-15,16:35:00,25.44,25.655,25.44,25.655,2378,0
2014-09-15,16:45:00,25.508,25.508,25.508,25.508,19366,0
2014-09-16,10:40:00,25.508,25.508,25.508,25.508,102,0
2014-09-16,11:50:00,25.832,25.832,25.832,25.832,1019,0
2014-09-17,11:55:00,25.96,25.96,25.96,25.96,31,0
2014-09-17,12:25:00,26.146,26.146,26.146,26.146,479,0
2014-09-17,12:30:00,26.097,26.097,26.097,26.097,510,0
2014-09-18,09:45:00,26.097,26.303,26.097,26.303,1019,0
2014-09-18,11:40:00,26.489,26.489,26.489,26.489,128,0
2014-09-19,09:05:00,26.637,26.637,26.637,26.637,290,0
2014-09-22,14:55:00,26.048,26.048,26.048,26.048,5096,0
2014-09-22,16:45:00,25.803,25.803,25.803,25.803,31,0
2014-09-23,09:05:00,26.98,26.98,26.98,26.98,10,0
2014-09-23,13:20:00,25.606,25.606,25.606,25.606,9,0
2014-09-23,16:50:00,25.273,25.273,25.273,25.273,71,0
2014-09-24,14:00:00,25.41,25.41,25.41,25.41,764,0
2014-09-25,14:45:00,25.459,25.459,25.459,25.459,204,0
2014-09-25,15:25:00,25.302,25.302,25.302,25.302,56,0
2014-09-26,10:55:00,25.273,25.273,25.273,25.273,15,0
2014-09-30,12:05:00,25.273,25.489,25.273,25.489,510,0
2014-10-01,13:35:00,26.097,26.097,26.097,26.097,510,0
2014-10-02,09:55:00,25.528,25.528,25.528,25.528,459,0
2014-10-02,14:45:00,25.508,25.508,25.508,25.508,438,0
2014-10-02,15:05:00,25.214,25.214,25.214,25.214,991,0
2014-10-06,09:05:00,24.625,24.625,24.625,24.625,10,0
2014-10-06,09:25:00,25.234,25.234,25.234,25.234,10,0
2014-10-06,10:45:00,25.508,25.508,25.508,25.508,1019,0
2014-10-08,16:50:00,24.527,24.527,24.527,24.527,153,0
2014-10-09,10:25:00,24.547,24.547,24.547,24.547,21405,0
2014-10-09,12:55:00,24.351,24.351,24.351,24.351,102,0
2014-10-09,15:55:00,24.311,24.311,24.311,24.311,10,0
2014-10-10,09:30:00,23.958,23.958,23.958,23.958,30986,0
2014-10-10,09:45:00,23.86,23.86,23.86,23.86,2548,0
2014-10-10,10:15:00,23.821,23.821,23.821,23.821,102,0
2014-10-10,10:30:00,23.615,23.615,23.615,23.615,204,0
2014-10-10,11:00:00,23.526,23.526,23.526,23.526,510,0
2014-10-10,11:10:00,23.546,23.546,23.546,23.546,1121,0
2014-10-10,11:20:00,23.595,23.595,23.595,23.595,1121,0
2014-10-10,12:15:00,23.389,23.389,23.389,23.389,1121,0
2014-10-10,12:30:00,23.389,23.389,23.389,23.389,1121,0
2014-10-10,13:05:00,23.556,23.556,23.556,23.556,1121,0
2014-10-10,13:15:00,23.595,23.595,23.595,23.595,1631,0
2014-10-10,14:00:00,23.458,23.674,23.458,23.674,2650,0
2014-10-10,14:50:00,23.742,23.84,23.742,23.84,2548,0
2014-10-10,15:30:00,23.87,23.87,23.87,23.87,510,0
2014-10-10,15:50:00,24.076,24.076,24.076,24.076,1019,0
2014-10-10,16:05:00,23.939,23.939,23.939,23.939,1019,0
2014-10-10,16:25:00,23.801,23.801,23.801,23.801,510,0
2014-10-10,16:30:00,23.693,23.693,23.693,23.693,1835,0
2014-10-13,11:30:00,24.243,24.243,24.243,24.243,510,0
2014-10-13,15:05:00,24.36,24.36,24.36,24.36,51,0
2014-10-14,11:35:00,23.497,23.497,23.497,23.497,204,0
2014-10-14,11:45:00,23.448,23.615,23.448,23.615,18551,0
2014-10-15,09:55:00,23.939,23.939,23.939,23.939,510,0
2014-10-15,13:40:00,23.448,23.448,23.448,23.448,24,0
2014-10-15,15:15:00,22.791,22.791,22.693,22.742,25595,0
2014-10-15,15:20:00,22.644,22.644,22.565,22.565,25482,0
2014-10-15,15:30:00,22.742,22.742,21.8,21.8,1325161,0
2014-10-15,15:45:00,22.859,22.859,22.859,22.859,31,0
2014-10-15,15:50:00,22.663,22.663,22.663,22.663,39242,0
2014-10-15,16:00:00,22.575,22.575,22.575,22.575,674251,0
2014-10-15,16:05:00,22.859,22.859,22.859,22.859,59118,0
2014-10-15,16:10:00,22.673,22.673,22.673,22.673,5096,0
2014-10-15,16:15:00,22.663,22.771,22.663,22.771,8460,0
2014-10-15,16:40:00,22.712,22.761,22.712,22.761,101928,0
2014-10-15,16:50:00,22.575,22.575,22.575,22.575,5,0
2014-10-16,11:05:00,22.055,22.055,22.055,22.055,87,0
2014-10-16,11:20:00,22.074,22.074,22.074,22.074,102,0
2014-10-16,11:30:00,22.035,22.035,22.035,22.035,99787,0
2014-10-16,11:35:00,21.78,21.78,21.78,21.78,41,0
2014-10-16,12:10:00,21.584,21.584,21.584,21.584,510,0
2014-10-16,12:15:00,21.584,21.584,21.584,21.584,3706,0
2014-10-16,12:35:00,21.545,21.545,21.545,21.545,101928,0
2014-10-16,12:40:00,21.692,21.692,21.692,21.692,19,0
2014-10-16,12:45:00,21.545,21.545,21.545,21.545,50964,0
2014-10-16,13:00:00,21.584,21.584,21.584,21.584,1120089,0
2014-10-16,13:40:00,21.574,21.574,21.574,21.574,20,0
2014-10-16,13:50:00,21.574,21.574,21.574,21.574,510,0
2014-10-16,14:10:00,21.584,21.584,21.584,21.584,326168,0
2014-10-16,14:15:00,21.584,21.584,21.584,21.584,286512,0
2014-10-16,14:45:00,21.555,21.555,21.555,21.555,102,0
2014-10-16,15:30:00,21.682,21.682,21.682,21.682,53104,0
2014-10-17,09:05:00,20.603,21.839,20.603,21.8,1188,0
2014-10-17,09:35:00,21.976,21.976,21.976,21.976,101,0
2014-10-17,09:45:00,22.32,22.32,22.32,22.32,10193,0
2014-10-17,10:05:00,22.32,22.32,22.281,22.281,663,0
2014-10-17,10:10:00,22.369,22.467,22.369,22.467,306,0
2014-10-17,10:30:00,22.516,22.516,22.516,22.516,510,0
