Date,Open,High,Low,Close,Volume,OpenInt
20130628,7.5747,7.5839,7.0905,7.5839,31308,0
20130701,7.5839,7.5839,7.2093,7.2093,1054,0
20130702,7.3098,7.3098,7.3098,7.3098,109,0
20130703,7.3098,7.3098,7.0539,7.0539,1275,0
20130704,7.0448,7.0448,7.0448,7.0448,22,0
20130705,7.0357,7.0357,7.0357,7.0357,110,0
20130708,7.1271,7.2001,7.1271,7.1361,1410,0
20130709,7.1271,7.1271,7.0631,7.0631,185,0
20130710,7.2184,7.4925,7.2184,7.3098,2721,0
20130711,7.3189,7.3554,7.3189,7.3554,110,0
20130712,7.3554,7.3554,7.3554,7.3554,143,0
20130715,7.3554,7.3554,7.3098,7.3098,1400,0
20130716,7.3098,7.4925,7.3098,7.4925,3284,0
20130717,7.5382,7.5382,7.4925,7.4925,1337,0
20130718,7.5382,7.5382,7.4468,7.4468,1342,0
20130719,7.5382,7.5382,7.5382,7.5382,2,0
20130722,7.5382,7.5839,7.5382,7.5839,622,0
20130723,7.5382,7.5382,7.392,7.5382,13620,0
20130724,7.2732,7.2732,7.2732,7.2732,165,0
20130725,7.3098,7.3098,7.3098,7.3098,2741,0
20130726,7.5382,7.5382,7.3554,7.3554,482,0
20130729,7.3554,7.4012,7.3554,7.4012,2,0
20130730,7.4012,7.4012,7.4012,7.4012,1,0
20130731,7.4012,7.4012,7.4012,7.4012,2,0
20130801,7.4012,7.4012,7.4012,7.4012,34,0
20130802,7.4012,7.4012,7.4012,7.4012,2,0
20130805,7.4468,7.4468,7.4468,7.4468,1,0
20130806,7.3554,7.3554,7.3554,7.3554,109,0
20130807,7.3554,7.3554,7.3554,7.3554,1,0
20130808,7.3554,7.3554,7.3098,7.3098,1753,0
20130809,7.3554,7.3554,7.3554,7.3554,1,0
20130812,7.3554,7.3554,7.2184,7.2184,7687,0
20130813,7.2184,7.2184,7.0813,7.0813,167,0
20130819,7.0813,7.0813,6.396,6.661,58061,0
20130820,6.5788,7.3006,6.5788,7.1361,41780,0
20130821,7.2915,7.3098,7.2367,7.2824,8654,0
20130822,7.3738,7.392,7.2824,7.3098,12784,0
20130823,7.3098,7.3098,7.0357,7.3098,13639,0
20130826,7.2458,7.3554,7.1361,7.1361,4572,0
20130827,7.0357,7.1819,6.9626,7.1271,11584,0
20130828,7.1087,7.2824,7.1087,7.2824,1398,0
20130829,7.2824,7.2824,7.1271,7.1909,587,0
20130830,7.392,7.392,7.0357,7.0357,2624,0
20130902,7.0813,7.0813,7.0813,7.0813,3,0
20130903,7.1271,7.1271,7.1271,7.1271,4,0
20130904,7.1727,7.1727,6.8712,7.1635,636,0
20130906,6.9078,7.3098,6.9078,7.3098,7705,0
20130909,7.3098,7.3098,7.1271,7.1271,3286,0
20130910,7.2641,7.2641,7.2367,7.2367,285,0
20130912,6.9717,7.0813,6.9534,7.0813,396,0
20130913,7.1453,7.1453,6.8255,7.0722,2238,0
20130916,7.0813,7.0813,7.0722,7.0722,318,0
20130917,6.8255,7.0631,6.4874,6.9443,12384,0
20130918,6.9443,6.99,6.9443,6.9534,50,0
20130919,7.1819,7.1909,7.0813,7.0813,1160,0
20130920,7.0813,7.1819,6.9443,7.1819,8142,0
20130923,7.1727,7.1727,7.1727,7.1727,31,0
20130924,7.1271,7.1635,6.8804,7.1635,1382,0
20130925,7.1271,7.1271,7.0905,7.0905,33,0
20130926,7.1271,7.1635,7.1271,7.1635,22,0
20130927,7.2001,7.2001,7.2001,7.2001,2,0
20130930,7.1909,7.3098,6.8804,7.3098,10108,0
20131001,7.3098,7.3098,7.3098,7.3098,164,0
20131003,7.0357,7.3006,7.0357,7.3006,1313,0
20131004,7.3006,7.3006,7.1271,7.2915,2547,0
20131007,7.2915,7.2915,7.2915,7.2915,181,0
20131008,7.2915,7.2915,7.2915,7.2915,19,0
20131009,7.2824,7.3006,7.2824,7.2915,727,0
20131010,7.2915,7.2915,7.1727,7.1727,1376,0
20131011,7.2184,7.2184,7.1727,7.2093,220,0
20131014,7.3006,7.3006,7.3006,7.3006,15,0
20131015,7.3006,7.3006,7.1819,7.3006,85,0
20131016,7.3006,7.3006,7.2915,7.2915,113,0
20131017,7.2915,7.5291,7.2641,7.5291,81200,0
20131018,7.5839,8.3149,7.5382,8.2143,17402,0
20131021,8.2143,8.2143,7.931,7.995,4137,0
20131022,7.995,7.995,7.7666,7.9859,2073,0
20131023,8.1139,8.1139,7.931,7.931,385,0
20131024,7.9402,7.9402,7.858,7.858,111,0
20131025,7.858,7.858,7.5565,7.6753,12548,0
20131028,7.5199,7.7666,7.5199,7.6753,11163,0
20131029,7.8032,7.8032,7.8032,7.8032,30,0
20131030,7.8032,7.8032,7.4925,7.4925,1407,0
20131031,7.5108,7.5108,7.4925,7.4925,230,0
20131104,7.4925,7.4925,7.4925,7.4925,13,0
20131105,7.4012,7.4834,7.4012,7.4834,355,0
20131106,7.4834,7.4834,7.3098,7.3098,423,0
20131107,7.3006,7.3006,6.9534,6.9534,2870,0
20131108,6.9534,6.9534,6.9534,6.9534,1,0
20131112,7.2001,7.2093,6.9534,6.9534,423,0
20131113,6.9534,6.9534,6.9534,6.9534,6,0
20131114,6.9534,6.9534,6.9534,6.9534,4,0
20131115,6.9534,7.1727,6.9534,7.1727,730,0
20131118,7.1819,7.1819,7.1727,7.1727,3340,0
20131119,7.1727,7.1727,6.99,6.99,903,0
20131120,6.99,7.1271,6.9626,7.1271,2190,0
20131121,7.1271,7.1271,7.1271,7.1271,120,0
20131122,7.1727,7.1727,7.1727,7.1727,237,0
20131126,7.1727,7.1727,7.1727,7.1727,11,0
20131127,7.1727,7.1727,7.1727,7.1727,2,0
20131128,7.1727,7.2641,6.9443,7.2641,3757,0
20131129,6.5148,6.5148,6.5148,6.5148,2944,0
20131202,6.7524,7.3098,6.7524,7.0813,5460,0
20131203,7.0813,7.0813,6.6701,6.6701,1237,0
20131204,6.8529,6.8529,6.8529,6.8529,22,0
20131205,6.8529,7.1727,6.5239,7.1727,3976,0
20131209,7.1727,7.4012,7.1727,7.1727,4297,0
20131210,7.1819,7.4012,7.1819,7.4012,64,0
20131211,7.2184,7.2184,7.1727,7.1727,1094,0
20131212,7.1727,7.1727,7.1727,7.1727,3319,0
20131213,7.1727,7.1727,7.1727,7.1727,39,0
20131216,7.1727,7.1727,7.1727,7.1727,24,0
20131217,7.4012,7.4012,7.1727,7.1727,788,0
20131218,7.1727,7.1727,7.1727,7.1727,67,0
20131219,7.3098,7.3098,7.3098,7.3098,33,0
20131220,7.3098,7.3098,7.3098,7.3098,4,0
20131223,7.4012,7.4012,7.4012,7.4012,1,0
20131227,7.4012,7.4012,7.4012,7.4012,2,0
20131230,7.0813,7.7575,7.0813,7.4286,3083,0
20140102,7.5565,7.5565,7.5565,7.5565,109,0
20140107,7.7575,7.7575,7.456,7.456,1014,0
20140108,7.3189,7.3189,7.3189,7.3189,656,0
20140109,7.456,7.456,7.456,7.456,260,0
20140113,7.7575,7.7575,7.7575,7.7575,109,0
20140114,7.7483,7.7483,7.7483,7.7483,187,0
20140115,7.4012,7.4012,7.4012,7.4012,975,0
20140117,7.4012,7.4012,7.4012,7.4012,139,0
20140120,7.4102,7.4102,7.4102,7.4102,11,0
20140121,7.4102,7.4102,7.4102,7.4102,13,0
20140122,7.4102,7.4102,7.4012,7.4012,28,0
20140123,7.4012,7.4012,7.4012,7.4012,12,0
20140124,7.4012,7.4012,7.4012,7.4012,5,0
20140127,7.4102,7.4102,7.2093,7.2093,55,0
