Date,Open,High,Low,Close,Volume,OpenInt
20070601,16.551,16.551,14.999,15.08,890270,0
20070604,15.139,15.139,13.977,14.712,147130,0
20070605,14.823,15.117,14.712,14.712,196334,0
20070606,14.712,15.028,14.639,15.006,614038,0
20070608,15.006,15.043,14.786,14.874,79173,0
20070611,15.154,15.595,15.154,15.566,91237,0
20070612,15.669,15.669,15.197,15.263,32275,0
20070613,15.154,15.337,15.08,15.3,11263,0
20070614,15.58,15.58,15.3,15.572,93576,0
20070615,15.712,16.007,15.706,15.948,110811,0
20070618,15.948,16.036,15.815,15.926,48801,0
20070619,16.139,16.485,15.888,16.485,134437,0
20070620,16.551,18.014,16.551,17.544,296469,0
20070621,17.154,17.544,17.139,17.441,164606,0
20070622,17.655,18.376,17.655,17.977,38203,0
20070625,18.023,18.317,16.551,18.044,545979,0
20070626,18.044,18.169,17.766,18.023,70230,0
20070627,18.06,18.06,17.802,17.802,235775,0
20070628,18.014,18.037,18.001,18.03,225687,0
20070629,17.655,18.044,17.507,17.507,280512,0
20070702,16.772,17.581,15.756,16.845,92737,0
20070703,16.566,17.021,16.183,16.662,89052,0
20070704,16.477,16.838,16.287,16.736,22846,0
20070705,16.736,17.198,16.551,16.551,162143,0
20070706,17.206,17.206,16.919,16.926,19713,0
20070709,16.919,17.213,16.198,16.838,6336,0
20070710,16.551,16.911,16.073,16.183,21957,0
20070711,16.183,16.507,15.603,16.036,49776,0
20070712,15.69,16.396,15.69,16.257,43541,0
20070713,16.551,16.551,16.19,16.22,5534,0
20070716,16.316,16.477,15.448,15.448,15120,0
20070717,15.448,15.904,15.3,15.823,60677,0
20070718,16.021,16.021,15.448,16.021,77072,0
20070719,15.815,16.036,15.712,15.815,74035,0
20070720,15.749,15.815,15.227,15.374,35878,0
20070723,15.521,15.808,15.3,15.3,42079,0
20070724,15.227,16.183,15.227,15.3,2508,0
20070725,15.227,15.992,14.786,15.3,5041,0
20070726,15.448,15.963,15.08,15.294,3965,0
20070727,14.778,15.551,14.719,15.08,5566,0
20070730,15.44,15.44,14.727,15.257,717,0
20070731,15.403,15.403,14.896,15.08,16265,0
20070801,14.932,14.932,14.367,14.69,1741,0
20070802,15.08,15.08,15.043,15.08,564,0
20070803,14.999,14.999,14.991,14.991,116,0
20070806,14.697,14.697,14.124,14.542,5114,0
20070807,14.697,15.3,14.542,14.815,183419,0
20070808,14.639,15.043,14.344,14.705,1557,0
20070809,14.602,14.932,14.124,14.639,1353,0
20070810,14.676,14.676,13.277,14.344,30126,0
20070813,14.344,14.344,13.535,13.977,2856,0
20070814,13.895,13.902,13.277,13.277,7100,0
20070816,12.506,13.234,11.291,12.506,34709,0
20070817,11.807,13.609,11.807,13.609,36622,0
20070820,13.969,14.124,13.969,13.977,73152,0
20070821,13.314,13.969,13.314,13.895,1568,0
20070822,14.124,14.124,13.395,14.116,2917,0
20070823,14.124,15.006,14.124,14.705,4778,0
20070824,14.749,14.749,13.977,14.682,10883,0
20070827,14.013,14.682,14.013,14.558,3817,0
20070828,14.27,14.27,14.058,14.212,1594,0
20070829,13.609,14.138,12.836,14.05,1683,0
20070830,14.212,14.212,13.63,14.167,1814,0
20070831,13.623,14.197,13.388,14.197,6336,0
20070903,14.344,14.418,14.337,14.418,42141,0
20070904,14.418,14.418,14.344,14.344,2301,0
20070905,14.455,14.455,14.344,14.344,85440,0
20070906,14.344,14.492,14.344,14.492,41330,0
20070907,14.492,14.676,14.359,14.639,488,0
20070910,14.344,14.565,14.344,14.558,210174,0
20070911,14.669,14.669,14.344,14.558,1326,0
20070912,14.558,14.558,14.558,14.558,33,0
20070913,14.639,14.639,14.639,14.639,13,0
20070914,14.697,15.154,14.344,14.712,15842,0
20070917,14.712,14.712,14.344,14.344,457,0
20070918,14.565,14.565,14.565,14.565,136,0
20070919,14.712,14.712,14.433,14.433,2223,0
20070920,14.712,14.712,14.344,14.565,108656,0
20070921,14.418,14.418,14.418,14.418,136,0
20070924,14.344,14.712,14.344,14.344,9280,0
20070925,14.351,14.705,14.351,14.579,3829,0
20070926,14.344,14.712,14.344,14.639,11330,0
20070927,14.344,14.712,14.344,14.418,40225,0
20070928,14.197,14.579,14.197,14.337,28903,0
20071001,14.124,14.344,14.109,14.344,1281,0
20071002,14.492,14.528,14.138,14.344,1020,0
20071003,14.05,14.05,14.021,14.05,2511,0
20071004,13.609,14.102,13.572,13.895,1917,0
20071005,13.395,13.977,13.388,13.756,7258,0
20071008,13.609,13.609,13.24,13.285,8456,0
20071009,13.602,13.602,13.174,13.602,8411,0
20071010,13.24,13.586,13.137,13.586,20775,0
20071011,13.264,13.925,13.264,13.83,11138,0
20071012,13.83,14.27,13.322,13.41,139338,0
20071015,14.197,14.197,13.557,14.028,1915,0
20071016,13.977,13.977,13.543,13.969,1644,0
20071017,14.19,14.19,14.19,14.19,2,0
20071018,13.939,14.109,13.756,13.977,1628,0
20071019,14.19,14.19,14.124,14.124,184,0
20071022,14.197,14.337,13.403,13.961,2590,0
20071023,14.27,14.27,13.902,13.977,45967,0
20071024,13.484,13.961,13.476,13.895,277,0
20071025,13.491,13.83,13.484,13.83,1364,0
20071026,13.682,13.895,13.02,13.712,5833,0
20071030,13.101,13.682,13.02,13.609,1136,0
20071031,13.02,13.227,12.918,13.131,12457,0
20071102,13.145,13.586,13.145,13.476,3345,0
20071105,13.094,13.351,13.094,13.351,70,0
20071106,12.66,13.234,12.66,13.234,762,0
20071107,13.211,13.211,12.513,13.02,1570,0
20071108,12.211,12.579,11.77,12.144,11707,0
20071109,12.469,12.469,11.402,11.689,15161,0
20071112,11.402,12.13,11.402,11.513,6505,0
20071113,11.402,11.916,11.402,11.88,8423,0
20071114,11.476,11.77,11.476,11.77,207,0
20071115,11.402,11.476,9.563,11.107,28954,0
20071116,9.2022,10.865,9.2022,9.931,4860,0
20071119,10.004,10.174,9.3497,10.114,7589,0
20071120,9.2826,10.151,9.269,10.151,3154,0
20071121,10.108,10.108,9.3419,9.776,273880,0
20071122,9.3565,9.967,9.3419,9.923,236168,0
20071123,9.636,9.813,9.636,9.776,10515,0
20071126,9.776,9.923,9.4158,9.857,4130,0
20071127,9.6,9.6,9.195,9.4158,19540,0
20071128,8.9085,9.629,8.9085,9.6,1738,0
20071129,9.593,9.593,9.3788,9.409,2601,0
20071130,9.527,9.527,9.2758,9.4896,2136,0
20071203,9.4527,9.4896,9.2758,9.4896,6648,0
20071204,9.4964,9.4964,9.1213,9.4741,5178,0
20071205,9.3419,9.563,9.305,9.563,1503,0
20071206,9.4235,9.945,9.4235,9.945,66128,0
20071207,9.931,9.931,9.527,9.556,11365,0
20071210,9.548,9.548,8.9525,9.3351,10553,0
20071211,9.3419,9.3419,8.9525,9.1878,2561,0
20071212,9.0702,9.0702,8.5333,8.6805,7126,0
20071213,8.6805,8.6805,7.5033,7.6649,187479,0
20071214,7.9298,8.2315,7.7239,8.0769,108029,0
20071217,7.7754,8.0696,7.7754,7.9444,63110,0
20071218,7.9372,8.6724,7.9372,8.6069,288000,0
20071219,8.7533,8.8269,8.0181,8.3859,42611,0
20071220,8.0401,8.8422,8.0401,8.6213,48342,0
20071221,8.8269,8.8269,8.2609,8.6805,71175,0
20071227,8.3198,8.8269,8.2168,8.7173,36685,0
20071228,8.3786,9.0478,8.3786,8.6805,196230,0
20080102,8.4447,8.8269,8.4447,8.8269,7323,0
20080103,8.8269,8.8269,8.5333,8.8125,5172,0
20080104,8.6069,9.1366,8.6069,8.8269,17248,0
20080107,8.5333,8.9966,8.5333,8.9966,1906,0
20080108,8.9966,8.9966,8.8269,8.8269,27664,0
20080109,8.5404,8.8197,8.3859,8.4595,25096,0
20080110,8.6069,8.7533,8.0917,8.0917,113583,0
20080111,8.8269,8.8269,8.2387,8.452,1782,0
20080114,8.7533,8.7533,7.9444,8.3049,23880,0
20080115,8.3124,8.7173,8.3124,8.6724,8528,0
20080116,8.0181,8.452,8.0181,8.452,6648,0
20080117,8.5036,8.9669,8.5036,8.9669,232,0
20080118,8.7092,8.7092,8.4595,8.4595,3993,0
20080121,8.3124,8.7092,7.7239,7.7239,25641,0
20080122,7.7974,7.9444,7.356,7.7239,2087,0
20080123,8.4447,8.4447,7.5033,7.7239,28174,0
20080124,7.7312,8.2977,7.6135,8.2756,77503,0
20080125,8.3124,8.3124,8.2756,8.2903,8315,0
20080128,8.5333,8.5333,8.2829,8.2829,1427,0
20080129,8.4079,8.4079,8.4006,8.4006,112,0
20080130,8.4079,8.4079,8.3859,8.3859,18745,0
20080131,8.3859,8.3859,8.0917,8.1653,47479,0
20080201,8.3124,8.3124,8.1653,8.1653,164718,0
20080204,8.3198,8.3198,8.0917,8.2387,7635,0
20080205,8.0917,8.0917,8.0181,8.0181,30780,0
20080206,7.8709,7.9444,7.6577,7.9372,4351,0
20080207,7.9444,7.9444,7.7974,7.7974,2175,0
20080208,7.8709,7.9444,7.7974,7.9372,19931,0
20080211,7.9372,8.0548,7.9372,8.0548,1630,0
20080212,8.0917,8.0917,7.8709,8.0548,2405,0
20080213,8.0181,8.0181,8.0181,8.0181,29359,0
20080214,8.0181,8.8269,7.9592,8.0181,98022,0
20080215,8.0917,8.0917,7.9666,8.0181,24714,0
20080218,8.0842,8.0917,7.8709,7.9004,79326,0
20080219,7.9077,8.0842,7.8709,8.0842,349200,0
20080220,8.0107,8.202,8.0107,8.202,7641,0
20080221,8.1285,8.1285,8.0917,8.0917,273,0
20080222,7.9518,8.0769,7.9518,8.0696,1170,0
20080225,8.0181,8.0181,8.0181,8.0181,273,0
20080226,8.0548,8.0548,7.8049,8.0327,1804,0
20080227,7.9886,7.9886,7.7386,7.7901,3612,0
20080228,7.9739,7.9739,7.3193,7.4295,97726,0
20080229,7.4812,7.4812,7.2825,7.3045,17982,0
20080303,6.6939,7.1869,6.6204,7.1722,20285,0
20080304,6.9882,7.0618,6.7895,7.0618,1897,0
20080305,6.7676,7.0618,6.7676,6.9882,1002,0
