Date,Open,High,Low,Close,Volume,OpenInt
20091028,12.501,15.041,12.501,13.356,8788,0
20091029,13.201,14.753,13.201,13.472,7175,0
20091030,14.364,14.364,13.588,13.658,8877,0
20091102,13.69,13.743,13.192,13.348,2570,0
20091103,13.192,13.356,12.773,13.192,1207,0
20091104,12.773,13.588,12.773,13.588,113,0
20091105,13.588,13.588,13.588,13.588,155,0
20091106,13.588,14.753,13.588,13.588,2365,0
20091109,13.588,13.898,13.588,13.588,1428,0
20091110,13.588,13.743,13.588,13.588,601,0
20091112,13.588,13.588,13.511,13.511,288,0
20091116,13.511,13.511,13.511,13.511,414,0
20091118,13.433,13.511,13.433,13.433,44,0
20091119,13.371,13.371,13.207,13.207,168,0
20091123,13.588,13.588,13.588,13.588,257,0
20091124,13.588,13.588,13.588,13.588,129,0
20091125,13.588,13.588,13.55,13.55,4,0
20091126,12.199,13.433,12.199,13.433,9429,0
20091203,12.114,13.192,12.114,13.192,2963,0
20091204,12.361,13.192,12.361,13.192,247,0
20091217,12.89,13.201,12.89,13.201,245,0
20091218,12.152,13.201,12.152,13.201,1233,0
20091221,13.201,13.201,13.201,13.201,559,0
20091228,13.201,13.201,13.201,13.201,568,0
20091229,13.201,13.201,13.201,13.201,40,0
20091231,13.201,13.201,13.201,13.201,1716,0
20100104,12.044,13.192,12.044,13.192,100,0
20100105,12.431,12.58,12.424,12.58,1210,0
20100106,12.58,12.58,12.58,12.58,323,0
20100107,12.812,12.812,12.58,12.805,289,0
20100108,12.424,12.54,12.424,12.54,387,0
20100112,12.044,12.416,12.035,12.401,13488,0
20100113,12.571,12.571,12.563,12.563,84,0
20100114,12.035,12.556,12.035,12.556,12918,0
20100115,12.424,12.424,12.424,12.424,126,0
20100122,11.616,12.424,11.616,12.424,156,0
20100126,12.416,12.416,12.416,12.416,63,0
20100202,11.499,12.408,11.499,12.408,193,0
20100205,11.523,11.523,11.514,11.514,327,0
20100216,11.499,11.499,11.499,11.499,106,0
20100222,10.87,11.104,10.87,11.104,192,0
20100226,11.492,11.508,11.492,11.508,254,0
20100302,11.57,11.57,11.57,11.57,91,0
20100304,11.648,11.648,11.648,11.648,51,0
20100310,11.648,11.648,11.648,11.648,1108,0
20100311,11.259,11.259,11.259,11.259,51,0
20100312,11.648,12.338,11.648,12.338,5462,0
20100315,12.424,12.424,12.424,12.424,524,0
20100317,13.046,13.192,12.967,12.967,454,0
20100318,13.192,13.201,13.161,13.161,3531,0
20100329,12.035,13.161,12.035,13.161,258,0
20100330,13.161,13.192,13.161,13.192,210,0
20100331,13.202,13.202,13.084,13.084,1262,0
20100401,13.116,13.122,13.116,13.122,2,0
20100406,13.084,13.084,12.735,12.812,659,0
20100412,12.424,12.773,12.308,12.58,827,0
20100413,11.655,12.114,11.648,11.74,764,0
20100414,12.812,12.812,12.812,12.812,129,0
20100415,12.393,12.424,11.655,12.338,1702,0
20100416,11.88,12.58,11.88,12.035,1421,0
20100419,12.222,12.222,12.035,12.035,7,0
20100420,12.035,12.338,12.035,12.074,647,0
20100421,12.082,12.261,12.035,12.035,656,0
20100423,12.039,12.039,11.292,11.804,955,0
20100426,11.804,11.804,11.804,11.804,162,0
20100427,11.804,11.804,11.648,11.648,479,0
20100428,11.578,11.578,11.57,11.57,702,0
20100429,11.648,11.648,11.57,11.57,132,0
20100430,11.724,11.724,11.567,11.567,74,0
