Date,Open,High,Low,Close,Volume,OpenInt
20041202,8.5527,8.6781,8.3375,8.4272,297888,0
20041203,8.4272,8.4272,7.9969,8.2927,56292,0
20041206,8.2569,8.2569,8.0417,8.1313,28827,0
20041207,8.0417,8.0417,7.7458,7.961,26599,0
20041208,7.961,7.961,7.701,7.9163,13667,0
20041209,7.961,7.961,7.7906,7.961,12997,0
20041210,7.961,7.961,7.8715,7.9163,5739,0
20041213,7.9969,7.9969,7.701,7.701,5310,0
20041214,7.7906,7.8715,7.7458,7.8715,12778,0
20041215,7.9163,7.9163,7.7458,7.7906,9971,0
20041216,7.701,8.0417,7.701,8.0417,21143,0
20041217,7.8715,8.1672,7.8715,8.0417,16502,0
20041220,8.0417,8.0417,7.8715,7.9163,4182,0
20041221,7.961,7.961,7.9163,7.9163,5599,0
20041222,7.8715,7.8715,7.7458,7.8715,2446,0
20041223,7.961,7.961,7.8356,7.9163,3151,0
20041224,7.9163,7.9969,7.9163,7.9969,4801,0
20041227,7.961,8.0865,7.961,8.0865,11393,0
20041228,7.9163,8.0417,7.9163,8.0417,13162,0
20041229,7.9969,8.0417,7.9969,8.0417,18404,0
20041230,7.961,8.0865,7.961,8.0865,36062,0
20041231,7.8715,8.0865,7.8715,8.0865,38875,0
20050103,8.0417,8.0865,7.9969,8.0865,7728,0
20050104,8.0865,8.0865,8.0417,8.0417,4597,0
20050105,7.9969,7.9969,7.7458,7.7906,3396,0
20050106,7.7906,7.8356,7.7906,7.7906,11391,0
20050107,7.7906,7.961,7.7906,7.7906,4018,0
20050110,7.7906,7.7906,7.7458,7.7458,898,0
20050111,7.7458,7.7458,7.6203,7.6203,115013,0
20050112,7.5755,7.6652,7.5755,7.6652,4246,0
20050113,7.5307,7.7458,7.5307,7.7458,7570,0
20050114,7.6203,7.7906,7.6203,7.7906,5482,0
20050117,7.6203,7.7906,7.6203,7.7906,8732,0
20050118,7.7458,7.8356,7.6203,7.8356,21046,0
20050119,7.7906,7.8356,7.7906,7.8356,7411,0
20050120,7.6203,7.8715,7.6203,7.8715,1968,0
20050121,7.6652,7.6652,7.5307,7.5307,826,0
20050124,7.6203,7.6203,7.5307,7.6203,2071,0
20050125,7.5755,7.5755,7.5755,7.5755,1201,0
20050126,7.701,7.8356,7.5755,7.701,2668,0
20050127,7.5755,7.701,7.5755,7.701,5753,0
20050128,7.5755,7.8715,7.5755,7.7906,13709,0
20050131,7.7906,7.7906,7.6203,7.7906,14125,0
20050201,7.6203,7.961,7.6203,7.961,10863,0
20050202,7.8715,7.961,7.8715,7.961,56781,0
20050203,7.7458,7.961,7.7458,7.961,6657,0
20050204,7.961,7.961,7.7458,7.961,3885,0
20050207,7.7458,8.0417,7.7458,8.0417,16764,0
20050208,8.0417,8.0417,7.8356,8.0417,3291,0
20050209,7.8356,8.0417,7.8356,8.0417,7479,0
20050210,7.8356,8.0417,7.8356,8.0417,58999,0
20050211,8.0417,8.1313,8.0417,8.1313,20197,0
20050214,8.0865,8.0865,7.9163,8.0417,1996,0
20050215,7.9969,7.9969,7.9163,7.9969,6571,0
20050216,7.8356,8.0865,7.8356,8.0865,5373,0
20050217,8.0417,8.1672,8.0417,8.1672,52599,0
20050218,8.0865,8.1672,8.0417,8.1672,256902,0
20050221,8.1672,8.1672,7.8356,8.0417,291870,0
20050222,8.1313,8.3824,8.0417,8.2927,210421,0
20050223,8.2569,8.8038,8.2569,8.8038,234043,0
20050224,8.8934,8.8934,8.6334,8.8038,32671,0
20050225,8.6781,9.3147,8.6781,9.3147,218407,0
20050228,9.2699,9.2699,8.8934,9.1444,284913,0
20050301,9.1892,9.4852,9.0188,9.3147,131569,0
20050302,9.1892,9.2699,9.0188,9.1444,125683,0
20050303,9.1444,9.3147,9.1444,9.2699,28511,0
20050304,9.2699,9.2699,9.0547,9.0547,5381,0
20050307,9.0547,9.3953,8.9741,9.3147,38576,0
20050308,9.3147,9.4852,9.1444,9.2699,97069,0
20050309,9.2699,9.2699,9.0547,9.2252,44297,0
20050310,9.1444,9.2252,9.0188,9.2252,269068,0
20050311,9.2252,9.2252,9.0188,9.1444,7566,0
20050314,9.0547,9.0547,8.9741,9.0188,19962,0
20050315,8.9741,9.0547,8.9292,9.0547,23048,0
20050316,9.0547,9.0547,8.9292,9.0547,94374,0
20050317,9.0547,9.0547,8.463,8.8934,38322,0
20050318,9.0188,9.2699,9.0188,9.2699,241950,0
20050321,9.4852,9.817,9.4852,9.611,331580,0
20050322,9.781,10.077,9.692,9.952,160342,0
20050323,10.032,10.749,9.862,10.624,290651,0
20050324,10.579,10.794,10.247,10.417,209252,0
20050329,10.417,10.543,10.203,10.498,10017,0
20050330,10.498,10.498,10.247,10.373,21972,0
20050331,10.454,10.668,10.454,10.668,180560,0
20050401,10.964,11.09,10.875,11.009,32889,0
20050404,11.09,11.511,10.919,11.431,159727,0
20050405,11.682,11.771,11.385,11.385,50435,0
20050406,11.385,11.431,11.134,11.134,20991,0
20050407,11.341,11.942,11.341,11.852,260249,0
20050411,12.237,12.999,12.103,12.103,328156,0
20050412,12.147,12.398,11.682,11.852,240657,0
20050413,11.896,12.444,11.896,12.022,92190,0
20050414,11.942,12.022,11.601,11.636,95724,0
20050415,11.601,11.771,11.511,11.682,40230,0
20050418,11.475,12.103,11.215,12.103,69168,0
20050419,12.273,12.488,12.147,12.273,68542,0
20050420,12.273,12.444,11.852,12.103,40310,0
20050421,11.942,12.193,11.601,11.852,99722,0
20050422,12.103,12.103,11.511,11.807,66183,0
20050425,11.511,11.807,11.511,11.807,24686,0
20050426,11.852,11.852,11.556,11.601,31603,0
20050427,11.511,11.726,11.475,11.556,90453,0
20050428,11.511,11.636,11.431,11.601,14579,0
20050429,11.682,11.726,11.682,11.726,4411,0
20050502,11.771,12.147,11.682,12.103,12815,0
20050504,12.103,12.444,12.022,12.237,45025,0
20050505,12.193,12.398,12.193,12.237,21621,0
20050506,12.363,12.398,12.193,12.273,13791,0
20050509,12.444,12.739,12.398,12.444,282778,0
20050510,12.614,12.614,12.237,12.363,24052,0
20050511,12.363,12.363,12.103,12.193,8268,0
20050512,12.193,12.488,12.067,12.103,19883,0
20050513,12.022,12.022,11.896,11.977,9200,0
20050516,12.147,12.363,12.067,12.237,38927,0
20050517,12.103,12.273,11.807,11.852,32048,0
20050518,11.896,12.022,11.682,11.852,52494,0
