Date,Open,High,Low,Close,Volume,OpenInt
20090918,10.008,10.856,9.666,10.018,210449,0
20090921,10.142,10.59,9.846,9.98,50516,0
20090922,9.904,10.085,9.618,9.999,40029,0
20090923,9.99,9.99,9.771,9.98,19182,0
20090924,9.809,9.866,9.675,9.799,7886,0
20090925,9.799,9.799,9.3803,9.523,19188,0
20090928,9.513,9.513,9.2843,9.3803,6948,0
20090929,9.0943,9.3415,9.0943,9.3328,8968,0
20090930,9.2184,9.3134,9.0943,9.1419,9329,0
20091001,9.2756,9.2843,9.1515,9.2843,2737,0
20091002,9.2756,9.2756,8.9514,9.2756,3782,0
20091005,9.1895,9.2368,9.0181,9.2368,422,0
20091006,9.0562,9.2087,9.0467,9.2087,573,0
20091007,9.2368,9.2368,9.0562,9.2368,5542,0
20091008,9.2368,9.2368,9.0181,9.1229,2508,0
20091009,9.1229,9.2659,9.0943,9.1038,9091,0
20091012,9.1324,9.1799,8.9705,9.1419,4955,0
20091013,8.9419,9.1038,8.9419,8.9991,9558,0
20091014,9.0467,9.0467,8.9038,8.9991,3398,0
20091015,8.9991,9.1134,8.9991,8.9991,1675,0
20091016,8.9991,9.0372,8.8563,9.0372,4571,0
20091019,8.7801,8.9895,8.7801,8.8182,4907,0
20091020,8.9514,8.9514,8.6848,8.8086,6598,0
20091021,8.761,8.8086,8.58,8.8086,3830,0
20091022,8.6086,8.7991,8.6086,8.7991,1914,0
20091023,8.8086,8.9895,8.761,8.9895,3774,0
20091026,8.7801,8.98,8.761,8.9705,2096,0
20091027,8.9324,8.9705,8.6657,8.6657,108,0
20091028,8.9895,8.9895,8.761,8.9419,2193,0
20091029,8.9419,8.9705,8.9324,8.9705,5111,0
20091030,8.9514,8.9991,8.8086,8.8086,3164,0
20091102,8.7705,9.0467,8.7705,9.0372,314,0
20091103,9.0372,9.0372,8.8086,8.9895,2922,0
20091104,8.9895,8.9895,8.9133,8.9514,969,0
20091105,9.0181,9.513,8.9324,9.503,8556,0
