Date,Open,High,Low,Close,Volume,OpenInt
20111229,3.2107,3.9893,3.2107,3.9893,14477,0
20111230,4.3738,5.8638,4.3738,5.8638,9535,0
20120102,5.3351,6.1714,4.9506,5.9599,3597,0
20120103,6.1714,6.3445,5.287,5.8638,1113,0
20120104,5.8638,5.8638,5.239,5.6235,1427,0
20120105,5.3735,5.6235,5.3735,5.6235,249,0
20120109,5.7677,5.7677,5.7677,5.7677,104,0
20120110,5.8638,5.8638,5.4985,5.7677,105,0
20120111,5.5754,5.7677,5.5754,5.7677,24,0
20120112,5.7677,5.7677,5.7677,5.7677,1,0
20120113,5.7677,5.7677,5.7677,5.7677,1,0
20120116,5.7677,5.7677,5.7677,5.7677,1,0
20120117,5.7677,5.7677,5.7677,5.7677,1,0
20120118,5.7677,5.7677,5.7677,5.7677,1,0
20120119,5.7677,5.7677,5.7677,5.7677,1,0
20120120,5.7677,5.7677,5.4024,5.4024,314,0
20120123,5.7677,5.7677,5.2486,5.7677,75,0
20120124,5.7677,5.7677,5.7677,5.7677,52,0
20120131,5.7677,5.9599,5.7677,5.9599,107,0
20120201,6.0561,6.0561,6.0561,6.0561,17,0
20120202,6.1521,6.1521,6.1521,6.1521,10,0
20120203,6.8251,6.8251,6.3445,6.3445,330,0
20120206,6.4405,6.7289,6.4405,6.6328,365,0
20120207,6.4405,6.4405,6.1521,6.1521,492,0
20120208,6.0561,6.0561,5.8638,5.8638,854,0
20120210,5.9599,5.9599,5.9599,5.9599,416,0
20120213,6.2003,6.2003,6.2003,6.2003,208,0
20120215,6.2483,6.3445,6.2483,6.3445,208,0
20120217,6.3445,6.3445,6.3445,6.3445,520,0
20120220,6.008,6.008,6.008,6.008,416,0
20120221,6.008,6.4405,6.008,6.4405,1665,0
20120222,6.5847,6.5847,6.5847,6.5847,104,0
20120223,6.6328,6.7289,6.4405,6.7289,2034,0
20120224,6.5367,6.5367,6.4887,6.4887,489,0
20120227,6.5847,6.5847,6.5847,6.5847,104,0
20120228,6.2963,6.7289,6.2483,6.7289,1862,0
20120229,6.4405,6.7289,6.4405,6.7289,346,0
20120301,6.7289,6.7289,6.7289,6.7289,44,0
20120302,6.7289,6.7289,6.7289,6.7289,52,0
20120306,6.5847,6.5847,5.7677,6.2483,2721,0
20120307,5.9503,5.9503,5.9503,5.9503,208,0
20120308,5.6715,5.6715,4.989,5.6715,3537,0
20120309,5.7004,6.3445,5.7004,6.3445,3152,0
20120313,6.3445,6.5559,6.3445,6.5559,489,0
20120314,6.2483,6.2483,5.5754,6.0561,13919,0
20120315,5.7677,6.0561,5.7677,6.0561,1352,0
20120316,5.8638,5.8638,5.8638,5.8638,624,0
20120319,5.5754,5.6715,5.5754,5.6715,416,0
20120321,5.6715,5.6715,5.6715,5.6715,416,0
20120322,5.7677,5.7677,5.7677,5.7677,104,0
20120323,5.7677,5.7677,5.7677,5.7677,520,0
20120326,6.0561,6.2483,6.0561,6.1521,4410,0
20120327,6.0561,6.6328,6.0561,6.6328,4677,0
20120328,6.6328,7.2096,6.6328,7.2096,2809,0
20120330,7.3058,7.3538,7.3058,7.3538,977,0
20120402,7.2096,7.3058,7.2096,7.3058,2,0
20120403,7.3058,7.3058,7.3058,7.3058,70,0
20120412,7.0654,7.0654,7.0654,7.0654,52,0
20120427,7.0654,7.0654,7.0654,7.0654,364,0
20120430,7.0654,7.498,7.0654,7.498,520,0
20120515,7.0173,7.4018,7.0173,7.4018,1293,0
20120516,6.9596,7.4018,6.2483,7.4018,1696,0
20120517,7.3058,7.3058,7.3058,7.3058,5241,0
20120518,7.4018,7.4018,7.4018,7.4018,10,0
20120525,7.4018,7.4018,7.4018,7.4018,52094,0
20120528,7.4018,7.4018,7.0654,7.0654,31901,0
20120529,7.2096,7.4018,7.0942,7.0942,22439,0
20120531,6.8636,7.3058,6.5367,7.3058,6429,0
20120608,7.4018,7.4018,7.4018,7.4018,546,0
20120612,7.498,7.498,7.498,7.498,5201,0
20120613,7.2096,7.3058,7.2096,7.3058,427,0
20120618,7.3058,7.3058,7.3058,7.3058,178205,0
20120619,7.3058,7.5941,7.3058,7.5941,364,0
20120620,7.2384,7.5941,7.2384,7.5941,53,0
20120627,7.5941,8.3631,7.5941,8.3631,1872,0
20120628,8.4593,8.4593,8.4593,8.4593,780,0
20120629,8.5554,8.5554,8.1709,8.5554,1452,0
20120712,7.8825,8.3631,7.8729,8.3631,229,0
20120731,8.2286,8.5554,8.2286,8.5554,541,0
20120814,8.5554,8.5554,8.5554,8.5554,1,0
20120821,8.5554,8.5554,8.5554,8.5554,1,0
20120822,8.5554,8.5554,8.5554,8.5554,946655,0
20120828,8.5554,8.5554,8.5554,8.5554,1,0
20120829,8.0748,8.0748,8.0748,8.0748,291,0
20120831,8.1613,8.1613,8.1613,8.1613,416,0
20120903,8.1709,8.5554,8.1709,8.5554,208,0
20120905,8.4593,8.4593,8.4593,8.4593,42099,0
20120912,8.4593,8.5266,8.4497,8.5266,3,0
20120914,8.5169,8.5169,8.5169,8.5169,10,0
20120917,8.5266,8.5266,8.5266,8.5266,10,0
20120920,7.9498,7.9498,7.9498,7.9498,192,0
20120921,7.9786,8.1709,7.9786,8.1709,208,0
20120924,8.5169,8.5169,8.5169,8.5169,62,0
20120927,8.5073,8.5073,8.5073,8.5073,52,0
20120928,8.5073,8.5169,8.5073,8.5169,125,0
20121008,7.9402,8.5266,7.9402,8.5266,385,0
20121009,7.9402,8.5266,7.9402,8.5266,383,0
20121011,7.9402,8.5266,7.9402,8.5266,455,0
20121031,8.5266,8.5266,8.5266,8.5266,94,0
20121105,8.5554,8.5554,8.5554,8.5554,1,0
20121106,8.5554,8.5554,8.5554,8.5554,1,0
20121107,8.1709,8.1709,7.6902,7.8825,496,0
20121108,7.8825,7.8921,7.7864,7.8825,4357,0
20121113,8.4593,8.4593,8.4593,8.4593,198,0
20121130,8.3824,8.3824,8.3824,8.3824,264,0
20121203,8.3824,8.4208,8.3824,8.4208,2,0
20121205,8.4784,8.4784,8.4784,8.4784,39,0
20121206,8.4784,8.5554,8.4784,8.5554,10,0
20121207,8.5554,8.5554,8.0555,8.4593,230,0
20121227,8.4497,8.4497,8.4497,8.4497,10,0
20121228,8.4497,8.4593,8.4497,8.4593,2,0
