Date,Open,High,Low,Close,Volume,OpenInt
20060612,3.8388,4.0284,3.6967,3.7914,1266787,0
20060613,3.6682,3.8104,3.4597,3.8104,217708,0
20060614,3.7819,3.8008,3.744,3.7914,52070,0
20060616,3.9336,3.9336,3.8008,3.8104,145794,0
20060619,3.8104,3.8104,3.6397,3.7914,37821,0
20060620,3.7914,3.7914,3.744,3.7819,18001,0
20060621,3.7535,3.7724,3.6967,3.763,23352,0
20060622,3.7819,3.7819,3.6303,3.6303,22599,0
20060623,3.6492,3.744,3.5165,3.545,18795,0
20060626,3.5355,3.5734,3.5165,3.5734,8587,0
20060627,3.6018,3.6492,3.5734,3.5734,23434,0
20060628,3.6018,3.6967,3.507,3.6967,26012,0
20060629,3.744,3.7819,3.6967,3.744,27791,0
20060630,3.7724,3.7914,3.7156,3.744,24080,0
20060703,3.744,3.744,3.7061,3.744,4775,0
20060704,3.744,3.7819,3.744,3.7819,29930,0
20060705,3.7914,3.8578,3.7914,3.8294,60603,0
20060706,3.8388,3.8483,3.7819,3.8483,26838,0
20060707,3.8104,3.8294,3.7914,3.8294,12608,0
20060710,3.7914,3.8294,3.7914,3.8104,23468,0
20060711,3.8104,3.8388,3.8008,3.8104,19638,0
20060712,3.8483,3.8483,3.7914,3.7914,16287,0
20060713,3.7914,3.8199,3.7819,3.8199,8833,0
20060714,3.7914,3.8199,3.7535,3.8199,16003,0
20060717,3.7914,3.8294,3.7914,3.8199,75331,0
20060718,3.8199,3.8199,3.8199,3.8199,105,0
20060719,3.8104,3.8483,3.7914,3.8483,9235,0
20060720,3.8294,3.8294,3.7251,3.8199,3695,0
20060721,3.8388,3.8388,3.7819,3.7819,1755,0
20060724,3.744,3.8199,3.7061,3.8104,2016,0
20060725,3.8294,3.8294,3.7724,3.7724,9515,0
20060726,3.7535,3.8294,3.6967,3.8199,63647,0
20060727,3.7914,3.7914,3.6967,3.7914,2954,0
20060728,3.7914,3.7914,3.7156,3.7819,1658,0
20060731,3.8008,3.8104,3.7819,3.8008,40964,0
20060801,3.8294,3.981,3.8199,3.8388,107961,0
20060802,3.7914,3.8578,3.7156,3.8294,13565,0
20060803,3.8672,4.1232,3.8672,4.0284,175032,0
20060804,4.1232,4.4928,4.1232,4.4928,139546,0
20060807,4.5402,4.5402,4.3317,4.4928,57749,0
20060808,4.5024,4.5402,4.4454,4.4833,46632,0
20060809,4.417,5.0236,4.3601,4.8341,160110,0
20060810,4.7867,4.8814,4.6919,4.8341,60570,0
20060811,4.9762,5.1658,4.6919,5.0236,109492,0
20060814,5.0711,5.1184,4.7867,5.0236,58804,0
20060816,5.0236,5.0236,4.9289,5.0236,12971,0
20060817,5.0236,5.1184,4.9289,5.0711,27693,0
20060818,5.0711,5.1658,4.9289,5.0711,251549,0
20060821,4.9762,5.0711,4.9289,5.0711,27372,0
20060822,5.1184,5.2606,5.0236,5.1658,42240,0
20060823,5.2132,5.3079,5.1658,5.3079,24871,0
20060824,5.3079,5.3079,4.9289,5.1184,45544,0
20060825,4.9762,5.2132,4.9289,5.1658,34852,0
20060828,5.1658,5.2132,5.0236,5.2132,18192,0
20060829,5.2132,5.6871,5.1184,5.5923,79261,0
20060830,5.5923,6.5876,5.5923,6.1611,70791,0
20060831,6.3506,6.5402,6.0188,6.1611,50721,0
20060901,6.1611,6.18,5.8862,6.0094,25373,0
20060904,6.0379,6.1895,5.8672,5.943,20777,0
20060905,5.9715,6.1326,5.9715,6.0758,22228,0
