Date,Open,High,Low,Close,Volume,OpenInt
20070925,15.66,15.746,15.017,15.651,230168,0
20070926,15.651,16.552,15.574,16.372,184694,0
20070927,16.475,16.732,16.433,16.724,62619,0
20070928,16.672,16.93,16.672,16.904,62507,0
20071001,16.904,16.93,16.475,16.475,33870,0
20071002,16.518,16.689,16.475,16.475,97897,0
20071003,16.226,16.629,16.226,16.518,20311,0
20071004,16.312,16.561,16.303,16.535,55139,0
20071005,16.303,16.475,16.303,16.475,7925,0
20071008,16.423,16.561,16.355,16.561,20152,0
20071009,16.604,16.732,16.475,16.732,48007,0
20071010,16.732,16.732,16.604,16.732,15222,0
20071011,16.732,16.904,16.646,16.886,7258,0
20071012,16.886,16.886,16.819,16.878,833,0
20071015,16.819,16.869,16.646,16.869,5807,0
20071016,16.689,16.732,16.689,16.732,4311,0
20071017,16.732,16.732,16.732,16.732,1049,0
20071018,16.742,16.861,16.742,16.819,310,0
20071019,16.775,16.819,16.775,16.819,635,0
20071022,16.689,16.689,16.312,16.32,1398,0
20071023,16.732,16.732,16.689,16.732,750,0
20071024,16.655,16.809,16.655,16.809,3083,0
20071025,16.475,16.904,16.475,16.904,7042,0
20071026,16.836,16.861,16.604,16.861,12190,0
20071029,16.947,17.152,16.947,17.152,1212,0
20071030,17.505,17.505,16.303,16.819,6856,0
20071031,16.261,17.032,16.261,17.032,20543,0
20071102,16.732,16.819,16.732,16.819,3467,0
20071105,16.389,16.398,16.389,16.398,7715,0
20071106,16.389,16.561,16.389,16.561,9812,0
20071107,16.561,16.561,16.295,16.295,7770,0
20071108,15.746,16.132,15.746,16.132,877,0
20071109,15.874,16.132,15.874,16.089,6434,0
20071112,16.089,16.089,15.463,15.463,15427,0
20071113,15.617,15.617,15.463,15.488,5654,0
20071114,16.947,16.947,16.483,16.638,12463,0
20071115,15.746,15.874,15.746,15.746,3066,0
20071116,15.531,16.518,15.531,16.303,14158,0
20071119,16.646,16.646,15.917,16.303,1262,0
20071120,16.604,16.604,15.702,15.702,311,0
20071121,15.617,16.475,15.617,16.303,8168,0
20071122,16.303,16.732,16.261,16.732,7051,0
20071123,16.646,16.646,16.475,16.604,1099,0
20071126,15.54,16.732,15.54,16.638,3568,0
20071128,16.561,17.162,16.561,16.732,17660,0
20071129,16.732,16.732,16.732,16.732,59,0
20071130,16.646,16.732,16.604,16.732,1298,0
20071203,16.646,16.646,16.646,16.646,82,0
20071206,16.303,16.303,16.303,16.303,233,0
20071207,16.303,16.303,16.046,16.046,1159,0
20071210,15.96,15.96,15.96,15.96,10,0
20071211,15.702,15.702,15.702,15.702,889,0
20071213,15.446,15.446,15.446,15.446,116,0
20071214,15.446,15.446,15.359,15.359,248,0
20071217,15.144,16.123,14.166,16.123,783,0
20071218,16.132,16.132,16.132,16.132,2331,0
20071219,16.132,16.646,16.132,16.646,5430,0
20071220,15.874,16.646,15.446,16.646,2716,0
20071221,16.303,16.303,15.017,16.303,8041,0
20071227,15.453,16.303,15.359,16.303,2505,0
20071228,15.42,16.646,15.42,16.646,2473,0
20080102,16.646,16.646,15.446,15.789,2091,0
20080103,15.789,15.874,15.007,15.874,7927,0
20080104,15.446,15.874,15.231,15.874,2879,0
20080108,15.102,15.12,15.033,15.12,671,0
20080109,15.033,15.06,14.287,14.287,4646,0
20080110,15.428,15.428,14.415,15.359,1852,0
20080111,14.587,15.566,14.587,15.566,1588,0
20080114,15.566,15.566,15.566,15.566,59,0
20080115,15.566,15.566,15.017,15.446,5534,0
20080116,15.017,15.446,14.159,14.159,1282,0
20080117,15.428,15.428,14.176,14.304,613,0
20080118,13.729,14.458,13.472,13.472,1435,0
20080121,13.515,14.149,12.442,12.442,3411,0
20080122,12.846,12.846,11.678,12.691,3393,0
20080123,12.871,12.871,12.014,12.014,1938,0
20080124,12.202,14.201,12.202,12.674,1572,0
20080125,13.523,13.523,12.501,13.472,1253,0
20080128,13.472,13.472,13.472,13.472,1417,0
20080129,13.583,13.583,13.583,13.583,155,0
20080131,13.583,13.583,13.129,13.557,6511,0
20080201,13.901,15.832,13.901,15.428,1398,0
20080204,15.403,15.403,14.348,15.359,2656,0
20080205,14.784,15.359,14.758,15.359,2297,0
20080207,14.587,15.017,14.33,15.017,465,0
20080208,15.017,15.017,15.017,15.017,175,0
20080213,14.758,14.758,14.758,14.758,285,0
20080214,14.758,15.351,14.758,15.351,269,0
20080215,15.274,15.274,15.274,15.274,1457,0
20080218,12.871,15.274,12.871,15.274,1757,0
20080220,14.587,14.587,14.587,14.587,53,0
20080221,15.403,15.403,15.403,15.403,292,0
20080226,15.017,15.188,15.017,15.188,3310,0
20080227,15.437,15.446,15.437,15.446,1165,0
20080228,15.428,15.446,15.428,15.446,2331,0
20080303,15.359,15.359,14.674,15.351,383,0
20080305,14.587,15.437,14.587,15.437,1826,0
20080306,14.639,14.999,14.159,14.159,12173,0
20080307,14.878,14.878,14.878,14.878,1,0
