Date,Open,High,Low,Close,Volume,OpenInt
20100414,10.338,10.651,9.829,9.844,160364,0
20100415,10.111,10.158,9.844,9.844,68744,0
20100416,10.088,10.088,9.712,9.985,271,0
20100419,9.712,9.712,9.1086,9.704,435,0
20100420,10.025,10.064,9.4922,9.947,182178,0
20100421,9.4922,9.947,9.4922,9.947,272,0
20100422,9.86,9.868,9.86,9.86,770,0
20100423,9.4765,9.752,9.4765,9.523,1737,0
20100426,9.868,10.064,9.57,9.868,1981,0
20100427,9.712,9.712,9.578,9.578,638,0
20100428,9.4765,9.4765,9.3983,9.4765,652,0
20100429,9.954,10.064,9.555,9.555,552,0
20100430,9.4057,9.985,9.3983,9.985,813,0
20100505,9.712,9.712,9.3201,9.3201,170871,0
20100507,9.2502,9.3201,9.241,9.241,22852,0
20100510,9.3983,9.3983,9.3983,9.3983,267,0
20100511,9.4057,9.4057,9.1242,9.1242,13978,0
20100512,9.4765,9.4765,9.3983,9.3983,608,0
20100513,9.4452,9.4452,9.4452,9.4452,1294,0
20100514,9.3983,9.634,9.3983,9.634,2332,0
20100517,9.634,9.634,9.634,9.634,275,0
20100518,9.634,9.634,9.634,9.634,4006,0
20100520,9.617,9.626,9.0074,9.617,1324,0
20100525,8.7165,9.3983,8.7165,9.3588,417,0
20100526,9.0074,9.2806,9.0074,9.2806,1744,0
20100527,9.3201,9.3983,9.3201,9.3983,14516,0
20100528,9.3983,9.4452,9.1628,9.4452,11660,0
20100531,9.2806,9.414,9.2806,9.414,1076,0
20100601,9.3983,9.3983,9.0856,9.1794,8720,0
20100604,9.1242,9.1794,9.1003,9.1794,387,0
20100607,9.1003,9.1003,9.1003,9.1003,239,0
20100608,8.8896,9.1003,8.8896,9.1003,1477,0
20100609,9.0856,9.1003,9.0856,9.1003,88,0
20100610,8.9283,8.9439,8.9283,8.9439,53,0
20100611,9.1794,9.1794,9.0147,9.0147,3171,0
20100614,9.0147,9.0147,9.0147,9.0147,105,0
20100615,8.8188,8.8188,8.8188,8.8188,127,0
20100616,8.8188,9.0074,8.8188,9.0074,39055,0
