Date,Open,High,Low,Close,Volume,OpenInt
20131230,16.625,16.754,15.784,16.536,24340,0
20140102,16.526,16.773,16.477,16.576,4461,0
20140103,16.576,16.773,16.526,16.526,6029,0
20140107,16.823,16.823,16.477,16.714,1720,0
20140108,16.714,16.714,16.576,16.625,4225,0
20140109,16.625,16.625,15.042,16.605,7936,0
20140110,16.031,16.595,16.031,16.576,2989,0
20140113,16.615,16.615,16.427,16.576,4029,0
20140114,16.605,16.605,16.328,16.585,3632,0
20140115,16.605,16.694,16.526,16.694,3004,0
20140116,16.724,16.773,16.674,16.773,5139,0
20140117,16.328,17.07,16.328,17.07,1327,0
20140120,17.1,17.694,17.1,17.595,1143,0
20140121,17.615,18.01,17.417,17.812,4822,0
20140122,17.812,17.812,17.318,17.714,360,0
20140123,17.714,17.714,17.219,17.219,810,0
20140124,17.229,17.318,17.229,17.318,736,0
20140127,17.318,17.318,17.318,17.318,137,0
20140128,17.07,17.07,17.07,17.07,700,0
20140129,17.08,17.318,17.08,17.318,194,0
20140130,17.12,17.328,17.12,17.318,1788,0
20140131,17.318,17.714,17.318,17.714,2572,0
20140203,17.812,17.812,16.625,17.417,1481,0
20140204,17.803,17.803,17.803,17.803,1,0
20140205,17.615,17.615,17.021,17.615,5,0
20140206,17.516,17.516,17.021,17.456,722,0
20140207,17.763,17.763,17.318,17.407,602,0
20140210,17.615,17.615,17.615,17.615,1,0
20140211,17.615,17.615,17.615,17.615,1,0
20140212,17.615,17.615,16.823,17.219,2861,0
20140213,16.823,16.823,16.625,16.635,36,0
20140214,16.625,17.12,16.625,17.12,52,0
20140217,17.12,17.12,16.625,16.625,264,0
20140218,16.823,16.823,16.338,16.576,1727,0
20140219,16.576,16.724,16.576,16.724,573,0
20140220,16.823,16.823,16.823,16.823,2,0
20140221,17.021,17.021,17.021,17.021,1,0
20140224,17.219,17.219,16.477,16.625,1717,0
20140225,16.922,16.922,16.922,16.922,2,0
20140226,16.922,16.922,16.922,16.922,1,0
20140227,16.773,16.773,16.328,16.328,865,0
20140228,16.338,16.843,16.338,16.843,2406,0
