Date,Open,High,Low,Close,Volume,OpenInt
20040506,8.3317,8.9172,8.3317,8.9172,3812589,0
20040507,9.1874,9.3675,8.8721,9.1874,1062565,0
20040510,8.5659,8.9082,8.5659,8.7821,217302,0
20040511,8.692,8.8271,8.692,8.7641,187072,0
20040512,8.773,8.8721,8.773,8.8632,74729,0
20040513,8.8901,8.9352,8.8271,8.8271,154064,0
20040514,8.773,8.773,8.4488,8.746,260545,0
20040517,8.647,8.8181,8.5569,8.7641,55899,0
20040518,8.773,8.9172,8.773,8.8721,1188796,0
20040519,8.8721,8.9532,8.8721,8.9172,763350,0
20040520,8.9172,8.9172,8.746,8.8721,37059,0
20040521,8.8271,8.9352,8.8271,8.9172,232990,0
20040524,8.8541,8.9172,8.7821,8.9172,24902,0
20040525,8.8271,8.8632,8.7371,8.8632,55055,0
20040526,8.8271,8.8271,8.7641,8.8271,79358,0
20040527,8.8091,8.9172,8.8001,8.9172,158328,0
20040528,8.8362,8.9803,8.8271,8.9622,159450,0
20040531,8.9172,8.9172,8.8632,8.8812,15499,0
20040601,8.9532,8.9892,8.9172,8.9712,59164,0
20040602,8.9892,9.0973,8.9803,9.0073,79880,0
20040603,9.0073,9.1874,9.0073,9.1874,111065,0
20040604,9.2324,9.3226,9.1874,9.3226,109567,0
20040607,9.3226,9.547,9.3226,9.4579,110166,0
20040608,9.503,9.547,9.4127,9.503,48394,0
20040609,9.503,9.593,9.4579,9.547,129650,0
20040611,9.593,9.818,9.593,9.818,30875,0
20040614,9.773,9.998,9.773,9.998,450270,0
20040615,10.088,10.133,9.998,10.088,486097,0
20040616,10.133,10.133,9.908,10.088,664087,0
20040617,10.088,10.088,9.908,9.953,243514,0
20040618,9.728,10.043,9.728,10.043,183297,0
20040621,9.998,9.998,9.818,9.998,41977,0
20040622,9.953,10.088,9.908,9.998,182031,0
20040623,10.043,10.313,10.043,10.179,171950,0
20040624,10.179,10.268,10.088,10.179,114330,0
20040625,10.088,10.179,10.088,10.179,4596,0
20040628,10.088,10.179,10.043,10.088,121013,0
20040629,10.043,10.313,10.043,10.224,1044402,0
20040630,10.179,10.358,10.179,10.268,129684,0
20040701,10.088,10.313,10.088,10.224,21027,0
20040702,10.224,10.224,10.043,10.179,44109,0
20040705,10.088,10.179,10.043,10.133,409492,0
20040706,9.998,10.043,9.908,9.953,94280,0
20040707,9.953,10.088,9.953,9.953,8493,0
20040708,10.043,10.088,10.043,10.088,16265,0
20040709,9.953,10.088,9.953,9.998,93236,0
20040712,9.953,10.133,9.953,9.998,10158,0
20040713,9.908,10.088,9.818,9.908,112310,0
20040714,9.773,9.863,9.773,9.863,29454,0
