Date,Open,High,Low,Close,Volume,OpenInt
19941012,12.316,12.316,12.316,12.316,22283,0
19941013,12.316,12.316,12.316,12.316,23814,0
19941014,12.316,12.316,12.316,12.316,20055,0
19941017,12.79,12.79,12.79,12.79,28522,0
19941018,14.021,14.021,14.021,14.021,37198,0
19941019,15.348,15.348,15.348,15.348,33328,0
19941020,16.011,16.011,16.011,16.011,52914,0
19941021,16.2,16.2,16.2,16.2,29317,0
19941024,16.106,16.106,16.106,16.106,20150,0
19941025,15.632,15.632,15.632,15.632,7761,0
19941026,15.158,15.158,15.158,15.158,11974,0
19941027,14.684,14.684,14.684,14.684,4440,0
19941028,14.684,14.684,14.684,14.684,16665,0
19941102,14.968,14.968,14.968,14.968,14904,0
19941103,14.968,14.968,14.968,14.968,42208,0
19941104,13.737,13.737,13.737,13.737,13766,0
19941107,14.116,14.116,14.116,14.116,21646,0
19941108,14.021,14.021,14.021,14.021,19457,0
19941109,13.832,13.832,13.832,13.832,12374,0
19941110,13.832,13.832,13.832,13.832,8964,0
19941114,13.832,13.832,13.832,13.832,7797,0
19941115,13.358,13.358,13.358,13.358,9054,0
19941116,13.358,13.358,13.358,13.358,10547,0
19941117,13.642,13.642,13.642,13.642,5710,0
19941118,13.548,13.548,13.548,13.548,8717,0
19941121,13.453,13.453,13.453,13.453,5475,0
19941122,12.884,12.884,12.884,12.884,9900,0
19941123,12.695,12.695,12.695,12.695,16210,0
19941124,12.221,12.221,12.221,12.221,12012,0
19941125,11.084,11.084,11.084,11.084,13713,0
19941128,12.126,12.126,12.126,12.126,11470,0
19941129,13.263,13.263,13.263,13.263,8694,0
19941130,14.59,14.59,14.59,14.59,9555,0
19941201,15.348,15.348,15.348,15.348,16381,0
19941202,15.158,15.158,15.158,15.158,23552,0
19941205,13.737,13.737,13.737,13.737,2840,0
19941206,14.968,14.968,14.968,14.968,25787,0
19941207,13.548,13.548,13.548,13.548,7991,0
19941208,12.221,12.221,12.221,12.221,21377,0
19941209,11.937,11.937,11.937,11.937,5450,0
19941212,12.979,12.979,12.979,12.979,20502,0
19941213,12.316,12.316,12.316,12.316,9620,0
19941214,11.937,11.937,11.937,11.937,1532,0
19941215,12.505,12.505,12.505,12.505,5406,0
19941216,12.79,12.79,12.79,12.79,6649,0
19941219,12.884,12.884,12.884,12.884,16943,0
19941220,12.41,12.41,12.41,12.41,5617,0
19941221,12.41,12.41,12.41,12.41,15907,0
19941222,12.41,12.41,12.41,12.41,6821,0
19941223,12.41,12.41,12.41,12.41,18246,0
19941227,12.695,12.695,12.695,12.695,10922,0
19941228,12.221,12.221,12.221,12.221,4959,0
19941229,12.505,12.505,12.505,12.505,6889,0
19950102,12.79,12.79,12.79,12.79,13566,0
19950103,14.021,14.021,14.021,14.021,46715,0
19950104,13.358,13.358,13.358,13.358,13811,0
19950105,13.453,13.453,13.453,13.453,19437,0
19950106,12.41,12.41,12.41,12.41,8340,0
19950109,12.79,12.79,12.79,12.79,16028,0
19950110,12.79,12.79,12.79,12.79,11651,0
19950111,12.79,12.79,12.79,12.79,2540,0
19950112,12.79,12.79,12.79,12.79,11845,0
19950113,13.074,13.074,13.074,13.074,10480,0
19950116,13.168,13.168,13.168,13.168,8884,0
19950117,12.316,12.316,12.316,12.316,3330,0
19950118,12.221,12.221,12.221,12.221,21887,0
19950119,12.316,12.316,12.316,12.316,7023,0
19950120,11.937,11.937,11.937,11.937,2890,0
