Date,Open,High,Low,Close,Volume,OpenInt
19970710,8.2893,8.2893,8.2893,8.2893,6980479,0
19970711,8.4658,8.4658,8.4658,8.4658,4415305,0
19970714,7.6216,7.6216,7.6216,7.6216,1128978,0
19970715,6.8822,6.8822,6.8822,6.8822,2359338,0
19970716,7.5499,7.5499,7.5499,7.5499,1617710,0
19970717,7.6931,7.7598,7.6931,7.7598,2180475,0
19970718,7.5834,7.5834,7.3401,7.3735,758127,0
19970721,7.5834,7.5834,7.5166,7.5834,1037370,0
19970722,7.5834,7.6931,7.5834,7.6216,672611,0
19970723,7.6549,7.6549,7.4451,7.5166,576767,0
19970724,7.5834,7.5834,7.5166,7.5166,702943,0
19970725,7.5499,7.5499,7.4784,7.4784,561043,0
19970728,7.4117,7.4117,7.302,7.302,584831,0
19970729,7.2352,7.4117,7.2352,7.3401,334722,0
19970730,7.3401,7.5834,7.3401,7.5166,373090,0
19970731,7.4784,7.4784,7.302,7.3401,370982,0
19970801,7.3401,7.4784,7.3401,7.3401,276871,0
19970804,7.4117,7.4784,7.4117,7.4451,392680,0
19970805,7.4784,7.5834,7.4784,7.5834,580634,0
19970806,7.5834,7.5834,7.4784,7.5166,424449,0
19970807,7.5499,8.0459,7.5499,8.0078,531073,0
19970808,7.9029,8.4658,7.9029,8.2559,1051179,0
19970811,8.1129,8.1129,7.8696,7.9029,755603,0
19970812,7.8696,8.1129,7.8696,8.0078,624760,0
19970813,8.1129,8.1129,8.1129,8.1129,837402,0
19970814,7.8314,7.9363,7.7981,7.8314,363082,0
19970818,7.7264,7.7264,7.5166,7.5834,349087,0
19970819,7.8314,8.1129,7.8314,7.9745,653053,0
19970820,8.0459,8.0459,7.9029,7.9363,640193,0
19970821,7.7598,7.7598,7.6931,7.6931,221845,0
19970822,7.6549,7.8314,7.6549,7.7981,212598,0
19970825,7.6931,7.7981,7.5834,7.5834,199117,0
19970826,7.5834,7.7264,7.5834,7.6549,232265,0
19970827,7.6549,7.7264,7.6549,7.6931,218305,0
19970828,7.8696,8.0459,7.8696,8.0078,869131,0
19970829,7.9363,7.9363,7.8696,7.9029,930047,0
19970901,7.7981,7.8696,7.7981,7.7981,247288,0
19970902,7.9363,8.0078,7.9363,7.9745,575123,0
19970903,8.0459,8.2225,8.0459,8.1843,1099634,0
19970904,8.0459,8.0459,7.9363,7.9745,572967,0
19970905,7.9363,8.0795,7.9363,8.0078,493302,0
19970908,7.9745,7.9745,7.9029,7.9745,195505,0
19970909,7.8696,7.9363,7.8696,7.9029,375710,0
19970910,7.8696,7.9745,7.8696,7.9029,366151,0
19970911,7.7981,7.9029,7.7981,7.8696,369630,0
19970912,7.8696,7.9363,7.8696,7.9029,333903,0
19970915,7.8314,7.9363,7.8314,7.9029,298252,0
19970916,7.8314,7.8696,7.7598,7.7598,331329,0
19970917,7.7264,7.7264,7.6549,7.6931,358292,0
19970918,7.6216,7.7598,7.5834,7.7598,521117,0
19970919,7.9363,8.0795,7.9363,8.0795,1326801,0
19970922,8.1129,8.1129,7.9745,8.0078,834508,0
19970923,8.0078,8.0078,7.9029,7.9363,568217,0
19970924,7.7981,7.9029,7.7981,7.8696,404199,0
19970925,7.7264,7.7264,7.6216,7.6549,595921,0
19970926,7.6216,7.6549,7.5834,7.5834,524510,0
19970929,7.6549,7.7264,7.6549,7.6549,421004,0
19970930,7.7981,7.7981,7.6549,7.6931,378626,0
19971001,7.7598,7.7981,7.7264,7.7981,658684,0
19971002,7.7264,7.7264,7.6549,7.6549,521275,0
19971003,7.7598,7.9029,7.7598,7.8314,1375122,0
19971006,7.7598,7.9029,7.7598,7.8314,1436586,0
19971007,7.7598,8.0078,7.7598,7.9745,1404596,0
