Date,Open,High,Low,Close,Volume,OpenInt
19960130,19.528,19.528,19.528,19.528,153041,0
19960131,20.231,20.231,20.231,20.231,161690,0
19960201,20.231,20.231,20.231,20.231,78574,0
19960202,21.072,21.072,21.072,21.072,129554,0
19960205,21.286,21.286,21.286,21.286,50884,0
19960206,21.072,21.072,21.072,21.072,94769,0
19960207,20.231,20.231,20.231,20.231,268318,0
19960208,21.072,21.072,21.072,21.072,157740,0
19960209,23.177,23.177,23.177,23.177,160206,0
19960212,25.497,25.497,25.497,25.497,94888,0
19960213,26.693,26.693,26.693,26.693,286646,0
19960214,25.991,25.991,25.991,25.991,108182,0
19960215,25.991,25.991,25.991,25.991,104871,0
19960216,25.917,25.917,25.917,25.917,49197,0
19960219,25.29,25.29,25.29,25.29,53188,0
19960220,24.934,24.934,24.934,24.934,77520,0
19960221,24.934,24.934,24.934,24.934,94902,0
19960222,25.636,25.636,25.636,25.636,46923,0
19960223,25.497,25.497,25.497,25.497,29842,0
19960226,25.711,25.711,25.711,25.711,49251,0
19960227,25.57,25.57,25.57,25.57,52909,0
19960228,25.29,25.29,25.29,25.29,11229,0
19960229,26.198,26.198,26.198,26.198,72018,0
19960301,26.338,26.338,26.338,26.338,32818,0
19960304,27.254,27.254,27.254,27.254,69418,0
19960305,29.012,29.012,29.012,29.012,66477,0
19960306,29.92,29.92,29.92,29.92,35548,0
19960307,32.942,32.942,32.942,32.942,37322,0
19960308,30.06,30.06,30.06,30.06,52938,0
19960311,29.714,29.714,29.714,29.714,23661,0
19960312,29.92,29.92,29.92,29.92,34562,0
19960313,30.275,30.275,30.275,30.275,37348,0
19960314,29.92,29.92,29.92,29.92,20038,0
19960315,30.201,30.201,30.201,30.201,6702,0
19960318,31.257,31.257,31.257,31.257,12731,0
19960319,32.173,32.173,32.173,32.173,38329,0
19960320,33.362,33.362,33.362,33.362,59012,0
19960321,33.015,33.015,33.015,33.015,113393,0
19960322,33.362,33.362,33.362,33.362,28263,0
19960325,33.222,33.222,33.222,33.222,121913,0
19960326,32.661,32.661,32.661,32.661,6856,0
19960327,32.52,32.52,32.52,32.52,7531,0
19960328,32.942,32.942,32.942,32.942,12187,0
19960329,33.015,33.015,33.015,33.015,12813,0
19960401,32.875,32.875,32.875,32.875,8121,0
19960402,32.52,32.52,32.52,32.52,8395,0
19960403,32.173,32.173,32.173,32.173,10786,0
19960404,31.818,31.818,31.818,31.818,12648,0
19960405,32.173,32.173,32.173,32.173,28162,0
19960409,31.612,31.612,31.612,31.612,16548,0
19960410,31.612,31.612,31.612,31.612,18267,0
19960411,31.893,31.893,31.893,31.893,8389,0
19960412,32.033,32.033,32.033,32.033,2574,0
19960415,32.52,32.52,32.52,32.52,9699,0
19960416,32.52,32.52,32.52,32.52,18556,0
19960417,32.661,32.661,32.661,32.661,7943,0
19960418,33.222,33.222,33.222,33.222,18208,0
19960419,33.015,33.015,33.015,33.015,7163,0
19960422,33.222,33.222,33.222,33.222,28262,0
19960423,33.362,33.362,33.362,33.362,36805,0
19960424,33.362,33.362,33.362,33.362,39201,0
19960425,33.362,33.362,33.362,33.362,9367,0
19960426,32.173,32.173,32.173,32.173,26485,0
19960429,32.52,32.52,32.52,32.52,14021,0
19960430,32.661,32.661,32.661,32.661,9993,0
19960506,32.661,32.661,32.661,32.661,14988,0
19960507,33.362,33.362,33.362,33.362,12410,0
19960508,33.362,33.362,33.362,33.362,34405,0
19960509,33.716,33.716,33.716,33.716,17334,0
19960510,33.362,33.362,33.362,33.362,21338,0
19960513,33.716,33.716,33.716,33.716,9950,0
19960514,34.278,34.278,34.278,34.278,88390,0
19960515,33.923,33.923,33.923,33.923,56960,0
19960516,33.923,33.923,33.923,33.923,43844,0
19960517,33.576,33.576,33.576,33.576,31406,0
19960520,33.296,33.296,33.296,33.296,21310,0
19960521,33.222,33.222,33.222,33.222,8532,0
19960522,32.594,32.594,32.594,32.594,11765,0
19960523,32.173,32.173,32.173,32.173,15744,0
19960524,31.678,31.678,31.678,31.678,25174,0
19960527,31.472,31.472,31.472,31.472,13139,0
19960528,30.976,30.976,30.976,30.976,6164,0
19960529,30.201,30.201,30.201,30.201,10408,0
19960530,29.92,29.92,29.92,29.92,7152,0
19960531,30.06,30.06,30.06,30.06,716,0
19960603,30.275,30.275,30.275,30.275,789,0
19960604,30.415,30.415,30.415,30.415,2480,0
19960605,30.556,30.556,30.556,30.556,13764,0
19960607,30.415,30.415,30.415,30.415,1331,0
19960610,30.556,30.556,30.556,30.556,1569,0
19960611,30.556,30.556,30.556,30.556,26919,0
19960612,30.135,30.135,30.135,30.135,1046,0
19960613,30.201,30.201,30.201,30.201,3359,0
19960614,30.06,30.06,30.06,30.06,6604,0
19960617,30.415,30.415,30.415,30.415,8070,0
19960618,30.06,30.06,30.06,30.06,17429,0
19960619,30.415,30.415,30.415,30.415,29953,0
19960620,30.482,30.482,30.482,30.482,67859,0
19960621,30.201,30.201,30.201,30.201,55638,0
19960624,30.201,30.201,30.201,30.201,37196,0
19960625,30.201,30.201,30.201,30.201,39117,0
19960626,30.415,30.415,30.415,30.415,90287,0
19960627,30.201,30.201,30.201,30.201,34845,0
19960628,30.06,30.06,30.06,30.06,63813,0
19960701,30.06,30.06,30.06,30.06,14652,0
19960702,29.854,29.854,29.854,29.854,29881,0
19960703,29.854,29.854,29.854,29.854,15778,0
19960704,29.854,29.854,29.854,29.854,36594,0
19960705,31.116,31.116,31.116,31.116,65704,0
19960708,30.06,30.06,30.06,30.06,77554,0
19960709,29.854,29.854,29.854,29.854,36463,0
19960710,29.854,29.854,29.854,29.854,11136,0
19960711,29.574,29.574,29.574,29.574,15575,0
19960712,29.574,29.574,29.574,29.574,1254,0
19960715,29.574,29.574,29.574,29.574,12109,0
19960716,29.359,29.359,29.359,29.359,8088,0
19960717,28.657,28.657,28.657,28.657,15352,0
19960718,28.31,28.31,28.31,28.31,3567,0
19960719,28.798,28.798,28.798,28.798,9099,0
19960722,27.956,27.956,27.956,27.956,1058,0
19960723,27.749,27.749,27.749,27.749,2090,0
19960724,27.956,27.956,27.956,27.956,1627,0
19960725,27.956,27.956,27.956,27.956,3650,0
19960726,28.798,28.798,28.798,28.798,76564,0
19960729,29.499,29.499,29.499,29.499,3610,0
19960730,29.359,29.359,29.359,29.359,2570,0
19960731,29.359,29.359,29.359,29.359,10163,0
19960801,28.45,28.45,28.45,28.45,3708,0
19960802,28.31,28.31,28.31,28.31,973,0
19960805,28.17,28.17,28.17,28.17,2272,0
19960806,28.097,28.097,28.097,28.097,23205,0
19960807,27.956,27.956,27.956,27.956,4201,0
19960808,28.097,28.097,28.097,28.097,17278,0
19960809,28.097,28.097,28.097,28.097,11671,0
19960812,27.956,27.956,27.956,27.956,9206,0
19960813,28.097,28.097,28.097,28.097,39861,0
19960814,28.097,28.097,28.097,28.097,41554,0
19960816,28.097,28.097,28.097,28.097,80343,0
19960819,28.45,28.45,28.45,28.45,17572,0
19960820,28.798,28.798,28.798,28.798,34565,0
19960821,29.499,29.499,29.499,29.499,20438,0
19960822,29.854,29.854,29.854,29.854,30801,0
19960823,32.875,32.875,32.875,32.875,0,0
19960826,34.278,34.278,34.278,34.278,62242,0
19960827,32.875,32.875,32.875,32.875,111642,0
19960828,32.875,32.875,32.875,32.875,12728,0
19960829,32.173,32.173,32.173,32.173,24664,0
19960830,33.222,33.222,33.222,33.222,10517,0
19960902,33.222,33.222,33.222,33.222,3658,0
19960903,33.015,33.015,33.015,33.015,13104,0
19960904,32.594,32.594,32.594,32.594,8942,0
19960905,31.257,31.257,31.257,31.257,2892,0
19960906,30.762,30.762,30.762,30.762,45016,0
19960909,30.415,30.415,30.415,30.415,9304,0
19960910,31.116,31.116,31.116,31.116,7970,0
19960911,31.116,31.116,31.116,31.116,3116,0
19960912,31.818,31.818,31.818,31.818,4886,0
19960913,33.222,33.222,33.222,33.222,5507,0
19960916,33.576,33.576,33.576,33.576,6285,0
19960917,33.576,33.576,33.576,33.576,8817,0
19960918,33.576,33.576,33.576,33.576,11288,0
19960919,33.015,33.015,33.015,33.015,4224,0
19960920,33.015,33.015,33.015,33.015,13570,0
19960923,33.015,33.015,33.015,33.015,11903,0
19960924,33.362,33.362,33.362,33.362,10744,0
19960925,33.015,33.015,33.015,33.015,8540,0
19960926,36.242,36.242,36.242,36.242,132004,0
19960927,33.716,33.716,33.716,33.716,23222,0
19960930,34.278,34.278,34.278,34.278,7601,0
19961001,32.875,32.875,32.875,32.875,22845,0
19961002,36.102,36.102,36.102,36.102,28490,0
19961003,35.822,35.822,35.822,35.822,10484,0
19961004,35.334,35.334,35.334,35.334,10884,0
19961007,36.036,36.036,36.036,36.036,49840,0
19961008,36.597,36.597,36.597,36.597,7437,0
19961009,36.878,36.878,36.878,36.878,8285,0
19961010,37.085,37.085,37.085,37.085,11260,0
19961011,37.439,37.439,37.439,37.439,13311,0
19961014,37.787,37.787,37.787,37.787,4631,0
19961015,37.787,37.787,37.787,37.787,11945,0
19961016,37.787,37.787,37.787,37.787,8930,0
19961017,37.787,37.787,37.787,37.787,8996,0
19961018,38.636,38.636,38.636,38.636,7575,0
19961021,37.085,37.085,37.085,37.085,4664,0
19961022,37.085,37.085,37.085,37.085,24588,0
19961023,38.495,38.495,38.495,38.495,13675,0
19961024,37.646,37.646,37.646,37.646,29686,0
19961025,37.787,37.787,37.787,37.787,2843,0
19961028,37.085,37.085,37.085,37.085,1631,0
19961029,36.878,36.878,36.878,36.878,20272,0
19961030,36.878,36.878,36.878,36.878,24701,0
19961031,38.636,38.636,38.636,38.636,90260,0
19961104,37.787,37.787,37.787,37.787,9632,0
19961105,37.085,37.085,37.085,37.085,9398,0
19961106,37.787,37.787,37.787,37.787,27457,0
19961107,37.787,37.787,37.787,37.787,17227,0
19961108,37.3,37.3,37.3,37.3,15686,0
19961112,37.3,37.3,37.3,37.3,16155,0
19961113,36.878,36.878,36.878,36.878,11567,0
19961114,37.439,37.439,37.439,37.439,22787,0
19961115,37.439,37.439,37.439,37.439,57120,0
19961118,37.787,37.787,37.787,37.787,10310,0
19961119,37.787,37.787,37.787,37.787,3545,0
19961120,37.787,37.787,37.787,37.787,22186,0
19961121,37.787,37.787,37.787,37.787,14842,0
19961122,36.878,36.878,36.878,36.878,42481,0
19961125,36.878,36.878,36.878,36.878,34306,0
19961126,36.878,36.878,36.878,36.878,31292,0
19961127,36.878,36.878,36.878,36.878,9111,0
19961128,37.787,37.787,37.787,37.787,15558,0
19961129,37.787,37.787,37.787,37.787,29343,0
19961202,37.787,37.787,37.787,37.787,52673,0
19961203,35.12,35.12,35.12,35.12,8113,0
19961204,36.036,36.036,36.036,36.036,33149,0
19961205,35.334,35.334,35.334,35.334,5488,0
19961206,33.923,33.923,33.923,33.923,2428,0
19961209,35.12,35.12,35.12,35.12,39054,0
19961210,31.612,31.612,31.612,31.612,35875,0
19961211,33.222,33.362,33.222,33.362,6662,0
19961212,34.278,34.278,34.278,34.278,21821,0
19961213,35.12,35.12,35.12,35.12,33912,0
19961216,35.12,35.12,35.12,35.12,4073,0
19961217,35.12,35.12,35.12,35.12,8672,0
19961218,34.278,34.278,34.278,34.278,6097,0
19961219,35.12,35.12,35.12,35.12,5125,0
19961220,35.12,35.12,35.12,35.12,57960,0
19961223,36.878,36.878,36.878,36.878,2397,0
19961224,36.036,36.036,36.036,36.036,2496,0
19961230,36.036,36.036,36.036,36.036,484,0
19961231,36.878,36.878,36.878,36.878,3321,0
19970102,36.878,36.878,36.878,36.878,2750,0
19970103,35.12,35.12,35.12,35.12,24001,0
19970106,35.12,35.12,35.12,35.12,883,0
19970107,35.12,35.12,35.12,35.12,57344,0
19970108,36.175,36.175,35.999,35.999,4873,0
19970109,36.523,36.523,36.523,36.523,33425,0
19970110,36.878,36.878,35.999,35.999,17732,0
19970113,37.225,37.757,37.225,37.757,59296,0
19970114,37.787,37.787,37.787,37.787,21207,0
19970115,38.281,40.305,38.281,40.305,13271,0
19970116,42.078,44.78,42.078,43.902,25471,0
19970117,42.499,43.902,42.499,43.813,10957,0
19970120,43.059,43.059,43.059,43.059,10006,0
19970121,43.059,43.059,43.059,43.059,16455,0
19970122,42.705,43.023,42.705,43.023,13676,0
19970123,43.059,43.2,43.023,43.023,41555,0
19970124,42.705,43.2,42.705,43.2,14055,0
19970127,43.902,43.902,43.902,43.902,26787,0
19970128,43.902,43.902,43.902,43.902,17858,0
