Date,Open,High,Low,Close,Volume,OpenInt
20010516,42.997,42.997,39.533,42.641,3858,0
20010517,41.309,42.553,40.865,42.553,2362,0
20010518,40.954,41.753,40.954,41.753,12,0
20010524,42.641,42.641,42.641,42.641,5,0
20010525,42.997,42.997,42.997,42.997,270,0
20010529,42.908,42.908,42.908,42.908,224,0
20010530,42.73,42.73,42.73,42.73,224,0
20010531,42.73,42.73,42.73,42.73,112,0
20010601,42.287,42.287,42.287,42.287,224,0
20010604,42.197,42.197,41.753,41.753,1914,0
20010605,42.73,42.73,41.753,41.753,383,0
20010606,42.641,42.73,41.753,42.73,278,0
20010607,42.73,42.73,42.73,42.73,451,0
20010608,42.908,42.908,42.908,42.908,112,0
20010611,42.908,42.908,42.908,42.908,56,0
20010612,41.309,42.997,41.309,42.997,281,0
20010615,42.819,43.086,42.641,43.086,3565,0
20010618,43.086,43.086,43.086,43.086,169,0
20010621,42.197,42.197,42.197,42.197,224,0
20010622,42.641,42.641,42.641,42.641,395,0
20010625,42.73,42.73,42.641,42.641,224,0
20010626,42.641,42.641,42.197,42.197,427,0
20010628,43.531,43.531,42.641,42.997,675,0
20010629,43.531,43.531,43.531,43.531,777,0
20010702,42.73,42.73,42.73,42.73,431,0
20010703,42.997,43.441,42.997,42.997,754,0
20010704,43.086,43.263,43.086,43.174,787,0
20010705,43.086,43.086,43.086,43.086,397,0
20010706,43.352,43.531,43.352,43.531,484,0
20010709,43.619,43.619,43.619,43.619,338,0
20010710,43.531,43.619,43.531,43.531,541,0
20010711,43.531,43.531,43.531,43.531,753,0
20010712,43.531,43.708,43.531,43.708,1655,0
20010713,43.531,43.531,43.531,43.531,56,0
20010716,43.797,43.797,43.797,43.797,325,0
20010717,43.619,43.797,43.619,43.797,878,0
20010718,43.974,44.062,43.974,44.062,970,0
20010719,44.062,44.329,44.062,44.329,2759,0
20010720,44.418,44.418,44.418,44.418,242,0
20010723,45.306,45.484,45.306,45.484,433,0
20010724,44.863,45.75,44.863,45.75,787,0
20010725,46.195,46.195,46.195,46.195,56,0
20010727,46.107,46.107,46.107,46.107,10,0
20010730,45.75,46.195,45.75,46.195,474,0
20010731,45.839,45.839,45.839,45.839,10,0
20010801,45.839,45.839,45.839,45.839,10,0
20010802,46.639,46.639,44.418,46.639,494,0
20010803,46.195,46.639,46.195,46.639,213,0
20010806,46.55,46.55,46.55,46.55,159,0
20010807,45.75,45.75,45.75,45.75,10,0
20010808,44.418,45.662,44.152,44.152,834,0
20010809,45.75,46.018,45.75,46.018,494,0
20010810,45.306,45.306,45.306,45.306,224,0
20010813,45.306,45.306,45.218,45.218,451,0
20010814,45.662,45.662,45.573,45.573,115,0
20010816,45.484,45.484,45.484,45.484,224,0
20010817,45.306,45.396,45.306,45.396,271,0
20010820,45.75,45.75,45.75,45.75,112,0
20010821,45.75,45.75,45.75,45.75,46,0
20010822,45.306,45.306,45.306,45.306,92,0
20010823,46.107,46.107,46.107,46.107,195,0
20010824,45.218,45.218,45.218,45.218,224,0
20010827,45.573,45.662,45.218,45.662,1103,0
20010828,45.129,45.662,45.129,45.662,702,0
20010829,45.75,46.195,44.774,46.195,679,0
20010830,45.75,45.75,45.129,45.129,224,0
20010831,44.952,44.952,44.863,44.863,451,0
20010903,44.863,44.863,44.507,44.507,451,0
20010904,44.418,45.129,44.418,45.129,548,0
20010906,44.507,44.507,44.507,44.507,46,0
20010907,44.507,44.507,44.507,44.507,224,0
20010910,44.863,44.863,44.863,44.863,224,0
20010912,44.418,44.418,44.418,44.418,338,0
20010913,44.774,44.774,44.774,44.774,169,0
20010917,44.774,44.774,44.774,44.774,169,0
20010918,43.708,43.708,43.531,43.531,451,0
20010919,43.086,43.531,43.086,43.531,395,0
20010920,42.197,43.086,42.197,43.086,624,0
20010921,41.753,42.73,41.753,42.73,152,0
20010924,42.908,42.997,42.908,42.997,370,0
20010926,42.997,42.997,42.997,42.997,341,0
20010927,43.174,43.263,43.174,43.263,341,0
20010928,43.352,43.352,43.352,43.352,447,0
20011001,43.619,43.708,43.619,43.708,447,0
20011002,43.708,43.797,43.708,43.797,367,0
20011003,43.086,43.531,43.086,43.531,8477,0
20011004,43.531,43.885,43.531,43.885,338,0
20011005,43.619,43.974,43.086,43.086,5989,0
20011008,43.885,43.974,42.73,43.974,476,0
20011009,42.73,44.952,42.73,44.952,592,0
20011010,44.774,44.952,44.685,44.952,563,0
20011011,45.129,45.306,44.774,45.306,484,0
20011012,45.129,45.396,45.129,45.396,456,0
20011015,45.129,45.396,43.974,45.396,563,0
20011018,44.952,45.306,44.952,45.306,229,0
20011019,44.418,44.507,44.418,44.507,395,0
