Date,Open,High,Low,Close,Volume,OpenInt
20110225,22.129,23.115,22.055,22.54,43525,0
20110228,22.469,22.494,21.635,22.043,7215,0
20110301,21.552,21.823,21.059,21.059,3699,0
20110302,20.977,20.977,20.416,20.483,3363,0
20110303,20.483,21.223,19.759,21.059,2365,0
20110304,20.977,22.047,20.977,21.881,1644,0
20110307,21.388,21.388,20.582,21.289,1888,0
20110308,20.73,20.977,20.401,20.566,3175,0
20110309,20.566,20.649,20.236,20.245,601,0
20110310,20.163,21.388,20.163,21.1,4776,0
20110311,20.408,20.408,20.359,20.401,719,0
20110314,20.318,20.96,20.318,20.359,953,0
20110315,20.401,20.566,20.401,20.401,3965,0
20110316,20.441,20.969,20.277,20.326,383,0
20110317,20.323,20.865,20.282,20.865,175,0
20110318,20.977,21.388,20.163,21.388,1551,0
20110321,20.368,21.379,20.368,20.977,206,0
20110322,20.392,21.388,20.392,20.573,328,0
20110323,20.573,20.977,20.573,20.689,291,0
20110324,20.573,21.059,20.573,20.649,479,0
20110325,20.664,20.771,20.573,20.771,938,0
20110328,20.73,20.771,20.566,20.566,847,0
20110329,20.771,20.771,20.566,20.649,219,0
20110330,20.401,20.73,20.401,20.73,49,0
20110331,20.442,20.615,20.442,20.562,334,0
20110401,20.812,21.371,20.812,20.977,1385,0
20110404,20.977,21.717,20.977,20.977,1155,0
20110405,20.993,21.964,20.993,21.799,3276,0
20110406,21.47,21.47,21.018,21.018,373,0
20110407,21.026,21.141,21.001,21.141,271,0
20110408,21.059,21.141,20.894,20.977,395,0
20110411,20.977,21.371,20.903,21.363,425,0
20110412,21.018,21.018,20.862,20.862,318,0
20110413,21.018,21.059,21.018,21.018,74,0
20110414,20.616,21.018,20.616,20.977,196,0
20110415,20.977,21.141,20.977,21.059,350,0
20110418,21.059,21.059,20.936,20.936,781,0
20110419,20.689,21.306,20.566,21.141,1389,0
20110420,20.392,20.894,20.392,20.894,37,0
20110421,20.649,21.059,20.566,20.894,935,0
20110426,20.649,21.297,20.649,21.297,235,0
20110427,20.649,21.297,20.649,20.894,2997,0
20110428,20.771,20.977,20.771,20.936,174,0
20110429,21.283,21.283,20.957,20.975,719,0
20110502,20.977,20.977,20.977,20.977,136,0
20110504,21.018,21.28,20.977,20.977,344,0
20110505,20.974,21.058,20.782,21.058,867,0
20110506,20.854,20.977,20.854,20.878,173,0
20110509,20.878,20.894,20.854,20.878,836,0
20110510,20.739,21.223,19.989,20.878,387,0
20110511,20.974,20.974,20.782,20.799,1077,0
20110512,20.195,20.977,20.169,20.977,248,0
20110513,20.566,20.977,20.566,20.977,505,0
20110516,20.977,21.799,20.573,20.977,1783,0
20110517,20.977,20.977,20.771,20.977,370,0
20110518,20.698,20.698,20.698,20.698,215,0
20110520,21.225,21.383,21.225,21.383,36,0
20110523,20.203,20.203,19.957,19.957,366,0
20110524,20.31,21.059,20.31,21.059,36,0
20110525,20.787,20.787,20.739,20.739,539,0
20110526,20.566,20.73,20.566,20.689,97,0
20110527,20.691,21.375,20.607,21.309,620,0
20110530,20.606,21.141,20.606,20.606,287,0
20110531,20.562,20.562,20.529,20.529,417,0
20110602,20.664,20.977,20.606,20.977,329,0
20110603,20.974,20.974,20.974,20.974,178,0
20110606,20.573,20.977,20.573,20.977,298,0
20110607,20.582,21.225,20.582,21.225,425,0
20110608,21.184,21.225,20.616,20.623,2065,0
20110609,20.974,20.974,20.774,20.774,190,0
20110610,20.724,20.774,20.724,20.774,222,0
20110613,20.732,20.732,20.724,20.724,31,0
20110614,20.724,20.724,20.566,20.566,59,0
20110615,20.582,20.582,20.582,20.582,12,0
20110616,20.623,21.292,20.582,20.582,358,0
20110617,20.582,20.582,20.582,20.582,28,0
20110620,19.706,20.457,18.62,20.457,1220,0
20110621,20.373,21.283,19.538,19.872,631,0
20110622,19.872,20.865,19.872,20.865,474,0
