Date,Open,High,Low,Close,Volume,OpenInt
20101011,5.6078,6.009,5.3977,5.3977,40409,0
20101012,5.3021,5.3498,5.2066,5.2543,10471,0
20101013,5.3021,5.3021,5.0632,5.2256,6620,0
20101014,5.2066,5.2066,5.0345,5.111,1480,0
20101015,4.9677,5.2066,4.92,5.2066,8123,0
20101018,5.4454,5.4454,5.2543,5.2543,3913,0
20101019,5.3498,5.3498,5.2066,5.3498,874,0
20101020,5.3403,5.3403,5.1588,5.3403,1754,0
20101021,5.3403,5.3403,5.0728,5.0728,3703,0
20101022,5.0632,5.2543,4.6811,5.2543,11599,0
20101025,5.0632,5.1301,5.0632,5.1301,785,0
20101026,5.2066,5.2066,5.2066,5.2066,2,0
20101027,4.834,5.1492,4.834,5.1492,4559,0
20101028,5.1875,5.1875,5.0632,5.1588,314,0
20101029,5.1492,5.2352,5.1492,5.2352,2087,0
20101102,5.2352,5.2447,5.2352,5.2447,1631,0
20101103,5.2352,5.2543,5.2352,5.2543,134,0
20101104,5.2543,5.2543,5.1588,5.1588,723,0
20101105,5.2256,5.2256,5.1588,5.1588,647,0
20101108,5.2256,5.2256,5.1015,5.1588,27,0
20101109,5.1588,5.1588,5.0919,5.0919,624,0
20101110,5.1492,5.1492,5.1492,5.1492,2,0
20101112,5.1015,5.1015,5.1015,5.1015,2,0
20101115,4.9295,5.1015,4.9295,5.1015,210,0
20101116,5.1015,5.1015,4.9295,4.9295,104,0
20101117,5.1015,5.1015,5.1015,5.1015,2,0
20101118,5.1015,5.1492,4.92,5.1492,1357,0
20101119,5.1492,5.1492,5.0251,5.0251,180,0
20101122,5.1492,5.1492,4.834,5.0251,515,0
20101123,5.1492,5.1492,5.0251,5.0251,103,0
20101124,5.1492,5.1492,4.9677,4.9677,1621,0
20101125,4.9581,4.9581,4.9581,4.9581,159,0
20101126,4.9581,4.9581,4.7193,4.8721,1205,0
20101129,4.8721,4.8721,4.7289,4.7289,222,0
20101130,4.8721,4.8721,4.6811,4.6811,1049,0
20101201,4.8721,4.8721,4.6811,4.6811,2485,0
20101202,4.8721,4.9008,4.7766,4.9008,788,0
20101203,5.0919,5.1492,4.9391,4.9391,2025,0
20101206,5.1588,5.1588,5.1492,5.1492,326,0
20101207,5.1492,5.1492,4.9773,4.9773,262,0
20101208,4.9677,4.9677,4.9677,4.9677,1048,0
20101209,5.1492,5.1492,5.0155,5.0155,101,0
20101210,4.8721,4.8721,4.8721,4.8721,324,0
20101213,5.1396,5.1396,5.0155,5.0155,101,0
20101214,5.1396,5.1396,5.1396,5.1396,2,0
20101215,5.0632,5.0632,5.0632,5.0632,128,0
20101216,5.1396,5.1396,5.1396,5.1396,1,0
20101217,5.1396,5.1396,5.0059,5.0251,456,0
20101220,5.111,5.111,5.111,5.111,3,0
20101221,5.0632,5.0632,4.8721,4.8721,133,0
20101222,4.8721,4.9486,4.8721,4.9486,1396,0
20101223,4.9486,4.9486,4.834,4.834,384535,0
20101227,4.8436,4.8436,4.7766,4.7766,249,0
20101228,4.9486,4.9486,4.7766,4.7766,286,0
20101229,5.111,5.111,5.111,5.111,2,0
20101230,5.0632,5.0632,4.7957,5.0632,16,0
20101231,5.0632,5.0632,5.0632,5.0632,4,0
20110103,5.0632,5.0632,4.9295,4.9295,103,0
20110104,4.9391,4.9391,4.7289,4.7289,230,0
20110105,5.1492,5.1492,4.8721,4.8721,809,0
20110107,4.8817,4.8817,4.8817,4.8817,8,0
20110110,4.8913,4.8913,4.8913,4.8913,2,0
20110111,4.8721,4.8721,4.8721,4.8721,3,0
20110112,4.8626,4.8626,4.6906,4.7385,1277,0
20110113,5.1492,5.1492,5.0251,5.0251,650,0
